,period,subba-name,value,value-units
4343,2019-01-01T00,Dominion Virginia Power zone,11790,megawatthours
4342,2019-01-01T01,Dominion Virginia Power zone,11459,megawatthours
4341,2019-01-01T02,Dominion Virginia Power zone,10924,megawatthours
4340,2019-01-01T03,Dominion Virginia Power zone,10401,megawatthours
4339,2019-01-01T04,Dominion Virginia Power zone,9802,megawatthours
4338,2019-01-01T05,Dominion Virginia Power zone,9366,megawatthours
4337,2019-01-01T06,Dominion Virginia Power zone,8923,megawatthours
4336,2019-01-01T07,Dominion Virginia Power zone,8590,megawatthours
4335,2019-01-01T08,Dominion Virginia Power zone,8256,megawatthours
4334,2019-01-01T09,Dominion Virginia Power zone,8158,megawatthours
4333,2019-01-01T10,Dominion Virginia Power zone,8113,megawatthours
4332,2019-01-01T11,Dominion Virginia Power zone,8227,megawatthours
4331,2019-01-01T12,Dominion Virginia Power zone,8416,megawatthours
4330,2019-01-01T13,Dominion Virginia Power zone,8521,megawatthours
4329,2019-01-01T14,Dominion Virginia Power zone,8601,megawatthours
4328,2019-01-01T15,Dominion Virginia Power zone,8985,megawatthours
4327,2019-01-01T16,Dominion Virginia Power zone,9271,megawatthours
4326,2019-01-01T17,Dominion Virginia Power zone,9362,megawatthours
4325,2019-01-01T18,Dominion Virginia Power zone,9310,megawatthours
4324,2019-01-01T19,Dominion Virginia Power zone,9379,megawatthours
4323,2019-01-01T20,Dominion Virginia Power zone,9422,megawatthours
4322,2019-01-01T21,Dominion Virginia Power zone,9549,megawatthours
4321,2019-01-01T22,Dominion Virginia Power zone,9947,megawatthours
4320,2019-01-01T23,Dominion Virginia Power zone,10847,megawatthours
4319,2019-01-02T00,Dominion Virginia Power zone,10955,megawatthours
4318,2019-01-02T01,Dominion Virginia Power zone,10819,megawatthours
4317,2019-01-02T02,Dominion Virginia Power zone,10675,megawatthours
4316,2019-01-02T03,Dominion Virginia Power zone,10332,megawatthours
4315,2019-01-02T04,Dominion Virginia Power zone,9852,megawatthours
4314,2019-01-02T05,Dominion Virginia Power zone,9360,megawatthours
4313,2019-01-02T06,Dominion Virginia Power zone,9096,megawatthours
4312,2019-01-02T07,Dominion Virginia Power zone,8936,megawatthours
4311,2019-01-02T08,Dominion Virginia Power zone,9001,megawatthours
4310,2019-01-02T09,Dominion Virginia Power zone,9195,megawatthours
4309,2019-01-02T10,Dominion Virginia Power zone,9570,megawatthours
4308,2019-01-02T11,Dominion Virginia Power zone,10424,megawatthours
4307,2019-01-02T12,Dominion Virginia Power zone,11465,megawatthours
4306,2019-01-02T13,Dominion Virginia Power zone,12025,megawatthours
4305,2019-01-02T14,Dominion Virginia Power zone,12017,megawatthours
4304,2019-01-02T15,Dominion Virginia Power zone,11967,megawatthours
4303,2019-01-02T16,Dominion Virginia Power zone,11875,megawatthours
4302,2019-01-02T17,Dominion Virginia Power zone,11815,megawatthours
4301,2019-01-02T18,Dominion Virginia Power zone,11717,megawatthours
4300,2019-01-02T19,Dominion Virginia Power zone,11680,megawatthours
4299,2019-01-02T20,Dominion Virginia Power zone,11589,megawatthours
4298,2019-01-02T21,Dominion Virginia Power zone,11713,megawatthours
4297,2019-01-02T22,Dominion Virginia Power zone,12104,megawatthours
4296,2019-01-02T23,Dominion Virginia Power zone,12740,megawatthours
4295,2019-01-03T00,Dominion Virginia Power zone,12719,megawatthours
4294,2019-01-03T01,Dominion Virginia Power zone,12602,megawatthours
4293,2019-01-03T02,Dominion Virginia Power zone,12326,megawatthours
4292,2019-01-03T03,Dominion Virginia Power zone,11715,megawatthours
4291,2019-01-03T04,Dominion Virginia Power zone,10979,megawatthours
4290,2019-01-03T05,Dominion Virginia Power zone,10303,megawatthours
4289,2019-01-03T06,Dominion Virginia Power zone,9762,megawatthours
4288,2019-01-03T07,Dominion Virginia Power zone,9512,megawatthours
4287,2019-01-03T08,Dominion Virginia Power zone,9422,megawatthours
4286,2019-01-03T09,Dominion Virginia Power zone,9421,megawatthours
4285,2019-01-03T10,Dominion Virginia Power zone,9706,megawatthours
4284,2019-01-03T11,Dominion Virginia Power zone,10388,megawatthours
4283,2019-01-03T12,Dominion Virginia Power zone,11311,megawatthours
4282,2019-01-03T13,Dominion Virginia Power zone,11800,megawatthours
4281,2019-01-03T14,Dominion Virginia Power zone,11707,megawatthours
4280,2019-01-03T15,Dominion Virginia Power zone,11627,megawatthours
4279,2019-01-03T16,Dominion Virginia Power zone,11473,megawatthours
4278,2019-01-03T17,Dominion Virginia Power zone,11288,megawatthours
4277,2019-01-03T18,Dominion Virginia Power zone,11196,megawatthours
4276,2019-01-03T19,Dominion Virginia Power zone,11172,megawatthours
4275,2019-01-03T20,Dominion Virginia Power zone,11101,megawatthours
4274,2019-01-03T21,Dominion Virginia Power zone,11257,megawatthours
4273,2019-01-03T22,Dominion Virginia Power zone,11594,megawatthours
4272,2019-01-03T23,Dominion Virginia Power zone,12475,megawatthours
4271,2019-01-04T00,Dominion Virginia Power zone,12530,megawatthours
4270,2019-01-04T01,Dominion Virginia Power zone,12555,megawatthours
4269,2019-01-04T02,Dominion Virginia Power zone,12423,megawatthours
4268,2019-01-04T03,Dominion Virginia Power zone,12087,megawatthours
