,period,respondent-name,value,value-units
4343,2019-01-01T00,Tennessee,16402,megawatthours
4342,2019-01-01T01,Tennessee,16079,megawatthours
4341,2019-01-01T02,Tennessee,15438,megawatthours
4340,2019-01-01T03,Tennessee,14967,megawatthours
4339,2019-01-01T04,Tennessee,14381,megawatthours
4338,2019-01-01T05,Tennessee,13865,megawatthours
4337,2019-01-01T06,Tennessee,13399,megawatthours
4336,2019-01-01T07,Tennessee,12930,megawatthours
4335,2019-01-01T08,Tennessee,12578,megawatthours
4334,2019-01-01T09,Tennessee,12415,megawatthours
4333,2019-01-01T10,Tennessee,12374,megawatthours
4332,2019-01-01T11,Tennessee,12562,megawatthours
4331,2019-01-01T12,Tennessee,12874,megawatthours
4330,2019-01-01T13,Tennessee,13373,megawatthours
4329,2019-01-01T14,Tennessee,13672,megawatthours
4328,2019-01-01T15,Tennessee,14219,megawatthours
4327,2019-01-01T16,Tennessee,14801,megawatthours
4326,2019-01-01T17,Tennessee,15135,megawatthours
4325,2019-01-01T18,Tennessee,15435,megawatthours
4324,2019-01-01T19,Tennessee,15184,megawatthours
4323,2019-01-01T20,Tennessee,15135,megawatthours
4322,2019-01-01T21,Tennessee,14971,megawatthours
4321,2019-01-01T22,Tennessee,15248,megawatthours
4320,2019-01-01T23,Tennessee,16039,megawatthours
4319,2019-01-02T00,Tennessee,16942,megawatthours
4318,2019-01-02T01,Tennessee,16854,megawatthours
4317,2019-01-02T02,Tennessee,16694,megawatthours
4316,2019-01-02T03,Tennessee,16458,megawatthours
4315,2019-01-02T04,Tennessee,15933,megawatthours
4314,2019-01-02T05,Tennessee,15270,megawatthours
4313,2019-01-02T06,Tennessee,14708,megawatthours
4312,2019-01-02T07,Tennessee,14209,megawatthours
4311,2019-01-02T08,Tennessee,14065,megawatthours
4310,2019-01-02T09,Tennessee,14134,megawatthours
4309,2019-01-02T10,Tennessee,14380,megawatthours
4308,2019-01-02T11,Tennessee,14934,megawatthours
4307,2019-01-02T12,Tennessee,16017,megawatthours
4306,2019-01-02T13,Tennessee,17341,megawatthours
4305,2019-01-02T14,Tennessee,17969,megawatthours
4304,2019-01-02T15,Tennessee,18113,megawatthours
4303,2019-01-02T16,Tennessee,18371,megawatthours
4302,2019-01-02T17,Tennessee,18654,megawatthours
4301,2019-01-02T18,Tennessee,18714,megawatthours
4300,2019-01-02T19,Tennessee,18664,megawatthours
4299,2019-01-02T20,Tennessee,18623,megawatthours
4298,2019-01-02T21,Tennessee,18595,megawatthours
4297,2019-01-02T22,Tennessee,18708,megawatthours
4296,2019-01-02T23,Tennessee,19220,megawatthours
4295,2019-01-03T00,Tennessee,19858,megawatthours
4294,2019-01-03T01,Tennessee,19818,megawatthours
4293,2019-01-03T02,Tennessee,19475,megawatthours
4292,2019-01-03T03,Tennessee,18928,megawatthours
4291,2019-01-03T04,Tennessee,18163,megawatthours
4290,2019-01-03T05,Tennessee,17137,megawatthours
4289,2019-01-03T06,Tennessee,16335,megawatthours
4288,2019-01-03T07,Tennessee,15920,megawatthours
4287,2019-01-03T08,Tennessee,15604,megawatthours
4286,2019-01-03T09,Tennessee,15378,megawatthours
4285,2019-01-03T10,Tennessee,15627,megawatthours
4284,2019-01-03T11,Tennessee,16052,megawatthours
4283,2019-01-03T12,Tennessee,17115,megawatthours
4282,2019-01-03T13,Tennessee,18330,megawatthours
4281,2019-01-03T14,Tennessee,18714,megawatthours
4280,2019-01-03T15,Tennessee,18863,megawatthours
4279,2019-01-03T16,Tennessee,18947,megawatthours
4278,2019-01-03T17,Tennessee,19021,megawatthours
4277,2019-01-03T18,Tennessee,18794,megawatthours
4276,2019-01-03T19,Tennessee,18596,megawatthours
4275,2019-01-03T20,Tennessee,18401,megawatthours
4274,2019-01-03T21,Tennessee,18068,megawatthours
4273,2019-01-03T22,Tennessee,18326,megawatthours
4272,2019-01-03T23,Tennessee,19000,megawatthours
4271,2019-01-04T00,Tennessee,19841,megawatthours
4270,2019-01-04T01,Tennessee,19829,megawatthours
4269,2019-01-04T02,Tennessee,19539,megawatthours
4268,2019-01-04T03,Tennessee,19051,megawatthours
4267,2019-01-04T04,Tennessee,18309,megawatthours
4266,2019-01-04T05,Tennessee,17404,megawatthours
4265,2019-01-04T06,Tennessee,16571,megawatthours
4264,2019-01-04T07,Tennessee,15923,megawatthours
4263,2019-01-04T08,Tennessee,15637,megawatthours
4262,2019-01-04T09,Tennessee,15421,megawatthours
4261,2019-01-04T10,Tennessee,15464,megawatthours
4260,2019-01-04T11,Tennessee,15878,megawatthours
4259,2019-01-04T12,Tennessee,16830,megawatthours
4258,2019-01-04T13,Tennessee,17807,megawatthours
4257,2019-01-04T14,Tennessee,18113,megawatthours
4256,2019-01-04T15,Tennessee,18213,megawatthours
4255,2019-01-04T16,Tennessee,18171,megawatthours
4254,2019-01-04T17,Tennessee,18231,megawatthours
4253,2019-01-04T18,Tennessee,18050,megawatthours
4252,2019-01-04T19,Tennessee,18007,megawatthours
4251,2019-01-04T20,Tennessee,17838,megawatthours
4250,2019-01-04T21,Tennessee,17771,megawatthours
4249,2019-01-04T22,Tennessee,17960,megawatthours
4248,2019-01-04T23,Tennessee,18566,megawatthours
4247,2019-01-05T00,Tennessee,19411,megawatthours
4246,2019-01-05T01,Tennessee,19235,megawatthours
4245,2019-01-05T02,Tennessee,19043,megawatthours
4244,2019-01-05T03,Tennessee,18777,megawatthours
4243,2019-01-05T04,Tennessee,18254,megawatthours
4242,2019-01-05T05,Tennessee,17661,megawatthours
4241,2019-01-05T06,Tennessee,16970,megawatthours
4240,2019-01-05T07,Tennessee,16625,megawatthours
4239,2019-01-05T08,Tennessee,16424,megawatthours
4238,2019-01-05T09,Tennessee,16342,megawatthours
4237,2019-01-05T10,Tennessee,16419,megawatthours
4236,2019-01-05T11,Tennessee,16849,megawatthours
4235,2019-01-05T12,Tennessee,17396,megawatthours
4234,2019-01-05T13,Tennessee,18228,megawatthours
4233,2019-01-05T14,Tennessee,18792,megawatthours
4232,2019-01-05T15,Tennessee,18698,megawatthours
4231,2019-01-05T16,Tennessee,18176,megawatthours
4230,2019-01-05T17,Tennessee,17577,megawatthours
4229,2019-01-05T18,Tennessee,16950,megawatthours
4228,2019-01-05T19,Tennessee,16274,megawatthours
4227,2019-01-05T20,Tennessee,15724,megawatthours
4226,2019-01-05T21,Tennessee,15428,megawatthours
4225,2019-01-05T22,Tennessee,15392,megawatthours
4224,2019-01-05T23,Tennessee,15992,megawatthours
4223,2019-01-06T00,Tennessee,17357,megawatthours
4222,2019-01-06T01,Tennessee,17636,megawatthours
4221,2019-01-06T02,Tennessee,17663,megawatthours
4220,2019-01-06T03,Tennessee,17613,megawatthours
4219,2019-01-06T04,Tennessee,17377,megawatthours
4218,2019-01-06T05,Tennessee,17044,megawatthours
4217,2019-01-06T06,Tennessee,16656,megawatthours
4216,2019-01-06T07,Tennessee,16430,megawatthours
4215,2019-01-06T08,Tennessee,16317,megawatthours
4214,2019-01-06T09,Tennessee,16382,megawatthours
4213,2019-01-06T10,Tennessee,16656,megawatthours
4212,2019-01-06T11,Tennessee,17031,megawatthours
4211,2019-01-06T12,Tennessee,17700,megawatthours
4210,2019-01-06T13,Tennessee,18353,megawatthours
4209,2019-01-06T14,Tennessee,18829,megawatthours
4208,2019-01-06T15,Tennessee,18629,megawatthours
4207,2019-01-06T16,Tennessee,17438,megawatthours
4206,2019-01-06T17,Tennessee,16394,megawatthours
4205,2019-01-06T18,Tennessee,15665,megawatthours
4204,2019-01-06T19,Tennessee,15279,megawatthours
4203,2019-01-06T20,Tennessee,14944,megawatthours
4202,2019-01-06T21,Tennessee,14733,megawatthours
4201,2019-01-06T22,Tennessee,14875,megawatthours
4200,2019-01-06T23,Tennessee,15492,megawatthours
4199,2019-01-07T00,Tennessee,16948,megawatthours
4198,2019-01-07T01,Tennessee,17151,megawatthours
4197,2019-01-07T02,Tennessee,17156,megawatthours
4196,2019-01-07T03,Tennessee,16826,megawatthours
4195,2019-01-07T04,Tennessee,16364,megawatthours
4194,2019-01-07T05,Tennessee,15766,megawatthours
4193,2019-01-07T06,Tennessee,15170,megawatthours
4192,2019-01-07T07,Tennessee,14876,megawatthours
4191,2019-01-07T08,Tennessee,14722,megawatthours
4190,2019-01-07T09,Tennessee,14716,megawatthours
4189,2019-01-07T10,Tennessee,14918,megawatthours
4188,2019-01-07T11,Tennessee,15448,megawatthours
4187,2019-01-07T12,Tennessee,16756,megawatthours
4186,2019-01-07T13,Tennessee,18260,megawatthours
4185,2019-01-07T14,Tennessee,18356,megawatthours
4184,2019-01-07T15,Tennessee,17882,megawatthours
4183,2019-01-07T16,Tennessee,17368,megawatthours
4182,2019-01-07T17,Tennessee,17086,megawatthours
4181,2019-01-07T18,Tennessee,16732,megawatthours
4180,2019-01-07T19,Tennessee,16508,megawatthours
4179,2019-01-07T20,Tennessee,16343,megawatthours
4178,2019-01-07T21,Tennessee,16313,megawatthours
4177,2019-01-07T22,Tennessee,16168,megawatthours
4176,2019-01-07T23,Tennessee,17091,megawatthours
4175,2019-01-08T00,Tennessee,18023,megawatthours
4174,2019-01-08T01,Tennessee,18166,megawatthours
4173,2019-01-08T02,Tennessee,17617,megawatthours
4172,2019-01-08T03,Tennessee,17083,megawatthours
4171,2019-01-08T04,Tennessee,16291,megawatthours
4170,2019-01-08T05,Tennessee,15306,megawatthours
4169,2019-01-08T06,Tennessee,14472,megawatthours
4168,2019-01-08T07,Tennessee,13904,megawatthours
4167,2019-01-08T08,Tennessee,13648,megawatthours
4166,2019-01-08T09,Tennessee,13469,megawatthours
4165,2019-01-08T10,Tennessee,13457,megawatthours
4164,2019-01-08T11,Tennessee,13901,megawatthours
4163,2019-01-08T12,Tennessee,15243,megawatthours
4162,2019-01-08T13,Tennessee,16638,megawatthours
4161,2019-01-08T14,Tennessee,16813,megawatthours
4160,2019-01-08T15,Tennessee,16621,megawatthours
4159,2019-01-08T16,Tennessee,16554,megawatthours
4158,2019-01-08T17,Tennessee,16514,megawatthours
4157,2019-01-08T18,Tennessee,16374,megawatthours
4156,2019-01-08T19,Tennessee,16252,megawatthours
4155,2019-01-08T20,Tennessee,16071,megawatthours
4154,2019-01-08T21,Tennessee,15806,megawatthours
4153,2019-01-08T22,Tennessee,15862,megawatthours
4152,2019-01-08T23,Tennessee,16291,megawatthours
