State,Utility,Business,Size,Plan Type,Demand,Plan Name,Season,Time Period,Tier,Monthly Charge,Rate,Demand Charge,Effective Date,Source,,
NV,NV Energy,No,,Fixed,No,Residential Fixed,All,All,All,,0.1429,,7/1/22,https://www.nvenergy.com/publish/content/dam/nvenergy/bill_inserts/2022/07_jul/np_res_rate_1_31.pdf,,
NV,NV Energy,No,,TOU,No,Residential TOU,Summer,On-Peak,All,,0.3999,,7/1/22,https://www.nvenergy.com/publish/content/dam/nvenergy/bill_inserts/2022/07_jul/np_res_rate_1_31.pdf,,
NV,NV Energy,No,,TOU,No,Residential TOU,Summer,Off-Peak,All,,0.0906,,7/1/22,https://www.nvenergy.com/publish/content/dam/nvenergy/bill_inserts/2022/07_jul/np_res_rate_1_31.pdf,,
NV,NV Energy,No,,TOU,No,Residential TOU,Winter,Off-Peak,All,,0.0971,,7/1/22,https://www.nvenergy.com/publish/content/dam/nvenergy/bill_inserts/2022/07_jul/np_res_rate_1_31.pdf,,
CT,Eversource,No,,Fixed,No,Rate 1,All,All,All,,0.2398,,9/1/22,https://www.eversource.com/content/docs/default-source/rates-tariffs/ct-electric/ct-electric-rates.pdf?sfvrsn=2d9afe62_56,,
CT,Eversource,No,,TOU,No,Rate 7,All,On-Peak,All,,0.30897,,9/1/22,https://www.eversource.com/content/docs/default-source/rates-tariffs/ct-electric/ct-electric-rates.pdf?sfvrsn=2d9afe62_56,,
CT,Eversource,No,,TOU,No,Rate 7,All,Off-Peak,All,,0.2073,,9/1/22,https://www.eversource.com/content/docs/default-source/rates-tariffs/ct-electric/ct-electric-rates.pdf?sfvrsn=2d9afe62_56,,
FL,FPL,No,,Fixed,No,RS1,All,All,1st,,0.1086,,6/1/22,https://www.fpl.com/content/dam/fplgp/us/en/rates/pdf/res-june-2022.pdf,,
FL,FPL,No,,Fixed,No,RS1,All,All,2nd,,0.1286,,6/1/22,https://www.fpl.com/content/dam/fplgp/us/en/rates/pdf/res-june-2022.pdf,,
FL,FPL,No,,TOU,No,RTR-1,Summer,On-Peak,1st,,0.2319,,,https://www.fpl.com/content/dam/fplgp/us/en/rates/pdf/res-june-2022.pdf,,
FL,FPL,No,,TOU,No,RTR-1,Summer,On-Peak,2nd,,0.2519,,,,,
FL,FPL,No,,TOU,No,RTR-1,Summer,Off-Peak,1st,,0.0547,,,,,
FL,FPL,No,,TOU,No,RTR-1,Summer,Off-Peak,2nd,,0.0747,,,,,
FL,FPL,No,,TOU,No,RTR-1,Winter,On-Peak,1st,,0.2319,,,,,
FL,FPL,No,,TOU,No,RTR-1,Winter,On-Peak,2nd,,0.2519,,,,,
FL,FPL,No,,TOU,No,RTR-1,Winter,Off-Peak,1st,,0.0547,,,,,
FL,FPL,No,,TOU,No,RTR-1,Winter,Off-Peak,2nd,,0.0747,,,,,
MD,Baltimore Gas & Electric,No,,Fixed,No,R,Summer,All,All,,0.13919,,6/1/22,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/Rdr_1.pdf,,
MD,Baltimore Gas & Electric,No,,Fixed,No,R,Winter,All,All,,0.13919,,6/1/22,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/P3_SCH_R.pdf,,
MD,Baltimore Gas & Electric,No,,TOU,No,RL,Summer,Peak,All,,0.16058,,6/1/22,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/Rdr_1.pdf,,
