,period,value,value-units,Date,Hour Starting
4342,2023-02-01T00-06,58500,megawatthours,2023-01-31,23
4341,2023-02-01T01-06,57244,megawatthours,2023-02-01,0
4340,2023-02-01T02-06,56557,megawatthours,2023-02-01,1
4339,2023-02-01T03-06,56366,megawatthours,2023-02-01,2
4338,2023-02-01T04-06,56059,megawatthours,2023-02-01,3
4337,2023-02-01T05-06,56892,megawatthours,2023-02-01,4
4336,2023-02-01T06-06,58229,megawatthours,2023-02-01,5
4335,2023-02-01T07-06,59962,megawatthours,2023-02-01,6
4334,2023-02-01T08-06,61282,megawatthours,2023-02-01,7
4333,2023-02-01T09-06,62004,megawatthours,2023-02-01,8
4332,2023-02-01T10-06,62671,megawatthours,2023-02-01,9
4331,2023-02-01T11-06,62778,megawatthours,2023-02-01,10
4330,2023-02-01T12-06,62778,megawatthours,2023-02-01,11
4329,2023-02-01T13-06,62421,megawatthours,2023-02-01,12
4328,2023-02-01T14-06,62092,megawatthours,2023-02-01,13
4327,2023-02-01T15-06,61437,megawatthours,2023-02-01,14
4326,2023-02-01T16-06,61266,megawatthours,2023-02-01,15
4325,2023-02-01T17-06,62003,megawatthours,2023-02-01,16
4324,2023-02-01T18-06,62641,megawatthours,2023-02-01,17
4323,2023-02-01T19-06,63418,megawatthours,2023-02-01,18
4322,2023-02-01T20-06,62971,megawatthours,2023-02-01,19
4321,2023-02-01T21-06,61530,megawatthours,2023-02-01,20
4320,2023-02-01T22-06,59824,megawatthours,2023-02-01,21
4319,2023-02-01T23-06,57350,megawatthours,2023-02-01,22
4318,2023-02-02T00-06,55378,megawatthours,2023-02-01,23
4317,2023-02-02T01-06,53526,megawatthours,2023-02-02,0
4316,2023-02-02T02-06,52833,megawatthours,2023-02-02,1
4315,2023-02-02T03-06,52706,megawatthours,2023-02-02,2
4314,2023-02-02T04-06,52885,megawatthours,2023-02-02,3
4313,2023-02-02T05-06,53717,megawatthours,2023-02-02,4
4312,2023-02-02T06-06,55110,megawatthours,2023-02-02,5
4311,2023-02-02T07-06,57297,megawatthours,2023-02-02,6
4310,2023-02-02T08-06,58580,megawatthours,2023-02-02,7
4309,2023-02-02T09-06,59183,megawatthours,2023-02-02,8
4308,2023-02-02T10-06,59529,megawatthours,2023-02-02,9
4307,2023-02-02T11-06,59802,megawatthours,2023-02-02,10
4306,2023-02-02T12-06,59347,megawatthours,2023-02-02,11
4305,2023-02-02T13-06,58889,megawatthours,2023-02-02,12
4304,2023-02-02T14-06,58044,megawatthours,2023-02-02,13
4303,2023-02-02T15-06,57201,megawatthours,2023-02-02,14
4302,2023-02-02T16-06,56901,megawatthours,2023-02-02,15
4301,2023-02-02T17-06,57411,megawatthours,2023-02-02,16
4300,2023-02-02T18-06,58266,megawatthours,2023-02-02,17
4299,2023-02-02T19-06,59205,megawatthours,2023-02-02,18
4298,2023-02-02T20-06,58941,megawatthours,2023-02-02,19
4297,2023-02-02T21-06,58299,megawatthours,2023-02-02,20
4296,2023-02-02T22-06,57202,megawatthours,2023-02-02,21
4295,2023-02-02T23-06,54985,megawatthours,2023-02-02,22
4294,2023-02-03T00-06,53096,megawatthours,2023-02-02,23
4293,2023-02-03T01-06,51852,megawatthours,2023-02-03,0
4292,2023-02-03T02-06,51508,megawatthours,2023-02-03,1
4291,2023-02-03T03-06,51485,megawatthours,2023-02-03,2
4290,2023-02-03T04-06,51905,megawatthours,2023-02-03,3
4289,2023-02-03T05-06,52889,megawatthours,2023-02-03,4
4288,2023-02-03T06-06,55308,megawatthours,2023-02-03,5
4287,2023-02-03T07-06,58845,megawatthours,2023-02-03,6
4286,2023-02-03T08-06,60434,megawatthours,2023-02-03,7
4285,2023-02-03T09-06,59116,megawatthours,2023-02-03,8
4284,2023-02-03T10-06,56414,megawatthours,2023-02-03,9
4283,2023-02-03T11-06,53633,megawatthours,2023-02-03,10
4282,2023-02-03T12-06,50864,megawatthours,2023-02-03,11
4281,2023-02-03T13-06,48491,megawatthours,2023-02-03,12
4280,2023-02-03T14-06,46222,megawatthours,2023-02-03,13
4279,2023-02-03T15-06,44643,megawatthours,2023-02-03,14
4278,2023-02-03T16-06,43628,megawatthours,2023-02-03,15
4277,2023-02-03T17-06,43440,megawatthours,2023-02-03,16
4276,2023-02-03T18-06,44291,megawatthours,2023-02-03,17
4275,2023-02-03T19-06,46950,megawatthours,2023-02-03,18
4274,2023-02-03T20-06,47995,megawatthours,2023-02-03,19
4273,2023-02-03T21-06,48623,megawatthours,2023-02-03,20
4272,2023-02-03T22-06,49141,megawatthours,2023-02-03,21
4271,2023-02-03T23-06,48760,megawatthours,2023-02-03,22
4270,2023-02-04T00-06,47919,megawatthours,2023-02-03,23
4269,2023-02-04T01-06,47211,megawatthours,2023-02-04,0
4268,2023-02-04T02-06,47018,megawatthours,2023-02-04,1
4267,2023-02-04T03-06,47267,megawatthours,2023-02-04,2
4266,2023-02-04T04-06,47837,megawatthours,2023-02-04,3
4265,2023-02-04T05-06,48832,megawatthours,2023-02-04,4
4264,2023-02-04T06-06,50170,megawatthours,2023-02-04,5
4263,2023-02-04T07-06,52029,megawatthours,2023-02-04,6
4262,2023-02-04T08-06,53398,megawatthours,2023-02-04,7
4261,2023-02-04T09-06,53204,megawatthours,2023-02-04,8
