,Date,Hour Starting,period,respondent,fueltype,type-name,value,value-units
0,2024-08-01,0,2024-08-01T01-05,ERCO,COL,Coal,6496,megawatthours
1,2024-08-01,1,2024-08-01T02-05,ERCO,COL,Coal,5826,megawatthours
2,2024-08-01,2,2024-08-01T03-05,ERCO,COL,Coal,5673,megawatthours
3,2024-08-01,3,2024-08-01T04-05,ERCO,COL,Coal,5684,megawatthours
4,2024-08-01,4,2024-08-01T05-05,ERCO,COL,Coal,5680,megawatthours
5,2024-08-01,5,2024-08-01T06-05,ERCO,COL,Coal,5757,megawatthours
6,2024-08-01,6,2024-08-01T07-05,ERCO,COL,Coal,6126,megawatthours
7,2024-08-01,7,2024-08-01T08-05,ERCO,COL,Coal,6345,megawatthours
8,2024-08-01,8,2024-08-01T09-05,ERCO,COL,Coal,6031,megawatthours
9,2024-08-01,9,2024-08-01T10-05,ERCO,COL,Coal,5928,megawatthours
10,2024-08-01,10,2024-08-01T11-05,ERCO,COL,Coal,6049,megawatthours
11,2024-08-01,11,2024-08-01T12-05,ERCO,COL,Coal,6823,megawatthours
12,2024-08-01,12,2024-08-01T13-05,ERCO,COL,Coal,8876,megawatthours
13,2024-08-01,13,2024-08-01T14-05,ERCO,COL,Coal,9673,megawatthours
14,2024-08-01,14,2024-08-01T15-05,ERCO,COL,Coal,10791,megawatthours
15,2024-08-01,15,2024-08-01T16-05,ERCO,COL,Coal,11035,megawatthours
16,2024-08-01,16,2024-08-01T17-05,ERCO,COL,Coal,11203,megawatthours
17,2024-08-01,17,2024-08-01T18-05,ERCO,COL,Coal,10223,megawatthours
18,2024-08-01,18,2024-08-01T19-05,ERCO,COL,Coal,10379,megawatthours
19,2024-08-01,19,2024-08-01T20-05,ERCO,COL,Coal,11305,megawatthours
20,2024-08-01,20,2024-08-01T21-05,ERCO,COL,Coal,11671,megawatthours
21,2024-08-01,21,2024-08-01T22-05,ERCO,COL,Coal,10606,megawatthours
22,2024-08-01,22,2024-08-01T23-05,ERCO,COL,Coal,8368,megawatthours
23,2024-08-01,23,2024-08-02T00-05,ERCO,COL,Coal,7371,megawatthours
24,2024-08-02,0,2024-08-02T01-05,ERCO,COL,Coal,6145,megawatthours
25,2024-08-02,1,2024-08-02T02-05,ERCO,COL,Coal,5664,megawatthours
26,2024-08-02,2,2024-08-02T03-05,ERCO,COL,Coal,5801,megawatthours
