,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4894,2023-02-01T00-06,ERCO,SUN,Solar,0,megawatthours,2023-01-31,23
4893,2023-02-01T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,0
4892,2023-02-01T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,1
4891,2023-02-01T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,2
4890,2023-02-01T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,3
4889,2023-02-01T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,4
4888,2023-02-01T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,5
4887,2023-02-01T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,6
4886,2023-02-01T08-06,ERCO,SUN,Solar,9,megawatthours,2023-02-01,7
4885,2023-02-01T09-06,ERCO,SUN,Solar,179,megawatthours,2023-02-01,8
4884,2023-02-01T10-06,ERCO,SUN,Solar,622,megawatthours,2023-02-01,9
4883,2023-02-01T11-06,ERCO,SUN,Solar,1113,megawatthours,2023-02-01,10
4882,2023-02-01T12-06,ERCO,SUN,Solar,1351,megawatthours,2023-02-01,11
4881,2023-02-01T13-06,ERCO,SUN,Solar,1474,megawatthours,2023-02-01,12
4880,2023-02-01T14-06,ERCO,SUN,Solar,1498,megawatthours,2023-02-01,13
4879,2023-02-01T15-06,ERCO,SUN,Solar,1417,megawatthours,2023-02-01,14
4878,2023-02-01T16-06,ERCO,SUN,Solar,871,megawatthours,2023-02-01,15
4877,2023-02-01T17-06,ERCO,SUN,Solar,552,megawatthours,2023-02-01,16
4876,2023-02-01T18-06,ERCO,SUN,Solar,139,megawatthours,2023-02-01,17
4875,2023-02-01T19-06,ERCO,SUN,Solar,2,megawatthours,2023-02-01,18
4874,2023-02-01T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,19
4873,2023-02-01T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,20
4872,2023-02-01T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,21
4871,2023-02-01T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,22
4870,2023-02-02T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-01,23
4869,2023-02-02T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,0
4868,2023-02-02T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,1
4867,2023-02-02T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,2
4866,2023-02-02T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,3
4865,2023-02-02T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,4
4864,2023-02-02T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,5
4863,2023-02-02T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,6
4862,2023-02-02T08-06,ERCO,SUN,Solar,6,megawatthours,2023-02-02,7
4861,2023-02-02T09-06,ERCO,SUN,Solar,250,megawatthours,2023-02-02,8
4860,2023-02-02T10-06,ERCO,SUN,Solar,875,megawatthours,2023-02-02,9
4859,2023-02-02T11-06,ERCO,SUN,Solar,2112,megawatthours,2023-02-02,10
4858,2023-02-02T12-06,ERCO,SUN,Solar,3379,megawatthours,2023-02-02,11
4857,2023-02-02T13-06,ERCO,SUN,Solar,4222,megawatthours,2023-02-02,12
4856,2023-02-02T14-06,ERCO,SUN,Solar,4474,megawatthours,2023-02-02,13
4855,2023-02-02T15-06,ERCO,SUN,Solar,4973,megawatthours,2023-02-02,14
4854,2023-02-02T16-06,ERCO,SUN,Solar,5355,megawatthours,2023-02-02,15
4853,2023-02-02T17-06,ERCO,SUN,Solar,5091,megawatthours,2023-02-02,16
4852,2023-02-02T18-06,ERCO,SUN,Solar,2367,megawatthours,2023-02-02,17
4851,2023-02-02T19-06,ERCO,SUN,Solar,70,megawatthours,2023-02-02,18
4850,2023-02-02T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,19
4849,2023-02-02T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,20
4848,2023-02-02T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,21
4847,2023-02-02T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,22
4846,2023-02-03T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-02,23
4845,2023-02-03T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,0
4844,2023-02-03T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,1
4843,2023-02-03T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,2
4842,2023-02-03T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,3
4841,2023-02-03T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,4
4840,2023-02-03T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,5
4839,2023-02-03T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,6
4838,2023-02-03T08-06,ERCO,SUN,Solar,138,megawatthours,2023-02-03,7
4837,2023-02-03T09-06,ERCO,SUN,Solar,3574,megawatthours,2023-02-03,8
4836,2023-02-03T10-06,ERCO,SUN,Solar,7877,megawatthours,2023-02-03,9
4835,2023-02-03T11-06,ERCO,SUN,Solar,9180,megawatthours,2023-02-03,10
4834,2023-02-03T12-06,ERCO,SUN,Solar,9833,megawatthours,2023-02-03,11
4833,2023-02-03T13-06,ERCO,SUN,Solar,9974,megawatthours,2023-02-03,12
4832,2023-02-03T14-06,ERCO,SUN,Solar,10140,megawatthours,2023-02-03,13
