"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"12/1/2022 12 a.m. EST",-1,49,1095,0,1648,193,2719
CPLE,"12/1/2022 1 a.m. EST",-2,48,1098,0,1655,198,2797
CPLE,"12/1/2022 2 a.m. EST",-3,48,1091,0,1676,252,2820
CPLE,"12/1/2022 3 a.m. EST",-2,48,1096,0,1689,387,2832
CPLE,"12/1/2022 4 a.m. EST",-2,46,1090,0,1683,391,2845
CPLE,"12/1/2022 5 a.m. EST",-1,47,1084,0,1948,391,2859
CPLE,"12/1/2022 6 a.m. EST",-3,47,1083,0,2216,388,2869
CPLE,"12/1/2022 7 a.m. EST",-2,46,1100,0,2600,391,2882
CPLE,"12/1/2022 8 a.m. EST",211,59,1087,0,2822,390,2889
CPLE,"12/1/2022 9 a.m. EST",1014,66,1067,0,2316,371,2895
CPLE,"12/1/2022 10 a.m. EST",1848,69,1004,0,1786,202,2900
CPLE,"12/1/2022 11 a.m. EST",2294,64,931,0,1607,138,2902
CPLE,"12/1/2022 12 p.m. EST",2416,67,911,0,1585,128,2911
CPLE,"12/1/2022 1 p.m. EST",2390,64,879,0,1498,127,2908
CPLE,"12/1/2022 2 p.m. EST",2286,62,843,0,1251,125,2929
CPLE,"12/1/2022 3 p.m. EST",1929,52,863,0,1524,134,2939
CPLE,"12/1/2022 4 p.m. EST",1112,47,970,0,1698,289,2906
CPLE,"12/1/2022 5 p.m. EST",214,43,1070,0,1716,549,2902
CPLE,"12/1/2022 6 p.m. EST",31,51,1085,-1,1718,631,2898
CPLE,"12/1/2022 7 p.m. EST",32,46,1087,-1,1903,630,2899
CPLE,"12/1/2022 8 p.m. EST",32,49,1083,-1,1951,630,2896
CPLE,"12/1/2022 9 p.m. EST",-4,44,1123,0,2241,632,2899
CPLE,"12/1/2022 10 p.m. EST",-2,51,1124,0,2456,629,2895
CPLE,"12/1/2022 11 p.m. EST",-2,45,1120,0,2445,632,2894
CPLE,"12/2/2022 12 a.m. EST",-1,46,1111,0,2444,628,2895
CPLE,"12/2/2022 1 a.m. EST",-3,49,1104,-4,2391,631,2895
CPLE,"12/2/2022 2 a.m. EST",-2,44,1101,0,2376,631,2895
CPLE,"12/2/2022 3 a.m. EST",-1,39,1097,0,2379,631,2892
CPLE,"12/2/2022 4 a.m. EST",-2,39,1100,-4,2375,628,2894
CPLE,"12/2/2022 5 a.m. EST",-2,39,1090,0,2513,631,2897
