"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"1/1/2022 12 a.m. EST",0,33,99,0,3726,-16
FPC,"1/1/2022 1 a.m. EST",0,34,97,0,3444,-13
FPC,"1/1/2022 2 a.m. EST",0,33,99,0,3236,-14
FPC,"1/1/2022 3 a.m. EST",0,34,94,0,3009,-14
FPC,"1/1/2022 4 a.m. EST",0,34,97,0,2833,-13
FPC,"1/1/2022 5 a.m. EST",0,33,96,0,2774,-14
FPC,"1/1/2022 6 a.m. EST",0,34,98,0,2753,-14
FPC,"1/1/2022 7 a.m. EST",0,34,99,0,2799,-13
FPC,"1/1/2022 8 a.m. EST",6,34,98,0,2817,-15
FPC,"1/1/2022 9 a.m. EST",111,34,98,0,3055,-14
FPC,"1/1/2022 10 a.m. EST",305,34,97,0,3203,-14
FPC,"1/1/2022 11 a.m. EST",381,34,97,0,3619,-13
FPC,"1/1/2022 12 p.m. EST",374,34,98,0,4090,-14
FPC,"1/1/2022 1 p.m. EST",352,34,93,0,4551,-14
FPC,"1/1/2022 2 p.m. EST",353,34,97,0,4872,-13
FPC,"1/1/2022 3 p.m. EST",354,34,97,0,5041,-14
FPC,"1/1/2022 4 p.m. EST",350,33,99,0,5140,-15
FPC,"1/1/2022 5 p.m. EST",219,34,97,0,5279,-14
FPC,"1/1/2022 6 p.m. EST",20,37,99,0,5358,-13
FPC,"1/1/2022 7 p.m. EST",0,34,97,0,5344,-14
FPC,"1/1/2022 8 p.m. EST",0,34,99,0,5002,-14
FPC,"1/1/2022 9 p.m. EST",0,34,97,0,4505,-13
FPC,"1/1/2022 10 p.m. EST",0,34,100,0,4130,-14
FPC,"1/1/2022 11 p.m. EST",0,34,98,0,3870,-14
FPC,"1/2/2022 12 a.m. EST",0,33,99,0,3582,-15
FPC,"1/2/2022 1 a.m. EST",0,34,97,0,3225,-14
FPC,"1/2/2022 2 a.m. EST",0,34,97,0,2970,-14
FPC,"1/2/2022 3 a.m. EST",0,34,95,0,2815,-15
FPC,"1/2/2022 4 a.m. EST",0,34,97,0,2747,-14
FPC,"1/2/2022 5 a.m. EST",0,34,98,0,2714,-16
FPC,"1/2/2022 6 a.m. EST",0,33,97,0,2794,-14
FPC,"1/2/2022 7 a.m. EST",0,34,98,0,2942,-14
FPC,"1/2/2022 8 a.m. EST",5,34,97,0,3008,-15
FPC,"1/2/2022 9 a.m. EST",52,34,97,0,3349,-14
FPC,"1/2/2022 10 a.m. EST",137,34,97,0,3658,-16
FPC,"1/2/2022 11 a.m. EST",211,36,96,0,4025,-14
FPC,"1/2/2022 12 p.m. EST",247,37,96,0,4362,-15
FPC,"1/2/2022 1 p.m. EST",311,37,95,0,4645,-14
FPC,"1/2/2022 2 p.m. EST",308,36,92,0,4939,-14
FPC,"1/2/2022 3 p.m. EST",278,36,91,0,5182,-16
FPC,"1/2/2022 4 p.m. EST",206,35,89,0,5412,-14
FPC,"1/2/2022 5 p.m. EST",117,36,91,0,5544,-15
FPC,"1/2/2022 6 p.m. EST",10,35,90,0,5582,-14
FPC,"1/2/2022 7 p.m. EST",0,35,91,0,5666,-14
FPC,"1/2/2022 8 p.m. EST",0,34,94,0,5339,-16
FPC,"1/2/2022 9 p.m. EST",0,35,97,0,5047,-14
FPC,"1/2/2022 10 p.m. EST",0,34,96,0,4640,-15
FPC,"1/2/2022 11 p.m. EST",0,35,96,0,4162,-14
FPC,"1/3/2022 12 a.m. EST",0,35,94,0,3799,-16
FPC,"1/3/2022 1 a.m. EST",0,35,96,0,3481,-16
FPC,"1/3/2022 2 a.m. EST",0,35,95,0,3187,-17
FPC,"1/3/2022 3 a.m. EST",0,34,96,0,3089,-16
FPC,"1/3/2022 4 a.m. EST",0,35,96,0,3019,-17
FPC,"1/3/2022 5 a.m. EST",0,34,97,0,3010,-16
FPC,"1/3/2022 6 a.m. EST",0,35,98,0,3091,-18
FPC,"1/3/2022 7 a.m. EST",0,34,98,0,3323,-16
FPC,"1/3/2022 8 a.m. EST",9,33,97,0,3388,-17
FPC,"1/3/2022 9 a.m. EST",151,30,97,0,3552,-16
FPC,"1/3/2022 10 a.m. EST",292,29,94,0,3634,-17
FPC,"1/3/2022 11 a.m. EST",352,26,97,0,3637,-16
FPC,"1/3/2022 12 p.m. EST",378,21,97,0,3678,-18
FPC,"1/3/2022 1 p.m. EST",403,26,100,0,3674,-16
FPC,"1/3/2022 2 p.m. EST",432,25,98,0,3639,-17
FPC,"1/3/2022 3 p.m. EST",428,24,99,0,3678,-16
FPC,"1/3/2022 4 p.m. EST",407,23,98,0,3793,-17
FPC,"1/3/2022 5 p.m. EST",258,22,97,0,4116,-16
FPC,"1/3/2022 6 p.m. EST",26,21,100,0,4631,-18
FPC,"1/3/2022 7 p.m. EST",0,22,100,0,4941,-16
FPC,"1/3/2022 8 p.m. EST",0,21,100,0,4883,-17
FPC,"1/3/2022 9 p.m. EST",0,20,100,0,4683,-16
FPC,"1/3/2022 10 p.m. EST",0,21,101,0,4440,-17
FPC,"1/3/2022 11 p.m. EST",0,20,99,0,4102,-16
FPC,"1/4/2022 12 a.m. EST",0,21,100,0,3808,-18
FPC,"1/4/2022 1 a.m. EST",0,20,100,0,3592,-14
FPC,"1/4/2022 2 a.m. EST",0,20,100,0,3379,-15
FPC,"1/4/2022 3 a.m. EST",0,18,99,0,3259,-16
FPC,"1/4/2022 4 a.m. EST",0,19,100,0,3291,-15
FPC,"1/4/2022 5 a.m. EST",0,19,98,0,3467,-15
FPC,"1/4/2022 6 a.m. EST",0,18,100,0,3927,-16
FPC,"1/4/2022 7 a.m. EST",0,17,100,0,4640,-14
FPC,"1/4/2022 8 a.m. EST",12,18,101,42,5029,-15
FPC,"1/4/2022 9 a.m. EST",205,18,96,43,4900,-16
FPC,"1/4/2022 10 a.m. EST",392,16,100,0,4488,-15
FPC,"1/4/2022 11 a.m. EST",379,14,99,0,4197,-15
FPC,"1/4/2022 12 p.m. EST",396,12,97,0,3897,-16
FPC,"1/4/2022 1 p.m. EST",375,14,98,0,3796,-14
FPC,"1/4/2022 2 p.m. EST",316,13,98,0,3693,-15
FPC,"1/4/2022 3 p.m. EST",205,16,99,0,3770,-16
FPC,"1/4/2022 4 p.m. EST",146,19,98,0,4004,-15
FPC,"1/4/2022 5 p.m. EST",73,23,99,0,4107,-15
FPC,"1/4/2022 6 p.m. EST",8,30,100,0,4373,-16
FPC,"1/4/2022 7 p.m. EST",0,24,99,0,4792,-14
FPC,"1/4/2022 8 p.m. EST",0,25,91,0,4802,-15
FPC,"1/4/2022 9 p.m. EST",0,25,73,0,4633,-16
FPC,"1/4/2022 10 p.m. EST",0,25,72,0,4278,-15
FPC,"1/4/2022 11 p.m. EST",0,26,73,0,3817,-15
FPC,"1/5/2022 12 a.m. EST",0,26,74,0,3518,-16
FPC,"1/5/2022 1 a.m. EST",0,25,75,0,3158,-14
FPC,"1/5/2022 2 a.m. EST",0,26,73,0,2859,-14
FPC,"1/5/2022 3 a.m. EST",0,26,74,0,2755,-15
FPC,"1/5/2022 4 a.m. EST",0,26,76,0,2739,-14
FPC,"1/5/2022 5 a.m. EST",0,26,73,0,2819,-16
FPC,"1/5/2022 6 a.m. EST",0,26,68,0,3123,-14
FPC,"1/5/2022 7 a.m. EST",0,27,67,0,3656,-14
FPC,"1/5/2022 8 a.m. EST",2,26,63,0,3983,-15
FPC,"1/5/2022 9 a.m. EST",40,27,63,0,4053,-14
