"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"6/1/2022 12 a.m. CDT",21682,0,4,359,19156,8252,5050
ERCO,"6/1/2022 1 a.m. CDT",19897,0,4,258,17334,8075,5050
ERCO,"6/1/2022 2 a.m. CDT",17160,0,57,154,17314,8093,5050
ERCO,"6/1/2022 3 a.m. CDT",16393,0,54,129,16375,7916,5050
ERCO,"6/1/2022 4 a.m. CDT",15300,0,47,126,16373,7665,5051
ERCO,"6/1/2022 5 a.m. CDT",15214,0,94,101,16161,7750,5051
ERCO,"6/1/2022 6 a.m. CDT",14736,0,85,104,17052,7967,5052
ERCO,"6/1/2022 7 a.m. CDT",13528,27,134,110,19728,7974,5052
ERCO,"6/1/2022 8 a.m. CDT",12743,1031,109,115,20323,8005,5052
ERCO,"6/1/2022 9 a.m. CDT",13086,3662,140,99,19824,7996,5052
ERCO,"6/1/2022 10 a.m. CDT",15645,5547,159,220,18979,7554,5051
ERCO,"6/1/2022 11 a.m. CDT",15446,7315,161,125,21405,7330,5051
ERCO,"6/1/2022 12 p.m. CDT",13764,7674,124,162,25910,7664,5050
ERCO,"6/1/2022 1 p.m. CDT",12006,7801,135,241,30635,7789,5049
ERCO,"6/1/2022 2 p.m. CDT",11383,7709,115,175,33917,7925,5047
ERCO,"6/1/2022 3 p.m. CDT",11832,7515,99,156,34812,8184,5046
ERCO,"6/1/2022 4 p.m. CDT",12538,6777,99,174,35049,8078,5045
ERCO,"6/1/2022 5 p.m. CDT",14017,4638,91,203,34644,8107,5045
ERCO,"6/1/2022 6 p.m. CDT",16221,2820,90,126,33519,8029,5049
ERCO,"6/1/2022 7 p.m. CDT",17291,2065,8,186,32089,7902,5050
ERCO,"6/1/2022 8 p.m. CDT",15615,610,1,189,32822,7967,5051
ERCO,"6/1/2022 9 p.m. CDT",16089,32,0,127,30751,7955,5051
ERCO,"6/1/2022 10 p.m. CDT",16447,0,0,184,28389,7957,5052
ERCO,"6/1/2022 11 p.m. CDT",16435,0,0,133,24864,7944,5054
ERCO,"6/2/2022 12 a.m. CDT",17082,0,1,176,20282,7949,5054
ERCO,"6/2/2022 1 a.m. CDT",15004,0,41,131,18740,8034,5054
ERCO,"6/2/2022 2 a.m. CDT",13447,0,63,88,17818,8130,5055
ERCO,"6/2/2022 3 a.m. CDT",13872,0,43,132,15672,8140,5055
ERCO,"6/2/2022 4 a.m. CDT",10843,0,9,111,17661,8019,5055
ERCO,"6/2/2022 5 a.m. CDT",8231,0,86,103,19811,8046,5055
ERCO,"6/2/2022 6 a.m. CDT",5705,0,113,86,22212,8084,5055
ERCO,"6/2/2022 7 a.m. CDT",5532,8,134,89,23566,8137,5055
ERCO,"6/2/2022 8 a.m. CDT",5244,519,101,89,24236,8284,5055
ERCO,"6/2/2022 9 a.m. CDT",4832,1593,155,112,25404,8681,5055
ERCO,"6/2/2022 10 a.m. CDT",4503,2269,155,134,27006,8675,5053
ERCO,"6/2/2022 11 a.m. CDT",3652,3574,155,161,28998,8548,5053
ERCO,"6/2/2022 12 p.m. CDT",3027,4625,120,174,31324,8276,5055
ERCO,"6/2/2022 1 p.m. CDT",2642,5197,103,170,33573,8216,5055
ERCO,"6/2/2022 2 p.m. CDT",2750,5582,84,165,35209,8399,5054
ERCO,"6/2/2022 3 p.m. CDT",3335,6181,83,206,36049,9239,5054
ERCO,"6/2/2022 4 p.m. CDT",3595,6456,22,212,37109,9895,5052
ERCO,"6/2/2022 5 p.m. CDT",3957,6610,41,242,37422,10200,5048
ERCO,"6/2/2022 6 p.m. CDT",4531,6410,18,309,37207,10411,5044
ERCO,"6/2/2022 7 p.m. CDT",5457,4721,0,222,36908,10493,5040
ERCO,"6/2/2022 8 p.m. CDT",6020,1932,0,148,36743,10212,5039
ERCO,"6/2/2022 9 p.m. CDT",6347,184,0,119,36283,9659,5040
ERCO,"6/2/2022 10 p.m. CDT",7351,0,0,157,34185,8763,5039
ERCO,"6/2/2022 11 p.m. CDT",7803,0,0,165,30555,8609,5036
ERCO,"6/3/2022 12 a.m. CDT",8018,0,0,159,26597,8466,5037
ERCO,"6/3/2022 1 a.m. CDT",8956,0,0,133,22310,8581,5039
ERCO,"6/3/2022 2 a.m. CDT",9314,0,54,98,19524,8526,5039
ERCO,"6/3/2022 3 a.m. CDT",8849,0,43,92,18227,8521,5039
ERCO,"6/3/2022 4 a.m. CDT",8637,0,41,81,17351,8599,5040
ERCO,"6/3/2022 5 a.m. CDT",9213,0,83,97,16238,8540,5041
ERCO,"6/3/2022 6 a.m. CDT",10198,0,80,69,16170,8597,5042
ERCO,"6/3/2022 7 a.m. CDT",7476,49,131,127,19952,8690,5043
ERCO,"6/3/2022 8 a.m. CDT",5645,1228,139,62,21892,8814,5044
ERCO,"6/3/2022 9 a.m. CDT",4643,4392,161,100,22232,8832,5044
ERCO,"6/3/2022 10 a.m. CDT",4083,6417,161,106,23519,8910,5044
ERCO,"6/3/2022 11 a.m. CDT",3426,7261,153,137,26621,8517,5044
ERCO,"6/3/2022 12 p.m. CDT",4222,7441,121,138,28279,8695,5045
ERCO,"6/3/2022 1 p.m. CDT",4985,7399,102,131,29648,8835,5043
ERCO,"6/3/2022 2 p.m. CDT",4727,7557,83,186,31989,9065,5043
ERCO,"6/3/2022 3 p.m. CDT",4958,7966,51,144,32990,9365,5043
ERCO,"6/3/2022 4 p.m. CDT",5101,8013,0,177,33482,9729,5043
ERCO,"6/3/2022 5 p.m. CDT",5879,8102,0,164,33493,9220,5043
ERCO,"6/3/2022 6 p.m. CDT",6780,7268,0,254,32740,9115,5040
ERCO,"6/3/2022 7 p.m. CDT",7595,5487,0,259,31764,9023,5039
ERCO,"6/3/2022 8 p.m. CDT",8617,1803,0,232,32027,9226,5038
ERCO,"6/3/2022 9 p.m. CDT",8984,68,0,132,31646,8859,5038
ERCO,"6/3/2022 10 p.m. CDT",9325,0,0,137,29394,8800,5037
ERCO,"6/3/2022 11 p.m. CDT",9301,0,0,239,26128,8817,5038
ERCO,"6/4/2022 12 a.m. CDT",9684,0,0,177,22506,8841,5039
ERCO,"6/4/2022 1 a.m. CDT",10539,0,35,219,18948,8664,5039
ERCO,"6/4/2022 2 a.m. CDT",11211,0,65,90,16274,8494,5040
ERCO,"6/4/2022 3 a.m. CDT",10464,0,43,120,15255,8488,5040
ERCO,"6/4/2022 4 a.m. CDT",9273,0,86,94,15272,8564,5042
ERCO,"6/4/2022 5 a.m. CDT",8662,0,113,110,15309,8583,5042
ERCO,"6/4/2022 6 a.m. CDT",8301,0,99,102,15441,8656,5043
ERCO,"6/4/2022 7 a.m. CDT",6117,43,142,164,17452,8737,5044
ERCO,"6/4/2022 8 a.m. CDT",5904,1337,141,188,17203,8776,5044
ERCO,"6/4/2022 9 a.m. CDT",4996,4294,163,135,18077,8785,5043
ERCO,"6/4/2022 10 a.m. CDT",4270,6834,156,149,19261,8969,5043
ERCO,"6/4/2022 11 a.m. CDT",4163,8149,155,157,21291,8910,5042
ERCO,"6/4/2022 12 p.m. CDT",5322,8399,122,161,23112,8884,5041
ERCO,"6/4/2022 1 p.m. CDT",5663,8557,137,155,24765,9364,5040
ERCO,"6/4/2022 2 p.m. CDT",6026,8311,143,185,25969,9628,5036
ERCO,"6/4/2022 3 p.m. CDT",5874,8264,70,178,28863,10053,5029
ERCO,"6/4/2022 4 p.m. CDT",5970,7758,13,203,31205,10336,5025
ERCO,"6/4/2022 5 p.m. CDT",6249,7429,0,264,32209,10895,5026
ERCO,"6/4/2022 6 p.m. CDT",6676,7114,0,302,32101,10576,5027
ERCO,"6/4/2022 7 p.m. CDT",7930,5664,0,169,31816,10420,5030
ERCO,"6/4/2022 8 p.m. CDT",10172,3136,0,191,30778,9874,5028
ERCO,"6/4/2022 9 p.m. CDT",12568,304,0,142,29105,9859,5028
ERCO,"6/4/2022 10 p.m. CDT",16841,0,0,140,23766,9664,5028
ERCO,"6/4/2022 11 p.m. CDT",20393,0,0,181,17781,9318,5030
ERCO,"6/5/2022 12 a.m. CDT",21915,0,0,155,13682,9085,5030
ERCO,"6/5/2022 1 a.m. CDT",22376,0,34,140,11174,8079,5030
ERCO,"6/5/2022 2 a.m. CDT",21988,0,64,124,10689,6601,5029
ERCO,"6/5/2022 3 a.m. CDT",21133,0,43,90,10567,5619,5030
ERCO,"6/5/2022 4 a.m. CDT",20263,0,86,113,10576,4896,5030
ERCO,"6/5/2022 5 a.m. CDT",20067,0,113,88,10579,4486,5031
ERCO,"6/5/2022 6 a.m. CDT",19602,0,98,87,10649,4378,5031
ERCO,"6/5/2022 7 a.m. CDT",18790,11,140,126,10760,4396,5031
ERCO,"6/5/2022 8 a.m. CDT",18629,747,141,196,10914,4474,5033
ERCO,"6/5/2022 9 a.m. CDT",18302,4502,165,126,11212,4441,5033
ERCO,"6/5/2022 10 a.m. CDT",17791,7192,164,100,12417,5194,5033
ERCO,"6/5/2022 11 a.m. CDT",15978,8418,155,80,14664,7488,5033
ERCO,"6/5/2022 12 p.m. CDT",13860,8970,122,100,18521,8601,5032
ERCO,"6/5/2022 1 p.m. CDT",12347,9008,134,122,22566,9321,5032
ERCO,"6/5/2022 2 p.m. CDT",12621,8850,137,134,25391,9724,5030
ERCO,"6/5/2022 3 p.m. CDT",13731,8318,111,136,27661,9781,5029
ERCO,"6/5/2022 4 p.m. CDT",14930,8233,110,128,28259,9807,5026
ERCO,"6/5/2022 5 p.m. CDT",15695,8012,98,133,28903,9817,5024
ERCO,"6/5/2022 6 p.m. CDT",16406,7409,98,135,28641,9890,5022
ERCO,"6/5/2022 7 p.m. CDT",16583,5979,12,131,28591,9950,5022
ERCO,"6/5/2022 8 p.m. CDT",16022,2888,5,271,29553,10031,5023
ERCO,"6/5/2022 9 p.m. CDT",15542,224,5,279,30205,9994,5024
ERCO,"6/5/2022 10 p.m. CDT",16454,0,5,233,27396,9949,5025
ERCO,"6/5/2022 11 p.m. CDT",17708,0,5,213,22866,9795,5026
ERCO,"6/6/2022 12 a.m. CDT",19138,0,6,179,18042,9606,5026
ERCO,"6/6/2022 1 a.m. CDT",20697,0,40,121,13738,9176,5026
ERCO,"6/6/2022 2 a.m. CDT",21957,0,58,85,11789,7646,5027
ERCO,"6/6/2022 3 a.m. CDT",22705,0,43,92,11287,6158,5028
ERCO,"6/6/2022 4 a.m. CDT",22507,0,86,93,11216,5966,5028
ERCO,"6/6/2022 5 a.m. CDT",22121,0,113,89,11260,6120,5028
ERCO,"6/6/2022 6 a.m. CDT",22018,0,98,87,11674,6741,5030
ERCO,"6/6/2022 7 a.m. CDT",21247,23,141,105,12770,7278,5030
ERCO,"6/6/2022 8 a.m. CDT",19987,2019,141,65,12963,7412,5031
ERCO,"6/6/2022 9 a.m. CDT",18341,6114,164,82,13657,7208,5031
ERCO,"6/6/2022 10 a.m. CDT",17591,8155,157,132,15813,7166,5032
ERCO,"6/6/2022 11 a.m. CDT",16165,8774,156,98,19586,7888,5033
ERCO,"6/6/2022 12 p.m. CDT",13576,9208,122,134,24091,8822,5032
ERCO,"6/6/2022 1 p.m. CDT",10978,9259,111,154,29441,9654,5032
ERCO,"6/6/2022 2 p.m. CDT",9296,9282,91,169,33721,10381,5032
ERCO,"6/6/2022 3 p.m. CDT",8526,9205,58,155,35793,11456,5030
ERCO,"6/6/2022 4 p.m. CDT",8408,8954,98,194,36950,11380,5030
ERCO,"6/6/2022 5 p.m. CDT",8836,8615,99,186,37701,11470,5029
ERCO,"6/6/2022 6 p.m. CDT",9430,8160,99,284,37305,11346,5028
ERCO,"6/6/2022 7 p.m. CDT",9689,6943,99,196,37233,11536,5029
ERCO,"6/6/2022 8 p.m. CDT",10363,3892,98,330,37330,11709,5029
ERCO,"6/6/2022 9 p.m. CDT",11980,469,9,180,36667,11796,5030
ERCO,"6/6/2022 10 p.m. CDT",14431,0,4,111,33562,10565,5031
ERCO,"6/6/2022 11 p.m. CDT",16645,1,4,118,27975,9873,5032
