"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/1/2022 12 a.m. PDT",48,0,0,173,1589,435
LDWP,"10/1/2022 1 a.m. PDT",20,0,7,225,1496,436
LDWP,"10/1/2022 2 a.m. PDT",9,0,7,236,1495,434
LDWP,"10/1/2022 3 a.m. PDT",27,0,7,236,1496,427
LDWP,"10/1/2022 4 a.m. PDT",49,0,7,234,1497,425
LDWP,"10/1/2022 5 a.m. PDT",24,0,7,233,1497,424
LDWP,"10/1/2022 6 a.m. PDT",9,0,7,229,1496,423
LDWP,"10/1/2022 7 a.m. PDT",4,3,8,212,1497,424
LDWP,"10/1/2022 8 a.m. PDT",1,216,10,208,1198,430
LDWP,"10/1/2022 9 a.m. PDT",0,683,10,148,639,426
LDWP,"10/1/2022 10 a.m. PDT",0,923,9,135,547,425
LDWP,"10/1/2022 11 a.m. PDT",0,999,50,136,534,424
LDWP,"10/1/2022 12 p.m. PDT",0,1019,10,135,522,423
LDWP,"10/1/2022 1 p.m. PDT",0,1014,10,135,459,423
LDWP,"10/1/2022 2 p.m. PDT",3,1004,61,141,602,423
LDWP,"10/1/2022 3 p.m. PDT",8,959,5,148,719,426
LDWP,"10/1/2022 4 p.m. PDT",8,909,8,179,716,433
LDWP,"10/1/2022 5 p.m. PDT",17,719,106,191,705,445
LDWP,"10/1/2022 6 p.m. PDT",83,295,296,239,771,667
LDWP,"10/1/2022 7 p.m. PDT",79,9,117,246,1049,963
LDWP,"10/1/2022 8 p.m. PDT",49,0,112,249,1066,1174
LDWP,"10/1/2022 9 p.m. PDT",38,0,13,239,825,1188
LDWP,"10/1/2022 10 p.m. PDT",17,0,9,238,780,1187
LDWP,"10/1/2022 11 p.m. PDT",11,0,8,233,876,1188
LDWP,"10/2/2022 12 a.m. PDT",7,0,5,233,1008,1180
LDWP,"10/2/2022 1 a.m. PDT",6,0,8,234,1015,1173
LDWP,"10/2/2022 2 a.m. PDT",4,0,8,233,1015,1090
LDWP,"10/2/2022 3 a.m. PDT",4,0,57,234,1017,596
LDWP,"10/2/2022 4 a.m. PDT",3,0,8,227,1018,403
LDWP,"10/2/2022 5 a.m. PDT",4,0,8,228,1017,405
LDWP,"10/2/2022 6 a.m. PDT",1,0,5,229,1016,404
LDWP,"10/2/2022 7 a.m. PDT",0,2,8,232,1017,410
