BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NEVP,2/1/2022 12 a.m. PST,85,26,2,421,0,2638,262,0
NEVP,2/1/2022 1 a.m. PST,69,26,2,425,0,2554,338,0
NEVP,2/1/2022 2 a.m. PST,66,26,2,428,0,2520,338,0
NEVP,2/1/2022 3 a.m. PST,91,26,2,428,0,2545,339,0
NEVP,2/1/2022 4 a.m. PST,109,26,2,428,0,2542,338,0
NEVP,2/1/2022 5 a.m. PST,74,27,2,428,0,2522,338,0
NEVP,2/1/2022 6 a.m. PST,74,27,2,425,0,2525,338,0
NEVP,2/1/2022 7 a.m. PST,80,27,2,424,0,2534,348,0
NEVP,2/1/2022 8 a.m. PST,62,191,2,423,0,2609,335,0
NEVP,2/1/2022 9 a.m. PST,92,923,2,427,0,2153,309,0
NEVP,2/1/2022 10 a.m. PST,103,1342,2,403,0,1633,310,0
NEVP,2/1/2022 11 a.m. PST,94,1151,2,403,0,1427,295,0
NEVP,2/1/2022 12 p.m. PST,71,934,2,405,0,1370,280,0
NEVP,2/1/2022 1 p.m. PST,59,990,2,396,0,1553,276,0
NEVP,2/1/2022 2 p.m. PST,61,1051,2,403,0,1832,281,0
NEVP,2/1/2022 3 p.m. PST,59,1344,2,536,0,1885,279,0
NEVP,2/1/2022 4 p.m. PST,63,1074,2,525,0,2071,290,0
NEVP,2/1/2022 5 p.m. PST,36,286,2,509,0,2489,302,0
NEVP,2/1/2022 6 p.m. PST,15,63,2,436,0,2916,330,0
NEVP,2/1/2022 7 p.m. PST,4,64,2,422,0,2948,328,0
NEVP,2/1/2022 8 p.m. PST,3,64,2,424,0,2848,320,0
NEVP,2/1/2022 9 p.m. PST,15,39,2,429,0,2887,311,0
NEVP,2/1/2022 10 p.m. PST,17,39,2,432,0,2883,311,0
NEVP,2/1/2022 11 p.m. PST,29,28,2,429,0,2702,320,0
NEVP,2/2/2022 12 a.m. PST,44,27,2,429,0,2808,319,0
NEVP,2/2/2022 1 a.m. PST,36,27,2,428,0,2616,314,0
NEVP,2/2/2022 2 a.m. PST,10,27,2,429,0,2564,312,0
NEVP,2/2/2022 3 a.m. PST,7,27,2,428,0,2551,310,0
NEVP,2/2/2022 4 a.m. PST,36,27,2,430,0,2542,310,0
NEVP,2/2/2022 5 a.m. PST,49,27,2,426,0,2561,311,0
NEVP,2/2/2022 6 a.m. PST,66,27,2,426,0,2725,312,0
NEVP,2/2/2022 7 a.m. PST,73,26,2,425,0,2782,347,0
NEVP,2/2/2022 8 a.m. PST,78,441,2,437,0,2687,329,0
NEVP,2/2/2022 9 a.m. PST,91,1198,2,514,0,1945,308,0
NEVP,2/2/2022 10 a.m. PST,137,1414,2,643,0,1295,319,0
NEVP,2/2/2022 11 a.m. PST,149,1436,2,805,0,1400,321,0
NEVP,2/2/2022 12 p.m. PST,149,1383,2,1099,0,1251,321,0
NEVP,2/2/2022 1 p.m. PST,149,1398,2,1252,1,1072,320,0
NEVP,2/2/2022 2 p.m. PST,149,1434,2,1265,0,940,305,0
NEVP,2/2/2022 3 p.m. PST,148,1454,2,1232,0,1231,301,0
NEVP,2/2/2022 4 p.m. PST,134,1130,2,957,0,1813,301,0
NEVP,2/2/2022 5 p.m. PST,117,359,2,604,0,2523,333,0
