"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NEVP,"4/1/2022 12 a.m. PDT",17,0,5,420,0,2359,222,0
NEVP,"4/1/2022 1 a.m. PDT",11,0,5,401,0,2097,222,0
NEVP,"4/1/2022 2 a.m. PDT",7,0,5,404,0,2036,221,0
NEVP,"4/1/2022 3 a.m. PDT",10,0,5,408,0,1966,221,0
NEVP,"4/1/2022 4 a.m. PDT",17,0,5,411,0,1676,221,0
NEVP,"4/1/2022 5 a.m. PDT",20,0,5,415,0,1681,222,0
NEVP,"4/1/2022 6 a.m. PDT",32,0,5,461,0,1776,222,0
NEVP,"4/1/2022 7 a.m. PDT",33,29,5,487,0,1836,223,0
NEVP,"4/1/2022 8 a.m. PDT",19,691,5,493,0,1994,223,0
NEVP,"4/1/2022 9 a.m. PDT",9,1605,5,480,0,1196,223,0
NEVP,"4/1/2022 10 a.m. PDT",5,1896,5,448,0,701,223,0
NEVP,"4/1/2022 11 a.m. PDT",0,1870,5,447,0,705,221,0
NEVP,"4/1/2022 12 p.m. PDT",0,1907,5,443,0,786,221,0
NEVP,"4/1/2022 1 p.m. PDT",0,1928,5,434,0,768,222,0
NEVP,"4/1/2022 2 p.m. PDT",0,1930,5,425,0,740,222,0
NEVP,"4/1/2022 3 p.m. PDT",1,1945,5,405,0,778,222,0
NEVP,"4/1/2022 4 p.m. PDT",6,1932,5,408,0,878,221,0
NEVP,"4/1/2022 5 p.m. PDT",6,1842,5,400,0,1134,221,0
NEVP,"4/1/2022 6 p.m. PDT",4,1296,5,361,0,1455,221,0
NEVP,"4/1/2022 7 p.m. PDT",5,328,5,402,0,2128,221,0
NEVP,"4/1/2022 8 p.m. PDT",3,39,5,402,0,2316,221,0
NEVP,"4/1/2022 9 p.m. PDT",4,38,5,450,0,2345,222,0
NEVP,"4/1/2022 10 p.m. PDT",7,37,5,456,0,2371,223,0
NEVP,"4/1/2022 11 p.m. PDT",5,0,5,424,0,2333,225,0
NEVP,"4/2/2022 12 a.m. PDT",0,0,5,421,0,2132,225,0
NEVP,"4/2/2022 1 a.m. PDT",0,0,5,437,0,1832,225,0
NEVP,"4/2/2022 2 a.m. PDT",4,0,5,488,0,1941,225,0
NEVP,"4/2/2022 3 a.m. PDT",15,0,5,520,0,1732,225,0
NEVP,"4/2/2022 4 a.m. PDT",27,0,5,501,0,1646,225,0
NEVP,"4/2/2022 5 a.m. PDT",24,0,5,467,0,1700,225,0
NEVP,"4/2/2022 6 a.m. PDT",16,0,5,500,0,1698,225,0
NEVP,"4/2/2022 7 a.m. PDT",12,34,5,467,0,1774,225,0
NEVP,"4/2/2022 8 a.m. PDT",11,707,5,459,0,1590,225,0
NEVP,"4/2/2022 9 a.m. PDT",15,1649,5,462,0,1056,225,0
NEVP,"4/2/2022 10 a.m. PDT",19,1885,5,464,0,844,225,0
NEVP,"4/2/2022 11 a.m. PDT",18,1910,5,470,0,846,224,0
NEVP,"4/2/2022 12 p.m. PDT",30,1896,5,520,0,785,224,0
NEVP,"4/2/2022 1 p.m. PDT",54,1888,5,534,0,732,224,0
NEVP,"4/2/2022 2 p.m. PDT",36,1901,5,466,0,830,224,0
NEVP,"4/2/2022 3 p.m. PDT",12,1928,5,449,0,977,223,0
NEVP,"4/2/2022 4 p.m. PDT",21,1897,5,433,0,1173,224,0
NEVP,"4/2/2022 5 p.m. PDT",11,1816,5,420,0,1250,223,0
NEVP,"4/2/2022 6 p.m. PDT",10,1105,5,396,0,1639,223,0
NEVP,"4/2/2022 7 p.m. PDT",6,192,5,398,0,2196,222,0
NEVP,"4/2/2022 8 p.m. PDT",15,41,5,401,0,2456,222,0
NEVP,"4/2/2022 9 p.m. PDT",106,39,5,412,0,2563,221,0
NEVP,"4/2/2022 10 p.m. PDT",121,40,5,434,0,2460,222,0
NEVP,"4/2/2022 11 p.m. PDT",135,2,5,418,0,2403,223,0
NEVP,"4/3/2022 12 a.m. PDT",145,0,5,424,0,2312,224,0
NEVP,"4/3/2022 1 a.m. PDT",149,0,5,435,0,1986,223,0
NEVP,"4/3/2022 2 a.m. PDT",149,0,5,441,0,1884,222,0
NEVP,"4/3/2022 3 a.m. PDT",149,0,5,444,0,1745,221,0
NEVP,"4/3/2022 4 a.m. PDT",126,0,5,446,0,1721,221,0
NEVP,"4/3/2022 5 a.m. PDT",68,0,5,469,0,1675,222,0
NEVP,"4/3/2022 6 a.m. PDT",7,0,5,483,0,1703,222,0
NEVP,"4/3/2022 7 a.m. PDT",18,25,5,469,0,1651,222,0
NEVP,"4/3/2022 8 a.m. PDT",44,567,5,483,0,1372,223,0
NEVP,"4/3/2022 9 a.m. PDT",61,1381,5,493,0,819,223,0
NEVP,"4/3/2022 10 a.m. PDT",38,1782,5,498,0,786,222,0
NEVP,"4/3/2022 11 a.m. PDT",3,1825,5,541,0,692,222,0
NEVP,"4/3/2022 12 p.m. PDT",0,1785,5,502,0,593,222,0
NEVP,"4/3/2022 1 p.m. PDT",0,1787,5,489,0,742,222,0
