YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2021,1,AK,Total Electric Power Industry,Total,"593,896"
2021,1,AK,Total Electric Power Industry,Coal,"72,164"
2021,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"171,307"
2021,1,AK,Total Electric Power Industry,Natural Gas,"266,928"
2021,1,AK,Total Electric Power Industry,Other,-318
2021,1,AK,Total Electric Power Industry,Petroleum,"68,802"
2021,1,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2021,1,AK,Total Electric Power Industry,Other Biomass,"3,561"
2021,1,AK,Total Electric Power Industry,Wind,"11,452"
2021,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,752"
2021,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,496"
2021,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"3,256"
2021,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Commercial Power",Total,"32,264"
2021,1,AK,"Combined Heat and Power, Commercial Power",Coal,"11,558"
2021,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"17,161"
2021,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2021,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-17
2021,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,561"
2021,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Electric Power",Total,"15,505"
2021,1,AK,"Combined Heat and Power, Electric Power",Coal,"15,505"
2021,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Electric Generators, Independent Power Producers",Total,"3,934"
2021,1,AK,"Electric Generators, Independent Power Producers",Wind,"3,934"
2021,1,AK,"Electric Generators, Electric Utilities",Total,"532,441"
2021,1,AK,"Electric Generators, Electric Utilities",Coal,"45,101"
2021,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"154,146"
2021,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"260,431"
2021,1,AK,"Electric Generators, Electric Utilities",Other,-318
2021,1,AK,"Electric Generators, Electric Utilities",Petroleum,"65,563"
2021,1,AK,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2021,1,AK,"Electric Generators, Electric Utilities",Wind,"7,518"
2021,1,AL,Total Electric Power Industry,Total,"12,574,679"
2021,1,AL,Total Electric Power Industry,Coal,"2,096,650"
2021,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,149,996"
2021,1,AL,Total Electric Power Industry,Natural Gas,"4,874,173"
2021,1,AL,Total Electric Power Industry,Nuclear,"4,122,597"
2021,1,AL,Total Electric Power Industry,Other Gases,6
2021,1,AL,Total Electric Power Industry,Other,2
2021,1,AL,Total Electric Power Industry,Petroleum,"2,919"
2021,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"19,127"
2021,1,AL,Total Electric Power Industry,Other Biomass,"3,886"
2021,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"305,322"
2021,1,AL,"Combined Heat and Power, Industrial Power",Total,"455,390"
2021,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"149,858"
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,6
2021,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,204
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
