,Cost,Duration,Start Time,Usage
0,4.301,86400,11/2/18 22:00,34
1,4.9335,86400,11/3/18 23:00,39
2,4.9335,86400,11/4/18 22:00,39
3,11.7645,86400,11/6/18 22:00,93
4,6.325,86400,11/7/18 22:00,50
5,6.325,86400,11/8/18 22:00,50
6,7.7165,86400,11/9/18 22:00,61
7,5.9455,86400,11/10/18 22:00,47
8,9.7405,86400,11/11/18 22:00,77
9,11.0055,86400,11/12/18 22:00,87
10,9.9935,86400,11/13/18 22:00,79
11,7.843,86400,11/14/18 22:00,62
12,10.373,86400,11/15/18 22:00,82
13,7.4635,86400,11/16/18 22:00,59
14,7.843,86400,11/17/18 22:00,62
15,6.9575,86400,11/18/18 22:00,55
16,8.855,86400,11/19/18 22:00,70
17,12.65,86400,11/20/18 22:00,100
18,9.108,86400,11/21/18 22:00,72
19,7.9695,86400,11/22/18 22:00,63
20,7.337,86400,11/23/18 22:00,58
21,7.843,86400,11/24/18 22:00,62
22,9.9935,86400,11/25/18 22:00,79
23,10.879,86400,11/26/18 22:00,86
24,10.373,86400,11/27/18 22:00,82
25,9.361,86400,11/28/18 22:00,74
26,9.9935,86400,11/29/18 22:00,79
27,7.9695,86400,11/30/18 22:00,63
28,6.831,86400,12/1/18 22:00,54
29,8.349,86400,12/2/18 22:00,66
30,5.819,86400,12/3/18 22:00,46
31,4.048,86400,12/4/18 22:00,32
32,5.1865,86400,12/5/18 22:00,41
33,6.325,86400,12/6/18 22:00,50
34,4.9335,86400,12/7/18 22:00,39
35,9.867,86400,12/9/18 22:00,78
36,6.7045,86400,12/10/18 22:00,53
37,6.9575,86400,12/11/18 22:00,55
38,10.4995,86400,12/12/18 22:00,83
39,6.072,86400,12/13/18 22:00,48
40,4.9335,86400,12/14/18 22:00,39
41,4.6805,86400,12/15/18 22:00,37
42,4.1745,86400,12/16/18 22:00,33
43,3.795,86400,12/17/18 22:00,30
44,4.1745,86400,12/18/18 22:00,33
45,4.1745,86400,12/19/18 22:00,33
46,5.6925,86400,12/20/18 22:00,45
47,4.301,86400,12/21/18 22:00,34
48,4.807,86400,12/22/18 22:00,38
49,3.6685,86400,12/23/18 22:00,29
50,4.048,86400,12/24/18 22:00,32
51,4.4275,86400,12/25/18 22:00,35
