date,electric,industrial,resi_comm
2024-12-19,3.39,2.28,1.95
2024-12-20,3.69,2.74,2.37
2024-12-21,4.2,3.203333333333333,2.793333333333333
2024-12-22,4.596666666666667,3.5366666666666666,3.0700000000000003
2024-12-23,4.44,3.296666666666667,2.85
2024-12-24,3.785,2.6975000000000002,2.33
2024-12-25,3.6700000000000004,2.7199999999999998,2.334
2024-12-26,3.6483333333333334,2.6416666666666666,2.2849999999999997
2024-12-27,3.507142857142857,2.37,2.0028571428571427
2024-12-28,3.0175,1.84375,1.5425
2024-12-29,2.59,1.43125,1.17625
2024-12-30,2.44,1.4137499999999998,1.18625
2024-12-31,2.4588888888888887,1.5499999999999998,1.2766666666666666
2025-01-01,2.868,1.8880000000000003,1.6150000000000002
2025-01-02,3.383,2.348,2.039
2025-01-03,3.4259999999999997,2.5469999999999997,2.2150000000000003
2025-01-04,3.7960000000000003,2.8529999999999998,2.468
2025-01-05,3.968,2.977,2.5829999999999997
2025-01-06,4.314,3.261,2.823
2025-01-07,4.295,3.189,2.746
2025-01-08,4.2,3.104,2.673
2025-01-09,4.0600000000000005,3.026,2.6
2025-01-10,3.408,2.4880000000000004,2.143
2025-01-11,3.7270000000000003,2.7359999999999998,2.364
2025-01-12,3.5879999999999996,2.568,2.213
2025-01-13,3.664,2.5829999999999997,2.233
2025-01-14,3.944,2.906,2.535
2025-01-15,4.184,3.007,2.6109999999999998
2025-01-16,4.154999999999999,2.957,2.542
2025-01-17,3.714,2.609,2.2329999999999997
2025-01-18,3.1670000000000003,2.2649999999999997,1.936
2025-01-19,3.431,2.5469999999999997,2.237
2025-01-20,4.194,3.3810000000000002,2.944
2025-01-21,4.739,3.7020000000000004,3.192
2025-01-22,4.755,3.593,3.081
2025-01-23,4.406000000000001,3.218,2.7800000000000002
2025-01-24,4.287,3.0989999999999998,2.685
2025-01-25,3.996,2.967,2.543
2025-01-26,3.5469999999999997,2.5629999999999997,2.213
2025-01-27,3.5479999999999996,2.518,2.168
2025-01-28,3.66,2.659,2.2960000000000003
2025-01-29,3.6049999999999995,2.573,2.2310000000000003
2025-01-30,3.963,2.882,2.466
2025-01-31,3.4870000000000005,2.352,2.004
2025-02-01,4.103,3.045,2.627
2025-02-02,4.2410000000000005,3.119,2.657
2025-02-03,3.478,2.3449999999999998,2.012
2025-02-04,3.6980000000000004,2.723,2.377
2025-02-05,4.2700000000000005,3.113,2.677
2025-02-06,3.8810000000000002,2.779,2.3560000000000003
2025-02-07,3.5490000000000004,2.65,2.293
2025-02-08,3.565,2.612,2.23
2025-02-09,3.873,2.802,2.415
2025-02-10,4.075,3.012,2.607
2025-02-11,4.106,2.987,2.557
2025-02-12,3.944,2.767,2.378
2025-02-13,3.825,2.552,2.218
2025-02-14,3.974,2.857,2.462
2025-02-15,4.018,2.8739999999999997,2.462
2025-02-16,3.806,2.694,2.325
2025-02-17,4.214,3.091,2.68
2025-02-18,4.475,3.308,2.855
2025-02-19,4.3660000000000005,3.118,2.684
2025-02-20,4.212,3.065,2.629
2025-02-21,3.918,2.904,2.51
2025-02-22,3.588,2.548,2.1670000000000003
2025-02-23,3.2520000000000002,2.209,1.8800000000000001
2025-02-24,3.0759999999999996,1.9969999999999999,1.6789999999999998
2025-02-25,2.803,1.659,1.387
2025-02-26,2.806,1.657,1.366
2025-02-27,2.894,1.739,1.436
2025-02-28,2.911,1.8519999999999999,1.548
2025-03-01,3.082,2.16,1.86
2025-03-02,3.8369999999999997,2.863,2.447
2025-03-03,3.787,2.768,2.355
2025-03-04,2.804,1.858,1.5530000000000002
2025-03-05,2.194,1.252,1.004
2025-03-06,2.587,1.572,1.309
2025-03-07,3.009,2.052,1.734
2025-03-08,2.964,2.027,1.7079999999999997
2025-03-09,2.791,1.864,1.551
2025-03-10,2.4899999999999998,1.584,1.325
2025-03-11,2.1759999999999997,1.381,1.124
2025-03-12,2.5469999999999997,1.596,1.316
2025-03-13,2.6109999999999998,1.69,1.3960000000000001
2025-03-14,2.181,1.422,1.15
2025-03-15,1.8400000000000003,1.161,0.929
2025-03-16,1.658,0.885,0.668
2025-03-17,2.35,1.3290000000000002,1.096
2025-03-18,2.516,1.536,1.259
2025-03-19,2.294,1.441,1.1729999999999998
2025-03-20,2.383,1.416,1.153
2025-03-21,2.416,1.6960000000000002,1.4069999999999998
2025-03-22,2.14,1.508,1.252
2025-03-23,2.645,1.861,1.546
2025-03-24,2.819,1.873,1.5550000000000002
2025-03-25,2.556,1.549,1.267
2025-03-26,2.747,1.675,1.3770000000000002
2025-03-27,2.617,1.6629999999999998,1.364
2025-03-28,2.2039999999999997,1.41,1.142
2025-03-29,2.5509999999999997,1.645,1.35
2025-03-30,2.623,1.6199999999999999,1.309
2025-03-31,2.246,1.2369999999999999,0.992
2025-04-01,2.3579999999999997,1.536,1.266
2025-04-02,2.59,1.7149999999999999,1.3960000000000001
2025-04-03,2.003,1.12,0.8629999999999999
2025-04-04,1.716,1.032,0.8150000000000001
2025-04-05,2.2399999999999998,1.449,1.1649999999999998
2025-04-06,2.363,1.42,1.152
2025-04-07,2.823,1.7719999999999998,1.489
2025-04-08,3.152,2.1580000000000004,1.828
2025-04-09,2.891,1.9289999999999998,1.6030000000000002
