,period,value,value-units,Date,Hour Starting
4391,2023-12-05T00-06,42458,megawatthours,2023-12-04,23
4390,2023-12-05T01-06,41344,megawatthours,2023-12-05,0
4389,2023-12-05T02-06,40786,megawatthours,2023-12-05,1
4388,2023-12-05T03-06,40700,megawatthours,2023-12-05,2
4387,2023-12-05T04-06,40864,megawatthours,2023-12-05,3
4386,2023-12-05T05-06,42079,megawatthours,2023-12-05,4
4385,2023-12-05T06-06,44729,megawatthours,2023-12-05,5
4384,2023-12-05T07-06,48273,megawatthours,2023-12-05,6
4383,2023-12-05T08-06,49650,megawatthours,2023-12-05,7
4382,2023-12-05T09-06,49576,megawatthours,2023-12-05,8
4381,2023-12-05T10-06,47825,megawatthours,2023-12-05,9
4380,2023-12-05T11-06,46484,megawatthours,2023-12-05,10
4379,2023-12-05T12-06,45187,megawatthours,2023-12-05,11
4378,2023-12-05T13-06,44297,megawatthours,2023-12-05,12
4377,2023-12-05T14-06,44024,megawatthours,2023-12-05,13
4376,2023-12-05T15-06,43982,megawatthours,2023-12-05,14
4375,2023-12-05T16-06,44129,megawatthours,2023-12-05,15
4374,2023-12-05T17-06,44229,megawatthours,2023-12-05,16
4373,2023-12-05T18-06,44865,megawatthours,2023-12-05,17
4372,2023-12-05T19-06,46111,megawatthours,2023-12-05,18
4371,2023-12-05T20-06,46226,megawatthours,2023-12-05,19
4370,2023-12-05T21-06,45683,megawatthours,2023-12-05,20
4369,2023-12-05T22-06,44876,megawatthours,2023-12-05,21
4368,2023-12-05T23-06,42667,megawatthours,2023-12-05,22
4367,2023-12-06T00-06,40907,megawatthours,2023-12-05,23
4366,2023-12-06T01-06,39897,megawatthours,2023-12-06,0
4365,2023-12-06T02-06,39314,megawatthours,2023-12-06,1
4364,2023-12-06T03-06,39131,megawatthours,2023-12-06,2
4363,2023-12-06T04-06,39492,megawatthours,2023-12-06,3
4362,2023-12-06T05-06,40759,megawatthours,2023-12-06,4
4361,2023-12-06T06-06,43525,megawatthours,2023-12-06,5
4360,2023-12-06T07-06,47152,megawatthours,2023-12-06,6
4359,2023-12-06T08-06,48874,megawatthours,2023-12-06,7
4358,2023-12-06T09-06,48289,megawatthours,2023-12-06,8
4357,2023-12-06T10-06,47193,megawatthours,2023-12-06,9
4356,2023-12-06T11-06,45918,megawatthours,2023-12-06,10
4355,2023-12-06T12-06,45001,megawatthours,2023-12-06,11
4354,2023-12-06T13-06,44314,megawatthours,2023-12-06,12
4353,2023-12-06T14-06,43986,megawatthours,2023-12-06,13
4352,2023-12-06T15-06,43750,megawatthours,2023-12-06,14
4351,2023-12-06T16-06,43932,megawatthours,2023-12-06,15
4350,2023-12-06T17-06,44305,megawatthours,2023-12-06,16
4349,2023-12-06T18-06,46145,megawatthours,2023-12-06,17
4348,2023-12-06T19-06,47692,megawatthours,2023-12-06,18
4347,2023-12-06T20-06,47704,megawatthours,2023-12-06,19
4346,2023-12-06T21-06,47404,megawatthours,2023-12-06,20
4345,2023-12-06T22-06,46341,megawatthours,2023-12-06,21
4344,2023-12-06T23-06,44434,megawatthours,2023-12-06,22
4343,2023-12-07T00-06,42605,megawatthours,2023-12-06,23
4342,2023-12-07T01-06,41238,megawatthours,2023-12-07,0
4341,2023-12-07T02-06,40497,megawatthours,2023-12-07,1
4340,2023-12-07T03-06,40250,megawatthours,2023-12-07,2
4339,2023-12-07T04-06,40520,megawatthours,2023-12-07,3
4338,2023-12-07T05-06,41645,megawatthours,2023-12-07,4
4337,2023-12-07T06-06,44125,megawatthours,2023-12-07,5
4336,2023-12-07T07-06,47607,megawatthours,2023-12-07,6
4335,2023-12-07T08-06,48782,megawatthours,2023-12-07,7
4334,2023-12-07T09-06,48220,megawatthours,2023-12-07,8
4333,2023-12-07T10-06,47037,megawatthours,2023-12-07,9
4332,2023-12-07T11-06,46132,megawatthours,2023-12-07,10
4331,2023-12-07T12-06,45544,megawatthours,2023-12-07,11
4330,2023-12-07T13-06,45123,megawatthours,2023-12-07,12
4329,2023-12-07T14-06,45202,megawatthours,2023-12-07,13
4328,2023-12-07T15-06,45077,megawatthours,2023-12-07,14
4327,2023-12-07T16-06,45215,megawatthours,2023-12-07,15
4326,2023-12-07T17-06,45348,megawatthours,2023-12-07,16
4325,2023-12-07T18-06,46696,megawatthours,2023-12-07,17
4324,2023-12-07T19-06,47745,megawatthours,2023-12-07,18
4323,2023-12-07T20-06,47401,megawatthours,2023-12-07,19
4322,2023-12-07T21-06,46807,megawatthours,2023-12-07,20
4321,2023-12-07T22-06,45558,megawatthours,2023-12-07,21
4320,2023-12-07T23-06,43563,megawatthours,2023-12-07,22
4319,2023-12-08T00-06,41395,megawatthours,2023-12-07,23
4318,2023-12-08T01-06,39745,megawatthours,2023-12-08,0
4317,2023-12-08T02-06,38635,megawatthours,2023-12-08,1
4316,2023-12-08T03-06,38111,megawatthours,2023-12-08,2
4315,2023-12-08T04-06,37700,megawatthours,2023-12-08,3
4314,2023-12-08T05-06,38136,megawatthours,2023-12-08,4
4313,2023-12-08T06-06,39776,megawatthours,2023-12-08,5
4312,2023-12-08T07-06,42528,megawatthours,2023-12-08,6
4311,2023-12-08T08-06,44171,megawatthours,2023-12-08,7
4310,2023-12-08T09-06,44621,megawatthours,2023-12-08,8
4309,2023-12-08T10-06,45390,megawatthours,2023-12-08,9
4308,2023-12-08T11-06,45507,megawatthours,2023-12-08,10
4307,2023-12-08T12-06,45795,megawatthours,2023-12-08,11
4306,2023-12-08T13-06,46006,megawatthours,2023-12-08,12
4305,2023-12-08T14-06,46537,megawatthours,2023-12-08,13
4304,2023-12-08T15-06,46996,megawatthours,2023-12-08,14
4303,2023-12-08T16-06,47306,megawatthours,2023-12-08,15
4302,2023-12-08T17-06,47442,megawatthours,2023-12-08,16
4301,2023-12-08T18-06,47382,megawatthours,2023-12-08,17
4300,2023-12-08T19-06,48175,megawatthours,2023-12-08,18
4299,2023-12-08T20-06,47534,megawatthours,2023-12-08,19
4298,2023-12-08T21-06,46805,megawatthours,2023-12-08,20
4297,2023-12-08T22-06,45847,megawatthours,2023-12-08,21
4296,2023-12-08T23-06,44279,megawatthours,2023-12-08,22
4295,2023-12-09T00-06,42412,megawatthours,2023-12-08,23
4294,2023-12-09T01-06,40610,megawatthours,2023-12-09,0
4293,2023-12-09T02-06,39308,megawatthours,2023-12-09,1
4292,2023-12-09T03-06,38263,megawatthours,2023-12-09,2
4291,2023-12-09T04-06,37779,megawatthours,2023-12-09,3
4290,2023-12-09T05-06,37704,megawatthours,2023-12-09,4
4289,2023-12-09T06-06,38504,megawatthours,2023-12-09,5
4288,2023-12-09T07-06,39814,megawatthours,2023-12-09,6
4287,2023-12-09T08-06,41045,megawatthours,2023-12-09,7
4286,2023-12-09T09-06,42848,megawatthours,2023-12-09,8
4285,2023-12-09T10-06,44355,megawatthours,2023-12-09,9
4284,2023-12-09T11-06,45076,megawatthours,2023-12-09,10
4283,2023-12-09T12-06,45534,megawatthours,2023-12-09,11
4282,2023-12-09T13-06,46022,megawatthours,2023-12-09,12
4281,2023-12-09T14-06,46424,megawatthours,2023-12-09,13
4280,2023-12-09T15-06,46621,megawatthours,2023-12-09,14
4279,2023-12-09T16-06,46713,megawatthours,2023-12-09,15
4278,2023-12-09T17-06,46534,megawatthours,2023-12-09,16
4277,2023-12-09T18-06,47062,megawatthours,2023-12-09,17
4276,2023-12-09T19-06,47314,megawatthours,2023-12-09,18
4275,2023-12-09T20-06,46424,megawatthours,2023-12-09,19
4274,2023-12-09T21-06,45643,megawatthours,2023-12-09,20
4273,2023-12-09T22-06,44950,megawatthours,2023-12-09,21
