,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4895,2023-12-05T00-06,ERCO,WND,Wind,12381,megawatthours,2023-12-04,23
4894,2023-12-05T00-06,ERCO,SUN,Solar,0,megawatthours,2023-12-04,23
4893,2023-12-05T00-06,ERCO,NG,Natural Gas,19168,megawatthours,2023-12-04,23
4892,2023-12-05T01-06,ERCO,WND,Wind,10859,megawatthours,2023-12-05,0
4891,2023-12-05T01-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,0
4890,2023-12-05T01-06,ERCO,NG,Natural Gas,19291,megawatthours,2023-12-05,0
4888,2023-12-05T02-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,1
4889,2023-12-05T02-06,ERCO,WND,Wind,10326,megawatthours,2023-12-05,1
4887,2023-12-05T02-06,ERCO,NG,Natural Gas,19277,megawatthours,2023-12-05,1
4886,2023-12-05T03-06,ERCO,WND,Wind,9359,megawatthours,2023-12-05,2
4885,2023-12-05T03-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,2
4884,2023-12-05T03-06,ERCO,NG,Natural Gas,19817,megawatthours,2023-12-05,2
4883,2023-12-05T04-06,ERCO,WND,Wind,8309,megawatthours,2023-12-05,3
4882,2023-12-05T04-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,3
4881,2023-12-05T04-06,ERCO,NG,Natural Gas,20578,megawatthours,2023-12-05,3
4880,2023-12-05T05-06,ERCO,WND,Wind,7525,megawatthours,2023-12-05,4
4879,2023-12-05T05-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,4
4878,2023-12-05T05-06,ERCO,NG,Natural Gas,21575,megawatthours,2023-12-05,4
4876,2023-12-05T06-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,5
4875,2023-12-05T06-06,ERCO,NG,Natural Gas,23870,megawatthours,2023-12-05,5
4877,2023-12-05T06-06,ERCO,WND,Wind,6749,megawatthours,2023-12-05,5
4874,2023-12-05T07-06,ERCO,WND,Wind,6245,megawatthours,2023-12-05,6
4873,2023-12-05T07-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,6
4872,2023-12-05T07-06,ERCO,NG,Natural Gas,26305,megawatthours,2023-12-05,6
4871,2023-12-05T08-06,ERCO,WND,Wind,5834,megawatthours,2023-12-05,7
4870,2023-12-05T08-06,ERCO,SUN,Solar,434,megawatthours,2023-12-05,7
4869,2023-12-05T08-06,ERCO,NG,Natural Gas,27368,megawatthours,2023-12-05,7
4868,2023-12-05T09-06,ERCO,WND,Wind,4899,megawatthours,2023-12-05,8
4867,2023-12-05T09-06,ERCO,SUN,Solar,5566,megawatthours,2023-12-05,8
4866,2023-12-05T09-06,ERCO,NG,Natural Gas,24386,megawatthours,2023-12-05,8
4863,2023-12-05T10-06,ERCO,NG,Natural Gas,22479,megawatthours,2023-12-05,9
4865,2023-12-05T10-06,ERCO,WND,Wind,2469,megawatthours,2023-12-05,9
4864,2023-12-05T10-06,ERCO,SUN,Solar,9775,megawatthours,2023-12-05,9
4862,2023-12-05T11-06,ERCO,WND,Wind,1789,megawatthours,2023-12-05,10
4861,2023-12-05T11-06,ERCO,SUN,Solar,10247,megawatthours,2023-12-05,10
4860,2023-12-05T11-06,ERCO,NG,Natural Gas,21958,megawatthours,2023-12-05,10
4859,2023-12-05T12-06,ERCO,WND,Wind,1528,megawatthours,2023-12-05,11
4858,2023-12-05T12-06,ERCO,SUN,Solar,10293,megawatthours,2023-12-05,11
4857,2023-12-05T12-06,ERCO,NG,Natural Gas,21517,megawatthours,2023-12-05,11
4856,2023-12-05T13-06,ERCO,WND,Wind,1238,megawatthours,2023-12-05,12
4855,2023-12-05T13-06,ERCO,SUN,Solar,10271,megawatthours,2023-12-05,12
4854,2023-12-05T13-06,ERCO,NG,Natural Gas,21431,megawatthours,2023-12-05,12
4853,2023-12-05T14-06,ERCO,WND,Wind,1007,megawatthours,2023-12-05,13
4852,2023-12-05T14-06,ERCO,SUN,Solar,10612,megawatthours,2023-12-05,13
4851,2023-12-05T14-06,ERCO,NG,Natural Gas,21441,megawatthours,2023-12-05,13
4848,2023-12-05T15-06,ERCO,NG,Natural Gas,21220,megawatthours,2023-12-05,14
4850,2023-12-05T15-06,ERCO,WND,Wind,961,megawatthours,2023-12-05,14
4849,2023-12-05T15-06,ERCO,SUN,Solar,10906,megawatthours,2023-12-05,14
4847,2023-12-05T16-06,ERCO,WND,Wind,1000,megawatthours,2023-12-05,15
4846,2023-12-05T16-06,ERCO,SUN,Solar,10329,megawatthours,2023-12-05,15
4845,2023-12-05T16-06,ERCO,NG,Natural Gas,22040,megawatthours,2023-12-05,15
4843,2023-12-05T17-06,ERCO,SUN,Solar,5546,megawatthours,2023-12-05,16
4842,2023-12-05T17-06,ERCO,NG,Natural Gas,24782,megawatthours,2023-12-05,16
4844,2023-12-05T17-06,ERCO,WND,Wind,1155,megawatthours,2023-12-05,16
4841,2023-12-05T18-06,ERCO,WND,Wind,1404,megawatthours,2023-12-05,17
4840,2023-12-05T18-06,ERCO,SUN,Solar,439,megawatthours,2023-12-05,17
4839,2023-12-05T18-06,ERCO,NG,Natural Gas,28064,megawatthours,2023-12-05,17
4838,2023-12-05T19-06,ERCO,WND,Wind,2727,megawatthours,2023-12-05,18
4837,2023-12-05T19-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,18
4836,2023-12-05T19-06,ERCO,NG,Natural Gas,28451,megawatthours,2023-12-05,18
4835,2023-12-05T20-06,ERCO,WND,Wind,3497,megawatthours,2023-12-05,19
4834,2023-12-05T20-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,19
4833,2023-12-05T20-06,ERCO,NG,Natural Gas,28191,megawatthours,2023-12-05,19
4830,2023-12-05T21-06,ERCO,NG,Natural Gas,27180,megawatthours,2023-12-05,20
4832,2023-12-05T21-06,ERCO,WND,Wind,4437,megawatthours,2023-12-05,20
4831,2023-12-05T21-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,20
4829,2023-12-05T22-06,ERCO,WND,Wind,5001,megawatthours,2023-12-05,21
4828,2023-12-05T22-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,21
4827,2023-12-05T22-06,ERCO,NG,Natural Gas,26305,megawatthours,2023-12-05,21
4825,2023-12-05T23-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,22
4824,2023-12-05T23-06,ERCO,NG,Natural Gas,24658,megawatthours,2023-12-05,22
4826,2023-12-05T23-06,ERCO,WND,Wind,5424,megawatthours,2023-12-05,22
4823,2023-12-06T00-06,ERCO,WND,Wind,5996,megawatthours,2023-12-05,23
4822,2023-12-06T00-06,ERCO,SUN,Solar,0,megawatthours,2023-12-05,23
4821,2023-12-06T00-06,ERCO,NG,Natural Gas,23228,megawatthours,2023-12-05,23
4820,2023-12-06T01-06,ERCO,WND,Wind,6434,megawatthours,2023-12-06,0
4819,2023-12-06T01-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,0
4818,2023-12-06T01-06,ERCO,NG,Natural Gas,22596,megawatthours,2023-12-06,0
4817,2023-12-06T02-06,ERCO,WND,Wind,6424,megawatthours,2023-12-06,1
4816,2023-12-06T02-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,1
4815,2023-12-06T02-06,ERCO,NG,Natural Gas,22004,megawatthours,2023-12-06,1
4812,2023-12-06T03-06,ERCO,NG,Natural Gas,22055,megawatthours,2023-12-06,2
4814,2023-12-06T03-06,ERCO,WND,Wind,5917,megawatthours,2023-12-06,2
4813,2023-12-06T03-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,2
4811,2023-12-06T04-06,ERCO,WND,Wind,5282,megawatthours,2023-12-06,3
4810,2023-12-06T04-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,3
4809,2023-12-06T04-06,ERCO,NG,Natural Gas,22479,megawatthours,2023-12-06,3
4807,2023-12-06T05-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,4
4808,2023-12-06T05-06,ERCO,WND,Wind,5494,megawatthours,2023-12-06,4
4806,2023-12-06T05-06,ERCO,NG,Natural Gas,23414,megawatthours,2023-12-06,4
4804,2023-12-06T06-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,5
4803,2023-12-06T06-06,ERCO,NG,Natural Gas,24855,megawatthours,2023-12-06,5
4805,2023-12-06T06-06,ERCO,WND,Wind,5741,megawatthours,2023-12-06,5
4802,2023-12-06T07-06,ERCO,WND,Wind,6302,megawatthours,2023-12-06,6
4801,2023-12-06T07-06,ERCO,SUN,Solar,0,megawatthours,2023-12-06,6
4800,2023-12-06T07-06,ERCO,NG,Natural Gas,26493,megawatthours,2023-12-06,6
4799,2023-12-06T08-06,ERCO,WND,Wind,7110,megawatthours,2023-12-06,7
4798,2023-12-06T08-06,ERCO,SUN,Solar,449,megawatthours,2023-12-06,7
4797,2023-12-06T08-06,ERCO,NG,Natural Gas,26954,megawatthours,2023-12-06,7
4796,2023-12-06T09-06,ERCO,WND,Wind,8386,megawatthours,2023-12-06,8
4795,2023-12-06T09-06,ERCO,SUN,Solar,6123,megawatthours,2023-12-06,8
4794,2023-12-06T09-06,ERCO,NG,Natural Gas,22354,megawatthours,2023-12-06,8
4791,2023-12-06T10-06,ERCO,NG,Natural Gas,19801,megawatthours,2023-12-06,9
4793,2023-12-06T10-06,ERCO,WND,Wind,6507,megawatthours,2023-12-06,9
