Demand,datetime,Natural Gas Generation,Oil Generation
14199.0,2025-01-14 23:00:00,4665,2
13953.0,2025-01-15 00:00:00,4546,2
13634.0,2025-01-15 01:00:00,4289,2
13511.0,2025-01-15 02:00:00,4187,2
13542.0,2025-01-15 03:00:00,4176,2
13930.0,2025-01-15 04:00:00,4543,6
14554.0,2025-01-15 05:00:00,5087,3
16058.0,2025-01-15 06:00:00,6209,7
16949.0,2025-01-15 07:00:00,6464,183
16258.0,2025-01-15 08:00:00,6027,76
14886.0,2025-01-15 09:00:00,5281,2
14285.0,2025-01-15 10:00:00,4834,2
13905.0,2025-01-15 11:00:00,4689,2
13486.0,2025-01-15 12:00:00,4349,32
14541.0,2025-01-15 13:00:00,5034,40
15163.0,2025-01-15 14:00:00,5808,82
16070.0,2025-01-15 15:00:00,6489,66
17414.0,2025-01-15 16:00:00,7091,119
18292.0,2025-01-15 17:00:00,7533,185
18220.0,2025-01-15 18:00:00,7460,166
17905.0,2025-01-15 19:00:00,7492,165
17376.0,2025-01-15 20:00:00,7269,176
16574.0,2025-01-15 21:00:00,7105,179
15507.0,2025-01-15 22:00:00,6239,183
14587.0,2025-01-15 23:00:00,5344,117
14305.0,2025-01-16 00:00:00,5456,39
14011.0,2025-01-16 01:00:00,5172,2
13918.0,2025-01-16 02:00:00,5128,2
13971.0,2025-01-16 03:00:00,5233,2
14352.0,2025-01-16 04:00:00,6003,2
15163.0,2025-01-16 05:00:00,7059,3
16518.0,2025-01-16 06:00:00,8424,2
17385.0,2025-01-16 07:00:00,8922,56
16658.0,2025-01-16 08:00:00,8614,42
15449.0,2025-01-16 09:00:00,7911,3
15011.0,2025-01-16 10:00:00,7155,41
14761.0,2025-01-16 11:00:00,6963,30
14728.0,2025-01-16 12:00:00,7195,67
15013.0,2025-01-16 13:00:00,7723,74
15194.0,2025-01-16 14:00:00,7719,74
16139.0,2025-01-16 15:00:00,8519,55
17250.0,2025-01-16 16:00:00,9126,97
18073.0,2025-01-16 17:00:00,9339,168
17939.0,2025-01-16 18:00:00,9116,235
17572.0,2025-01-16 19:00:00,9074,120
16982.0,2025-01-16 20:00:00,8735,114
16125.0,2025-01-16 21:00:00,7875,103
15113.0,2025-01-16 22:00:00,7146,102
14172.0,2025-01-16 23:00:00,6495,112
13889.0,2025-01-17 00:00:00,6286,79
13587.0,2025-01-17 01:00:00,5836,2
13689.0,2025-01-17 02:00:00,5886,2
13704.0,2025-01-17 03:00:00,5387,3
13987.0,2025-01-17 04:00:00,5705,2
14506.0,2025-01-17 05:00:00,6035,46
15955.0,2025-01-17 06:00:00,7232,119
16915.0,2025-01-17 07:00:00,7691,287
16575.0,2025-01-17 08:00:00,7586,364
15214.0,2025-01-17 09:00:00,6801,131
14283.0,2025-01-17 10:00:00,5893,129
13866.0,2025-01-17 11:00:00,5674,50
13894.0,2025-01-17 12:00:00,5655,32
14151.0,2025-01-17 13:00:00,5713,34
14368.0,2025-01-17 14:00:00,6127,25
15232.0,2025-01-17 15:00:00,6808,25
16229.0,2025-01-17 16:00:00,7377,74
17032.0,2025-01-17 17:00:00,7769,146
16906.0,2025-01-17 18:00:00,7683,114
16540.0,2025-01-17 19:00:00,7565,84
16069.0,2025-01-17 20:00:00,7115,82
15425.0,2025-01-17 21:00:00,6548,82
14577.0,2025-01-17 22:00:00,5776,82
13779.0,2025-01-17 23:00:00,5019,83
13707.0,2025-01-18 00:00:00,5006,30
13592.0,2025-01-18 01:00:00,4742,2
13351.0,2025-01-18 02:00:00,4068,2
13473.0,2025-01-18 03:00:00,4127,2
13569.0,2025-01-18 04:00:00,4191,2
13596.0,2025-01-18 05:00:00,4000,2
13977.0,2025-01-18 06:00:00,4438,15
14626.0,2025-01-18 07:00:00,5204,33
14536.0,2025-01-18 08:00:00,5189,51
14370.0,2025-01-18 09:00:00,4952,99
14394.0,2025-01-18 10:00:00,5275,146
14435.0,2025-01-18 11:00:00,4966,142
14702.0,2025-01-18 12:00:00,5329,164
14817.0,2025-01-18 13:00:00,5586,133
14826.0,2025-01-18 14:00:00,5624,130
15102.0,2025-01-18 15:00:00,6123,131
15553.0,2025-01-18 16:00:00,6148,126
15905.0,2025-01-18 17:00:00,6297,129
15644.0,2025-01-18 18:00:00,5766,112
15112.0,2025-01-18 19:00:00,5425,12
14576.0,2025-01-18 20:00:00,5202,12
13912.0,2025-01-18 21:00:00,4627,12
13362.0,2025-01-18 22:00:00,4048,1
12559.0,2025-01-18 23:00:00,3345,10
11733.0,2025-01-19 00:00:00,2726,34
11556.0,2025-01-19 01:00:00,2530,51
11379.0,2025-01-19 02:00:00,2923,69
11578.0,2025-01-19 03:00:00,3198,76
11511.0,2025-01-19 04:00:00,3009,87
11872.0,2025-01-19 05:00:00,3307,96
12448.0,2025-01-19 06:00:00,3733,109
12834.0,2025-01-19 07:00:00,3987,140
12508.0,2025-01-19 08:00:00,3450,225
11838.0,2025-01-19 09:00:00,3072,331
11230.0,2025-01-19 10:00:00,3019,365
11563.0,2025-01-19 11:00:00,3481,471
12325.0,2025-01-19 12:00:00,4110,562
12938.0,2025-01-19 13:00:00,4448,418
13790.0,2025-01-19 14:00:00,5170,488
14634.0,2025-01-19 15:00:00,5535,656
15553.0,2025-01-19 16:00:00,6063,852
16231.0,2025-01-19 17:00:00,6075,773
16112.0,2025-01-19 18:00:00,5963,619
15672.0,2025-01-19 19:00:00,5828,607
15216.0,2025-01-19 20:00:00,5945,635
14583.0,2025-01-19 21:00:00,5161,732
14098.0,2025-01-19 22:00:00,4714,671
13241.0,2025-01-19 23:00:00,3766,623
12999.0,2025-01-20 00:00:00,3302,885
12837.0,2025-01-20 01:00:00,3181,994
12770.0,2025-01-20 02:00:00,3125,1058
12879.0,2025-01-20 03:00:00,3198,1131
13261.0,2025-01-20 04:00:00,3379,1268
13992.0,2025-01-20 05:00:00,3964,1485
14825.0,2025-01-20 06:00:00,4711,1696
15620.0,2025-01-20 07:00:00,5644,1876
16243.0,2025-01-20 08:00:00,5647,2318
16537.0,2025-01-20 09:00:00,4894,3096
16657.0,2025-01-20 10:00:00,3236,4004
16565.0,2025-01-20 11:00:00,2669,4290
16350.0,2025-01-20 12:00:00,2525,4280
16479.0,2025-01-20 13:00:00,2675,4330
16663.0,2025-01-20 14:00:00,2770,4392
17112.0,2025-01-20 15:00:00,3780,4132
17891.0,2025-01-20 16:00:00,4703,3889
18910.0,2025-01-20 17:00:00,5099,4079
18786.0,2025-01-20 18:00:00,5088,4042
18420.0,2025-01-20 19:00:00,5141,3846
17852.0,2025-01-20 20:00:00,4982,3669
17078.0,2025-01-20 21:00:00,4664,3490
16094.0,2025-01-20 22:00:00,4285,3199
15258.0,2025-01-20 23:00:00,3619,3120
15045.0,2025-01-21 00:00:00,3510,3030
14853.0,2025-01-21 01:00:00,3580,2574
14767.0,2025-01-21 02:00:00,3536,2658
14854.0,2025-01-21 03:00:00,3366,2925
15183.0,2025-01-21 04:00:00,3615,3246
15907.0,2025-01-21 05:00:00,3888,3586
17492.0,2025-01-21 06:00:00,4793,4270
18560.0,2025-01-21 07:00:00,5286,4728
18669.0,2025-01-21 08:00:00,5156,5087
18319.0,2025-01-21 09:00:00,4874,5037
18008.0,2025-01-21 10:00:00,4127,5238
17910.0,2025-01-21 11:00:00,4500,4840
17814.0,2025-01-21 12:00:00,4660,4671
17799.0,2025-01-21 13:00:00,4769,4583
17889.0,2025-01-21 14:00:00,5107,4719
18203.0,2025-01-21 15:00:00,5566,4885
18821.0,2025-01-21 16:00:00,6338,4828
19582.0,2025-01-21 17:00:00,6733,4811
19486.0,2025-01-21 18:00:00,6832,4967
19153.0,2025-01-21 19:00:00,6716,4615
18568.0,2025-01-21 20:00:00,6651,4633
17700.0,2025-01-21 21:00:00,5781,4703
16631.0,2025-01-21 22:00:00,5140,4336
15735.0,2025-01-21 23:00:00,4411,3998
15560.0,2025-01-22 00:00:00,4727,3659
15347.0,2025-01-22 01:00:00,4525,3672
15273.0,2025-01-22 02:00:00,4558,3408
15386.0,2025-01-22 03:00:00,4733,3466
15808.0,2025-01-22 04:00:00,4959,3521
16751.0,2025-01-22 05:00:00,5835,3595
18009.0,2025-01-22 06:00:00,6724,4070
19064.0,2025-01-22 07:00:00,7159,4732
19172.0,2025-01-22 08:00:00,7063,4621
18720.0,2025-01-22 09:00:00,6992,4462
18129.0,2025-01-22 10:00:00,6839,4316
17643.0,2025-01-22 11:00:00,6696,3951
17207.0,2025-01-22 12:00:00,6639,3548
16980.0,2025-01-22 13:00:00,6516,3237
16976.0,2025-01-22 14:00:00,6555,3030
17510.0,2025-01-22 15:00:00,7063,3118
18467.0,2025-01-22 16:00:00,7494,3494
19456.0,2025-01-22 17:00:00,7660,4022
19569.0,2025-01-22 18:00:00,7655,4105
19280.0,2025-01-22 19:00:00,7597,4137
18729.0,2025-01-22 20:00:00,7494,3873
17819.0,2025-01-22 21:00:00,6827,3402
16729.0,2025-01-22 22:00:00,5725,3150
