,Year,Month,State,Data Status,Residential - MWh,Industrial - MWh,Industrial - MWh.1,Transportation - MWh,Total - MWh
12935,2022,8,NV,Preliminary,"1,865,808","1,382,927","1,224,042",722,"4,473,500"
12936,2022,7,NV,Preliminary,"2,036,537","1,405,810","1,178,008",666,"4,621,021"
12937,2022,6,NV,Preliminary,"1,582,180","1,248,811","1,116,332",697,"3,948,021"
12938,2022,5,NV,Preliminary,"1,094,509","1,102,746","1,081,901",547,"3,279,703"
12939,2022,4,NV,Preliminary,"814,243","971,605","1,003,987",516,"2,790,351"
12940,2022,3,NV,Preliminary,"791,440","959,072","980,256",522,"2,731,291"
12941,2022,2,NV,Preliminary,"811,975","878,605","893,077",548,"2,584,205"
12942,2022,1,NV,Preliminary,"956,062","951,326","977,764",569,"2,885,721"
12943,2021,12,NV,Preliminary,"966,359","919,543","974,745",560,"2,861,208"
12944,2021,11,NV,Preliminary,"771,417","917,724","956,725",554,"2,646,419"
12945,2021,10,NV,Preliminary,"840,292","1,014,520","1,056,873",576,"2,912,260"
12946,2021,9,NV,Preliminary,"1,477,800","1,177,977","1,095,298",725,"3,751,800"
12947,2021,8,NV,Preliminary,"1,926,779","1,345,638","1,161,672",686,"4,434,774"
12948,2021,7,NV,Preliminary,"2,137,071","1,392,145","1,168,655",675,"4,698,546"
12949,2021,6,NV,Preliminary,"1,794,758","1,258,982","1,046,242",578,"4,100,560"
12950,2021,5,NV,Preliminary,"1,110,558","1,092,086","1,008,690",262,"3,211,596"
12951,2021,4,NV,Preliminary,"822,187","968,166","922,949",202,"2,713,505"
12952,2021,3,NV,Preliminary,"814,247","934,788","903,212",175,"2,652,422"
12953,2021,2,NV,Preliminary,"782,890","811,747","849,537",167,"2,444,341"
12954,2021,1,NV,Preliminary,"953,744","912,816","940,932",168,"2,807,661"
12955,2020,12,NV,Final,"998,364","912,580","923,477",172,"2,834,594"
12956,2020,11,NV,Final,"821,405","893,468","923,200",206,"2,638,279"
12957,2020,10,NV,Final,"1,028,164","1,010,666","1,012,149",305,"3,051,284"
12958,2020,9,NV,Final,"1,469,990","1,119,155","1,075,449",255,"3,664,849"
12959,2020,8,NV,Final,"2,065,473","1,277,986","1,114,611",235,"4,458,306"
12960,2020,7,NV,Final,"1,985,132","1,250,643","1,115,978",233,"4,351,986"
12961,2020,6,NV,Final,"1,500,075","1,071,997","992,292",217,"3,564,581"
12962,2020,5,NV,Final,"1,183,277","967,538","898,633",181,"3,049,629"
12963,2020,4,NV,Final,"814,784","802,294","886,600",184,"2,503,863"
12964,2020,3,NV,Final,"766,502","913,241","1,043,544",647,"2,723,933"
12965,2020,2,NV,Final,"791,661","850,430","932,834",642,"2,575,567"
12966,2020,1,NV,Final,"896,779","913,741","1,005,826",683,"2,817,029"
12967,2019,12,NV,Final,"932,105","900,792","973,478",593,"2,806,968"
12968,2019,11,NV,Final,"746,896","828,087","971,274",592,"2,546,849"
12969,2019,10,NV,Final,"788,726","885,114","992,423",589,"2,666,852"
12970,2019,9,NV,Final,"1,290,608","1,115,207","1,091,756",806,"3,498,377"
12971,2019,8,NV,Final,"1,832,547","1,284,719","1,154,449",633,"4,272,349"
12972,2019,7,NV,Final,"1,795,784","1,215,336","1,116,106",862,"4,128,087"
12973,2019,6,NV,Final,"1,352,548","1,004,717","1,292,343",716,"3,650,324"
12974,2019,5,NV,Final,"824,489","960,464","999,601",647,"2,785,201"
12975,2019,4,NV,Final,"769,624","888,717","974,112",653,"2,633,106"
12976,2019,3,NV,Final,"747,681","903,546","1,019,169",594,"2,670,990"
12977,2019,2,NV,Final,"868,560","811,732","881,496",607,"2,562,395"
12978,2019,1,NV,Final,"918,069","882,756","959,328",736,"2,760,889"
12979,2018,12,NV,Final,"919,860","916,750","1,027,590",628,"2,864,829"
12980,2018,11,NV,Final,"754,141","844,177","1,075,418",671,"2,674,408"
12981,2018,10,NV,Final,"829,250","1,007,505","981,742",670,"2,819,167"
12982,2018,9,NV,Final,"1,387,385","1,080,138","1,072,202",734,"3,540,458"
12983,2018,8,NV,Final,"1,889,708","1,322,225","1,146,419",917,"4,359,270"
12984,2018,7,NV,Final,"1,978,764","1,303,398","1,141,593",763,"4,424,517"
12985,2018,6,NV,Final,"1,519,228","1,117,830","1,036,459",763,"3,674,279"
12986,2018,5,NV,Final,"1,046,990","1,037,457","1,007,094",696,"3,092,237"
12987,2018,4,NV,Final,"793,023","886,754","921,583",639,"2,601,999"
12988,2018,3,NV,Final,"749,394","955,408","929,435",596,"2,634,834"
12989,2018,2,NV,Final,"741,467","808,965","895,587",567,"2,446,587"
12990,2018,1,NV,Final,"840,532","843,287","963,151",707,"2,647,678"
12991,2017,12,NV,Final,"892,059","844,073","980,685",621,"2,717,438"
12992,2017,11,NV,Final,"704,716","790,215","981,700",662,"2,477,294"
12993,2017,10,NV,Final,"799,171","912,023","993,964",603,"2,705,761"
12994,2017,9,NV,Final,"1,212,415","1,011,587","1,141,912","1,140","3,367,054"
12995,2017,8,NV,Final,"1,707,382","1,178,124","1,140,878",780,"4,027,164"
12996,2017,7,NV,Final,"2,003,468","1,229,679","1,148,513",892,"4,382,553"
12997,2017,6,NV,Final,"1,529,308","1,105,568","1,180,100",726,"3,815,701"
12998,2017,5,NV,Final,"973,618","905,066","1,095,199",702,"2,974,585"
12999,2017,4,NV,Final,"730,599","781,018","968,991",592,"2,481,201"
13000,2017,3,NV,Final,"767,566","814,609","994,912",634,"2,577,720"
13001,2017,2,NV,Final,"697,353","755,293","970,354",590,"2,423,590"
13002,2017,1,NV,Final,"919,135","795,500","992,341",749,"2,707,725"
13003,2016,12,NV,Final,"932,335","821,705","1,022,270",609,"2,776,918"
13004,2016,11,NV,Final,"726,092","742,431","922,413",681,"2,391,617"
13005,2016,10,NV,Final,"712,551","947,118","1,148,535",670,"2,808,874"
13006,2016,9,NV,Final,"1,191,084","853,570","1,162,511",742,"3,207,907"
13007,2016,8,NV,Final,"1,855,806","987,374","1,195,709",896,"4,039,785"
13008,2016,7,NV,Final,"1,737,226","1,042,169","1,369,864",802,"4,150,061"
13009,2016,6,NV,Final,"1,631,332","891,230","1,210,623",717,"3,733,902"
13010,2016,5,NV,Final,"832,022","820,761","1,125,724",693,"2,779,200"
13011,2016,4,NV,Final,"647,035","719,208","1,137,246",718,"2,504,207"
13012,2016,3,NV,Final,"708,545","737,945","1,067,338",629,"2,514,457"
13013,2016,2,NV,Final,"705,229","677,854","1,097,210",534,"2,480,828"
13014,2016,1,NV,Final,"1,012,684","687,711","1,055,792",687,"2,756,874"
13015,2015,12,NV,Final,"886,249","749,545","1,094,504",651,"2,730,949"
13016,2015,11,NV,Final,"601,106","697,419","1,165,302",623,"2,464,450"
13017,2015,10,NV,Final,"949,430","808,141","1,153,434",684,"2,911,689"
13018,2015,9,NV,Final,"1,386,595","857,065","1,225,645",743,"3,470,048"
13019,2015,8,NV,Final,"1,596,017","1,020,787","1,363,680",841,"3,981,325"
13020,2015,7,NV,Final,"1,677,107","956,475","1,256,448",813,"3,890,843"
13021,2015,6,NV,Final,"1,461,913","873,016","1,265,001",767,"3,600,698"
13022,2015,5,NV,Final,"809,647","820,742","1,188,713",621,"2,819,723"
13023,2015,4,NV,Final,"665,696","722,888","1,080,397",627,"2,469,608"
13024,2015,3,NV,Final,"688,189","728,422","1,159,602",657,"2,576,871"
13025,2015,2,NV,Final,"628,798","690,860","980,343",604,"2,300,604"
13026,2015,1,NV,Final,"987,791","688,637","1,125,742",713,"2,802,882"
13027,2014,12,NV,Final,"799,609","706,775","1,102,648",607,"2,609,639"
13028,2014,11,NV,Final,"557,594","683,158","1,097,649",626,"2,339,028"
13029,2014,10,NV,Final,"814,060","763,549","1,124,011",664,"2,702,284"
13030,2014,9,NV,Final,"1,262,391","882,633","1,249,896",841,"3,395,760"
13031,2014,8,NV,Final,"1,511,611","911,429","1,220,008",807,"3,643,856"
13032,2014,7,NV,Final,"1,782,745","968,346","1,290,314",768,"4,042,172"
13033,2014,6,NV,Final,"1,404,002","892,479","1,248,076",837,"3,545,394"
13034,2014,5,NV,Final,"884,553","887,277","1,194,983",648,"2,967,461"
13035,2014,4,NV,Final,"647,700","694,577","1,121,972",598,"2,464,847"
13036,2014,3,NV,Final,"660,429","702,039","1,057,477",599,"2,420,544"
13037,2014,2,NV,Final,"673,004","643,246","988,209",654,"2,305,113"
13038,2014,1,NV,Final,"918,822","682,582","1,037,452",650,"2,639,507"
13039,2013,12,NV,Final,"921,111","717,196","1,102,595",672,"2,741,574"
13040,2013,11,NV,Final,"581,783","669,933","1,151,886",585,"2,404,188"
13041,2013,10,NV,Final,"660,927","727,516","1,117,027",620,"2,506,090"
13042,2013,9,NV,Final,"1,115,573","819,433","1,194,144",737,"3,129,887"
13043,2013,8,NV,Final,"1,508,010","896,766","1,252,071",852,"3,657,700"
13044,2013,7,NV,Final,"1,892,476","953,268","1,271,937",818,"4,118,499"
13045,2013,6,NV,Final,"1,455,674","896,689","1,265,331",805,"3,618,500"
13046,2013,5,NV,Final,"889,630","800,309","1,208,380",671,"2,898,989"
13047,2013,4,NV,Final,"660,263","713,750","1,098,813",610,"2,473,436"
13048,2013,3,NV,Final,"704,295","734,633","1,083,755",571,"2,523,253"
13049,2013,2,NV,Final,"721,316","663,934","964,353",652,"2,350,255"
13050,2013,1,NV,Final,"1,031,374","708,511","1,048,276",683,"2,788,844"
13051,2012,12,NV,Final,"815,398","729,064","1,066,953",594,"2,612,009"
13052,2012,11,NV,Final,"558,048","684,851","1,124,354",588,"2,367,841"
13053,2012,10,NV,Final,"815,761","759,764","1,151,673",676,"2,727,874"
13054,2012,9,NV,Final,"1,244,334","856,881","1,174,545",777,"3,276,536"
13055,2012,8,NV,Final,"1,706,466","941,562","1,289,980",731,"3,938,739"
13056,2012,7,NV,Final,"1,686,223","939,402","1,253,049",787,"3,879,461"
13057,2012,6,NV,Final,"1,326,994","865,430","1,227,383",782,"3,420,590"
13058,2012,5,NV,Final,"978,674","833,011","1,226,726",638,"3,039,049"
13059,2012,4,NV,Final,"653,785","669,857","1,133,450",610,"2,457,703"
13060,2012,3,NV,Final,"728,122","753,690","1,042,005",677,"2,524,493"
13061,2012,2,NV,Final,"704,638","622,318","1,028,524",576,"2,356,056"
13062,2012,1,NV,Final,"904,275","658,781","1,015,819",692,"2,579,567"
13063,2011,12,NV,Final,"864,655","711,677","1,107,414",612,"2,684,358"
13064,2011,11,NV,Final,"599,103","685,392","1,126,105",654,"2,411,254"
13065,2011,10,NV,Final,"769,452","771,708","1,128,360",683,"2,670,203"
13066,2011,9,NV,Final,"1,268,352","798,248","1,092,646",755,"3,160,002"
13067,2011,8,NV,Final,"1,600,821","929,780","1,284,179",759,"3,815,538"
13068,2011,7,NV,Final,"1,662,839","910,127","1,202,425",817,"3,776,208"
13069,2011,6,NV,Final,"1,017,843","801,822","1,246,636",672,"3,066,973"
13070,2011,5,NV,Final,"742,042","749,358","1,116,399",605,"2,608,404"
13071,2011,4,NV,Final,"640,732","666,437","1,071,415",620,"2,379,204"
13072,2011,3,NV,Final,"722,768","682,789","1,052,169",624,"2,458,350"
13073,2011,2,NV,Final,"699,160","622,780","963,527",592,"2,286,059"
13074,2011,1,NV,Final,"905,513","665,044","1,028,685",684,"2,599,927"
13075,2010,12,NV,Final,"848,435","677,376","1,028,864",647,"2,555,323"
