"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SE,"1/1/2021, Central Time",497787,510417,512910,15127
SE,"1/2/2021, Central Time",511279,509917,530162,18868
SE,"1/3/2021, Central Time",579899,583503,591825,11907
SE,"1/4/2021, Central Time",680171,663864,687308,7068
SE,"1/5/2021, Central Time",649794,638719,667213,17411
SE,"1/6/2021, Central Time",701769,688447,700082,-1676
SE,"1/7/2021, Central Time",714681,706109,719192,4532
SE,"1/8/2021, Central Time",732911,729733,742990,10113
SE,"1/9/2021, Central Time",758491,748693,757572,-953
SE,"1/10/2021, Central Time",758484,755963,745682,-12862
SE,"1/11/2021, Central Time",743855,738216,753914,10039
SE,"1/12/2021, Central Time",745750,736998,758822,13069
SE,"1/13/2021, Central Time",768898,750875,768894,-23
SE,"1/14/2021, Central Time",734729,728743,734153,-590
SE,"1/15/2021, Central Time",662189,655171,668887,6685
SE,"1/16/2021, Central Time",718253,706212,720594,2291
SE,"1/17/2021, Central Time",703471,698764,707214,3717
SE,"1/18/2021, Central Time",711690,690397,725229,13567
SE,"1/19/2021, Central Time",717875,694150,729008,11165
SE,"1/20/2021, Central Time",631418,644897,646905,15509
SE,"1/21/2021, Central Time",627094,614947,641040,13940
SE,"1/22/2021, Central Time",611056,600764,619393,8337
SE,"1/23/2021, Central Time",605969,603880,611301,5313
SE,"1/24/2021, Central Time",569075,573119,584415,15316
SE,"1/25/2021, Central Time",575852,569157,592792,17080
SE,"1/26/2021, Central Time",546335,548876,574973,28747
SE,"1/27/2021, Central Time",574303,569741,599830,25555
SE,"1/28/2021, Central Time",696103,689652,708908,12735
SE,"1/29/2021, Central Time",736770,728097,748725,12015
SE,"1/30/2021, Central Time",677686,669347,685627,7930
SE,"1/31/2021, Central Time",589120,576820,597244,7964
SE,"2/1/2021, Central Time",750190,735377,742420,-7699
SE,"2/2/2021, Central Time",783582,773495,788541,5036
SE,"2/3/2021, Central Time",769264,751514,760315,-8868
SE,"2/4/2021, Central Time",744307,722893,738827,-5405
SE,"2/5/2021, Central Time",633326,639370,649224,16003
SE,"2/6/2021, Central Time",692848,677920,679193,-13675
SE,"2/7/2021, Central Time",656801,645349,653629,-3188
SE,"2/8/2021, Central Time",688910,680976,691682,2851
SE,"2/9/2021, Central Time",595284,590553,611105,15891
