BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SOCO,"1/1/2023, Central Time",477556,479703,492075,14519
SOCO,"1/2/2023, Central Time",512628,508141,527034,14406
SOCO,"1/3/2023, Central Time",541170,536012,550036,8866
SOCO,"1/4/2023, Central Time",538576,541533,552339,13763
SOCO,"1/5/2023, Central Time",577380,573750,589308,11928
SOCO,"1/6/2023, Central Time",626097,610335,634697,8600
SOCO,"1/7/2023, Central Time",594401,583765,605958,11557
SOCO,"1/8/2023, Central Time",547309,538326,569144,21835
SOCO,"1/9/2023, Central Time",601613,596641,616574,14961
SOCO,"1/10/2023, Central Time",649987,640058,659662,9675
SOCO,"1/11/2023, Central Time",604187,595286,614330,10143
SOCO,"1/12/2023, Central Time",549208,544500,560539,11331
SOCO,"1/13/2023, Central Time",661892,633979,680005,18113
SOCO,"1/14/2023, Central Time",709757,699228,723071,13314
SOCO,"1/15/2023, Central Time",696982,693657,697354,372
SOCO,"1/16/2023, Central Time",667019,667134,676754,9735
SOCO,"1/17/2023, Central Time",583551,579394,602615,19064
SOCO,"1/18/2023, Central Time",549708,555035,552397,2689
SOCO,"1/19/2023, Central Time",540956,541141,551757,10801
SOCO,"1/20/2023, Central Time",584372,570421,601267,16895
SOCO,"1/21/2023, Central Time",600358,592167,613492,13134
SOCO,"1/22/2023, Central Time",609573,600821,619883,10310
SOCO,"1/23/2023, Central Time",667400,656408,681897,14497
SOCO,"1/24/2023, Central Time",715909,703259,727126,11217
SOCO,"1/25/2023, Central Time",614009,604142,624723,10714
SOCO,"1/26/2023, Central Time",693811,688358,708116,14305
SOCO,"1/27/2023, Central Time",726006,711745,726181,175
SOCO,"1/28/2023, Central Time",668318,656806,667682,-636
SOCO,"1/29/2023, Central Time",598782,589989,597867,-915
SOCO,"1/30/2023, Central Time",577118,572778,584711,7593
SOCO,"1/31/2023, Central Time",559274,553751,593266,33992
SOCO,"2/1/2023, Central Time",573519,564870,610795,37276
SOCO,"2/2/2023, Central Time",614261,604819,643632,29371
SOCO,"2/3/2023, Central Time",651215,648212,658045,6830
SOCO,"2/4/2023, Central Time",668051,664574,651992,-16059
SOCO,"2/5/2023, Central Time",596831,586293,591234,-5597
SOCO,"2/6/2023, Central Time",607105,597366,606513,-592
SOCO,"2/7/2023, Central Time",602487,586670,611155,8668
SOCO,"2/8/2023, Central Time",559872,545068,568854,8982
SOCO,"2/9/2023, Central Time",543909,545794,557813,13904
SOCO,"2/10/2023, Central Time",552166,542728,568800,16634
SOCO,"2/11/2023, Central Time",589436,578519,594779,5343
SOCO,"2/12/2023, Central Time",621344,615672,615796,-5548
