"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SE,"1/1/2021, Central Time",0,2827,36845,9047,-16,255493,68791,139924
SE,"1/2/2021, Central Time",0,2616,38897,9272,-15,264601,74344,140441
SE,"1/3/2021, Central Time",0,12929,37661,9220,-18,297277,93113,141645
SE,"1/4/2021, Central Time",0,15239,45949,9205,-14,366599,108295,142037
SE,"1/5/2021, Central Time",0,15509,42958,9216,128,343492,114171,141738
SE,"1/6/2021, Central Time",0,11580,42074,9235,-18,374844,120379,141990
SE,"1/7/2021, Central Time",0,3839,42228,9192,-21,393300,130276,140384
SE,"1/8/2021, Central Time",0,2153,41882,9182,-19,404879,142198,142714
SE,"1/9/2021, Central Time",0,4054,30403,8999,-20,413985,161874,138280
SE,"1/10/2021, Central Time",0,11101,28555,9106,-20,399148,155903,141893
SE,"1/11/2021, Central Time",0,3080,32041,8870,-18,399581,168069,142288
SE,"1/12/2021, Central Time",0,3887,32000,8301,102,398655,173590,142291
SE,"1/13/2021, Central Time",0,8268,31143,8194,-17,408071,170724,142505
SE,"1/14/2021, Central Time",0,16759,29811,8862,-22,365281,171071,142386
SE,"1/15/2021, Central Time",0,11488,27322,8828,-16,322091,157144,142027
SE,"1/16/2021, Central Time",0,16924,23868,8130,-21,370648,158683,142369
SE,"1/17/2021, Central Time",0,14608,21694,6545,-18,369618,152423,142349
SE,"1/18/2021, Central Time",0,17595,29388,7738,-18,370878,157561,142088
SE,"1/19/2021, Central Time",0,16475,31957,7666,9,366189,164671,142039
SE,"1/20/2021, Central Time",0,13938,27835,7446,-15,325780,130304,141622
SE,"1/21/2021, Central Time",0,3459,24452,6975,50,343191,121634,141283
SE,"1/22/2021, Central Time",0,2786,27253,8166,-14,344315,95648,141244
SE,"1/23/2021, Central Time",0,14296,22686,7770,-18,335152,89828,141600
SE,"1/24/2021, Central Time",0,7685,21455,6936,-18,323726,83400,141240
SE,"1/25/2021, Central Time",0,9950,29931,6592,-13,327396,78777,140168
SE,"1/26/2021, Central Time",0,3458,39734,5611,49,310687,75990,139454
SE,"1/27/2021, Central Time",0,4302,47719,6489,-16,315515,85329,140484
SE,"1/28/2021, Central Time",0,19135,51990,7257,52,365422,123643,141408
SE,"1/29/2021, Central Time",0,18925,50312,7015,-22,398331,132610,141546
SE,"1/30/2021, Central Time",0,13044,40141,7781,-15,352083,131361,141218
SE,"1/31/2021, Central Time",0,3731,33963,6811,-17,290659,121765,140331
SE,"2/1/2021, Central Time",0,3547,43154,6696,-19,393320,154671,141044
SE,"2/2/2021, Central Time",0,19661,40022,6825,32,408474,172344,141177
SE,"2/3/2021, Central Time",0,19800,39804,7703,80,375662,176089,141182
SE,"2/4/2021, Central Time",0,11443,36478,7391,24,367096,175431,140967
SE,"2/5/2021, Central Time",0,4671,32753,8273,-16,306437,156818,140293
SE,"2/6/2021, Central Time",0,2425,26833,8344,-18,350540,150235,140840
SE,"2/7/2021, Central Time",0,11932,28791,8243,-18,311762,159134,133789
SE,"2/8/2021, Central Time",0,16070,36317,7737,-18,329138,180812,121633
SE,"2/9/2021, Central Time",0,4311,31744,7754,15,270934,175090,121259
SE,"2/10/2021, Central Time",0,5513,31646,8598,222,257850,175547,121046
SE,"2/11/2021, Central Time",0,4959,35847,8665,-17,243293,180634,120864
SE,"2/12/2021, Central Time",0,4364,46119,8549,-17,279300,193933,121497
SE,"2/13/2021, Central Time",0,2739,31975,7925,-19,312497,218629,122003
SE,"2/14/2021, Central Time",0,2685,35908,8345,-19,288706,234770,122027
SE,"2/15/2021, Central Time",0,2655,41368,8269,-1,307846,261410,121673
SE,"2/16/2021, Central Time",0,14507,48076,8108,126,403791,286829,121974
SE,"2/17/2021, Central Time",0,17637,45638,7675,299,351652,303026,122109
SE,"2/18/2021, Central Time",0,2716,44748,8616,-16,291136,288134,121843
SE,"2/19/2021, Central Time",0,9222,47445,7532,-18,292228,295325,122027
SE,"2/20/2021, Central Time",0,22277,50199,8149,-20,269876,270985,122196
SE,"2/21/2021, Central Time",0,18966,46512,7826,-16,220738,273686,121977
SE,"2/22/2021, Central Time",0,8858,43462,7086,-18,188177,266367,121438
SE,"2/23/2021, Central Time",0,22155,39238,8125,100,227644,222570,121706
SE,"2/24/2021, Central Time",0,21800,37028,7901,-19,249946,175952,121729
SE,"2/25/2021, Central Time",0,18836,35618,7979,36,241752,157464,121284
SE,"2/26/2021, Central Time",0,10996,35586,7597,-14,284082,126310,121253
SE,"2/27/2021, Central Time",0,13336,35136,7649,-15,250208,114726,120863
SE,"2/28/2021, Central Time",0,13229,40072,6999,-16,242478,111412,120210
SE,"3/1/2021, Central Time",0,5982,44952,7546,-14,261079,110772,120578
SE,"3/2/2021, Central Time",0,1939,47942,7757,82,333340,118711,121668
SE,"3/3/2021, Central Time",0,14645,44352,8251,-20,310939,126851,121357
SE,"3/4/2021, Central Time",0,23025,40119,8014,-15,283656,120097,121444
SE,"3/5/2021, Central Time",0,17447,37159,7726,4,283583,119528,121343
SE,"3/6/2021, Central Time",0,11929,28431,8644,-16,279285,116332,121771
SE,"3/7/2021, Central Time",0,23251,25857,8476,-19,286353,117244,121888
SE,"3/8/2021, Central Time",0,21716,32294,8346,-16,308514,121453,121769
SE,"3/9/2021, Central Time",0,20601,28489,7838,26,296219,114589,124717
SE,"3/10/2021, Central Time",0,19620,20126,8422,-19,275336,110766,133040
SE,"3/11/2021, Central Time",0,19180,20280,8051,-16,264050,111700,139487
SE,"3/12/2021, Central Time",0,19785,18350,6903,-16,259097,111644,140909
SE,"3/13/2021, Central Time",0,18998,14675,6660,-14,238719,105159,141215
SE,"3/14/2021, Central Time",0,20047,16063,7602,-14,231282,94632,135034
SE,"3/15/2021, Central Time",0,13970,20302,7042,-14,263822,107927,140658
SE,"3/16/2021, Central Time",0,8669,31736,7528,-18,284161,114229,140478
SE,"3/17/2021, Central Time",0,9679,39295,7472,35,260450,116720,139992
SE,"3/18/2021, Central Time",0,15854,41597,6753,-14,246342,107044,139445
SE,"3/19/2021, Central Time",0,12321,39876,7510,-15,272035,102503,140022
SE,"3/20/2021, Central Time",0,18318,38883,7130,-20,256655,84864,137265
SE,"3/21/2021, Central Time",0,13576,38988,7599,-16,265222,87880,124507
SE,"3/22/2021, Central Time",0,20572,43686,8405,-14,259489,110913,120550
SE,"3/23/2021, Central Time",0,14848,40928,8083,12,270685,100045,120730
SE,"3/24/2021, Central Time",0,10112,41869,8709,-14,267883,103674,120479
SE,"3/25/2021, Central Time",0,13554,40312,8815,-18,279185,109782,119828
SE,"3/26/2021, Central Time",0,9566,41874,8520,-13,291178,114341,119485
SE,"3/27/2021, Central Time",0,14624,50408,8851,-13,274726,111963,118253
SE,"3/28/2021, Central Time",0,10805,58285,8930,-13,261440,84403,118773
SE,"3/29/2021, Central Time",0,24346,63706,8887,-14,272657,78023,120509
SE,"3/30/2021, Central Time",0,12860,59707,8557,45,289051,90829,120743
SE,"3/31/2021, Central Time",0,13149,56868,8705,-16,303936,94216,120003
SE,"4/1/2021, Central Time",0,24965,61749,8906,-9,299803,91554,121651
SE,"4/2/2021, Central Time",0,25699,65211,7981,-17,307511,86757,122261
SE,"4/3/2021, Central Time",0,24712,64881,7497,-17,271887,91868,122149
SE,"4/4/2021, Central Time",0,25166,63234,7187,-20,230635,84360,121860
SE,"4/5/2021, Central Time",0,24742,51645,6524,-13,259259,90015,121527
SE,"4/6/2021, Central Time",0,23751,48612,5358,33,275241,90464,121190
SE,"4/7/2021, Central Time",0,20610,47994,6096,40,287773,95634,120898
SE,"4/8/2021, Central Time",0,14925,48000,6153,-14,315262,79253,119392
SE,"4/9/2021, Central Time",0,3083,45589,577,53,320360,79339,99467
SE,"4/10/2021, Central Time",0,7613,40401,6265,-16,298467,72583,100163
SE,"4/11/2021, Central Time",0,15179,44039,5915,-12,277620,65515,115553
SE,"4/12/2021, Central Time",0,24925,41705,5798,-14,303048,82063,117389
SE,"4/13/2021, Central Time",0,21187,41506,5646,29,330873,72130,113664
SE,"4/14/2021, Central Time",0,16362,37977,5872,35,322336,90460,113794
SE,"4/15/2021, Central Time",0,7875,34496,6046,-17,310822,101398,113989
SE,"4/16/2021, Central Time",0,9952,30914,5035,-11,278765,99708,120806
SE,"4/17/2021, Central Time",0,13881,24420,3313,-16,255666,96970,120477
SE,"4/18/2021, Central Time",0,17906,23359,3657,-14,241676,104875,120281
SE,"4/19/2021, Central Time",0,25336,29760,4867,-11,286958,80950,120497
SE,"4/20/2021, Central Time",0,16147,30710,4727,153,307927,80559,120434
SE,"4/21/2021, Central Time",0,24254,24831,4536,-11,300522,84721,122959
SE,"4/22/2021, Central Time",0,24021,24134,5235,-17,307231,89957,126182
SE,"4/23/2021, Central Time",0,19469,23742,5378,19,288400,91501,121100
SE,"4/24/2021, Central Time",0,4297,33804,5217,-15,261122,95044,129451
SE,"4/25/2021, Central Time",0,24944,33166,5240,-15,221902,93212,133134
SE,"4/26/2021, Central Time",0,24692,32440,3614,-15,260340,115339,136881
SE,"4/27/2021, Central Time",0,21955,31836,3776,-11,284741,112011,141222
SE,"4/28/2021, Central Time",0,19586,31580,4794,47,304866,126623,141662
SE,"4/29/2021, Central Time",0,19353,28990,5734,96,307373,127741,141238
SE,"4/30/2021, Central Time",0,18556,23680,5815,24,268822,127494,141333
SE,"5/1/2021, Central Time",0,25633,18966,7666,-15,225323,108767,142719
SE,"5/2/2021, Central Time",0,16957,19634,7839,-13,237263,117023,142084
SE,"5/3/2021, Central Time",0,13868,30170,6836,-10,303135,131044,141354
SE,"5/4/2021, Central Time",0,15869,51638,5635,46,299662,130337,139947
SE,"5/5/2021, Central Time",0,10010,56488,5974,-12,265583,120636,141089
SE,"5/6/2021, Central Time",0,25768,59727,5610,-14,238497,108202,142838
