BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
SOCO,"1/1/2022, Central Time",0,12488,46476,7744,-18,294079,50791,119955
SOCO,"1/2/2022, Central Time",0,7354,47095,8149,-12,300451,54027,120389
SOCO,"1/3/2022, Central Time",0,13155,53598,7836,-16,422691,85244,127995
SOCO,"1/4/2022, Central Time",0,17847,56942,7429,75,419787,100712,142519
SOCO,"1/5/2022, Central Time",0,16966,52939,6766,10,351470,85580,141755
SOCO,"1/6/2022, Central Time",0,17827,53117,7308,-19,364115,101596,143149
SOCO,"1/7/2022, Central Time",0,22072,52505,7100,-15,413705,110571,142497
SOCO,"1/8/2022, Central Time",0,20396,47516,6687,-19,360260,115814,143365
SOCO,"1/9/2022, Central Time",0,12313,45378,6702,-15,272955,103595,142040
SOCO,"1/10/2022, Central Time",0,16956,48328,6506,-18,345493,113689,142736
SOCO,"1/11/2022, Central Time",0,24415,50347,7631,35,407878,133887,143366
SOCO,"1/12/2022, Central Time",0,16379,44492,7150,-18,396733,143409,143255
SOCO,"1/13/2022, Central Time",0,20570,35519,7221,-17,359253,135545,142869
SOCO,"1/14/2022, Central Time",0,20506,28637,7180,-17,328205,151149,142997
SOCO,"1/15/2022, Central Time",0,11792,32139,6704,-16,323692,139588,142939
SOCO,"1/16/2022, Central Time",0,6902,39079,6174,-19,384783,167980,142944
SOCO,"1/17/2022, Central Time",0,17196,45409,6114,-20,394868,193947,143081
SOCO,"1/18/2022, Central Time",0,24029,48204,6416,45,388605,186387,143158
SOCO,"1/19/2022, Central Time",0,22653,39078,6140,-19,332388,170675,142660
SOCO,"1/20/2022, Central Time",0,5622,36215,6132,-18,354587,186270,142064
SOCO,"1/21/2022, Central Time",0,2664,37113,6255,-18,425036,232672,142820
SOCO,"1/22/2022, Central Time",0,9385,35576,6277,-23,398121,225368,142912
SOCO,"1/23/2022, Central Time",0,26601,28463,8189,-19,386238,226112,142685
SOCO,"1/24/2022, Central Time",0,23097,30264,8142,-19,353489,200321,142360
SOCO,"1/25/2022, Central Time",0,6707,25587,7575,35,337625,175200,142063
SOCO,"1/26/2022, Central Time",0,20962,26665,7846,52,368306,196944,142198
SOCO,"1/27/2022, Central Time",0,25443,30321,7944,-19,357212,202030,142517
SOCO,"1/28/2022, Central Time",0,10198,25968,8433,-19,384522,220862,142413
SOCO,"1/29/2022, Central Time",0,28001,24323,7996,-21,402050,238358,142511
SOCO,"1/30/2022, Central Time",0,27083,21177,6710,-19,368153,215218,142041
SOCO,"1/31/2022, Central Time",0,24469,25341,7037,-17,342614,186031,141578
SOCO,"2/1/2022, Central Time",0,24373,24039,7332,22,328192,156453,141406
SOCO,"2/2/2022, Central Time",0,17335,21345,6978,47,298344,147079,140502
SOCO,"2/3/2022, Central Time",0,9706,33544,7945,-12,264368,153858,139030
SOCO,"2/4/2022, Central Time",0,2815,49696,8232,-15,317448,159289,139385
SOCO,"2/5/2022, Central Time",0,25712,52209,8194,-18,360395,170429,136396
SOCO,"2/6/2022, Central Time",0,14718,50416,8402,-18,355458,169840,122242
SOCO,"2/7/2022, Central Time",0,5144,54903,8342,3,371552,180724,122152
SOCO,"2/8/2022, Central Time",0,14782,52965,8637,51,372526,160777,122306
SOCO,"2/9/2022, Central Time",0,27832,49515,8459,-16,357920,149853,122540
SOCO,"2/10/2022, Central Time",0,28019,46995,8364,84,334263,135465,122298
SOCO,"2/11/2022, Central Time",0,22847,44964,8160,-18,308069,128258,122409
SOCO,"2/12/2022, Central Time",0,13816,38311,7897,-15,269366,122203,122273
SOCO,"2/13/2022, Central Time",0,23521,37108,8009,-15,318208,140155,122462
SOCO,"2/14/2022, Central Time",0,28956,37812,6539,-20,372769,171839,122831
SOCO,"2/15/2022, Central Time",0,28338,36299,7187,44,342647,171625,122587
SOCO,"2/16/2022, Central Time",0,24438,28674,7763,49,288951,146190,121825
SOCO,"2/17/2022, Central Time",0,15563,25466,8112,-15,276231,131534,120879
SOCO,"2/18/2022, Central Time",0,21333,39014,8036,-14,322237,130703,121379
SOCO,"2/19/2022, Central Time",0,31793,42410,8522,-16,345392,134245,122622
SOCO,"2/20/2022, Central Time",0,31101,41478,8132,-17,309539,128213,122375
SOCO,"2/21/2022, Central Time",0,12054,39521,8082,-15,313705,124107,121625
SOCO,"2/22/2022, Central Time",0,26375,40235,7395,99,281789,114730,120900
SOCO,"2/23/2022, Central Time",0,23164,40076,8297,-15,283302,119241,120380
SOCO,"2/24/2022, Central Time",0,20533,39277,8460,-14,294936,116547,120207
SOCO,"2/25/2022, Central Time",0,17964,41341,8159,-14,295892,113897,120148
SOCO,"2/26/2022, Central Time",0,28137,40268,8255,-14,291619,115477,121545
SOCO,"2/27/2022, Central Time",0,16740,40471,7831,-14,290862,119874,121357
SOCO,"2/28/2022, Central Time",0,14421,42957,7470,-17,313935,140698,121581
SOCO,"3/1/2022, Central Time",0,29982,44790,7099,-18,309822,132186,121363
SOCO,"3/2/2022, Central Time",0,31880,45095,6674,-11,309455,120279,120737
SOCO,"3/3/2022, Central Time",0,29991,43016,7204,47,282238,114092,125810
SOCO,"3/4/2022, Central Time",0,31094,43632,7347,45,259202,107267,136449
