"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SOCO,"1/1/2023, Central Time",0,14357,15341,8315,-12,250041,63379,140660
SOCO,"1/2/2023, Central Time",0,11237,17171,8222,-11,274322,75644,140443
SOCO,"1/3/2023, Central Time",0,7533,21762,7928,-15,292360,80688,139779
SOCO,"1/4/2023, Central Time",0,7735,42806,7242,9,282297,72640,139611
SOCO,"1/5/2023, Central Time",0,19783,48905,7826,-12,289675,82876,140254
SOCO,"1/6/2023, Central Time",0,22285,50451,8179,-13,324356,88738,140703
SOCO,"1/7/2023, Central Time",0,21884,50566,8402,-14,305626,78796,140702
SOCO,"1/8/2023, Central Time",0,12051,44699,8136,-12,296076,67679,140519
SOCO,"1/9/2023, Central Time",0,21397,45311,8681,-14,325950,74875,140376
SOCO,"1/10/2023, Central Time",0,21965,45061,8471,38,356181,87441,140505
SOCO,"1/11/2023, Central Time",0,16014,40431,8138,54,330098,79659,139931
SOCO,"1/12/2023, Central Time",0,11168,37585,7223,-14,300734,64524,139321
SOCO,"1/13/2023, Central Time",0,6985,40214,7721,-14,389579,95269,140245
SOCO,"1/14/2023, Central Time",0,22844,39201,8402,-16,404397,107234,141008
SOCO,"1/15/2023, Central Time",0,24539,36783,8436,-17,378532,107534,141549
SOCO,"1/16/2023, Central Time",0,20040,33967,8559,-12,366897,105913,141389
SOCO,"1/17/2023, Central Time",0,10017,29600,8098,-14,320019,94370,140525
SOCO,"1/18/2023, Central Time",0,7710,35659,8702,33,271194,88881,140224
SOCO,"1/19/2023, Central Time",0,11777,33497,8695,-13,275659,82487,139657
SOCO,"1/20/2023, Central Time",0,20719,32989,8160,-16,318402,80958,140058
SOCO,"1/21/2023, Central Time",0,5468,29284,8439,-15,344947,84872,140498
SOCO,"1/22/2023, Central Time",0,2721,38319,8118,-21,344290,86368,140088
SOCO,"1/23/2023, Central Time",0,22972,41798,7833,-14,372251,97437,139618
