Date,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
2021-01-01,100,99,100,94,100,100,0
2021-01-02,100,100,100,94,100,100,0
2021-01-03,100,99,100,94,100,100,0
2021-01-04,100,99,100,94,100,100,0
2021-01-05,100,100,100,93,100,100,0
2021-01-06,100,100,100,93,100,100,0
2021-01-07,100,100,100,67,100,100,0
2021-01-08,100,100,100,99,100,100,0
2021-01-09,100,100,100,99,100,100,0
2021-01-10,100,100,93,98,100,100,0
2021-01-11,100,100,100,97,100,100,0
2021-01-12,100,100,100,96,100,100,0
2021-01-13,100,100,100,96,100,100,0
2021-01-14,100,100,100,96,100,100,0
2021-01-15,100,100,100,96,100,100,0
2021-01-16,100,100,100,96,100,100,0
2021-01-17,100,100,100,95,100,100,0
2021-01-18,100,100,100,94,100,100,0
2021-01-19,100,100,100,94,100,100,0
2021-01-20,100,100,100,94,100,100,0
2021-01-21,100,100,100,93,100,100,0
2021-01-22,100,100,100,93,100,100,0
2021-01-23,100,100,100,93,100,100,0
2021-01-24,100,100,100,92,100,100,0
2021-01-25,100,100,100,92,100,100,0
2021-01-26,100,100,100,91,100,100,0
2021-01-27,100,100,100,91,100,100,0
2021-01-28,100,100,100,91,100,100,0
2021-01-29,100,100,100,91,100,100,0
2021-01-30,100,100,100,90,100,100,0
2021-01-31,100,100,100,90,100,100,0
2021-02-01,100,100,100,90,100,100,0
2021-02-02,100,100,100,89,100,100,0
2021-02-03,100,100,100,89,100,100,0
2021-02-04,100,100,100,88,100,100,0
2021-02-05,100,98,100,88,100,100,0
2021-02-06,100,100,100,88,100,100,0
2021-02-07,100,100,100,88,100,100,0
2021-02-08,100,100,100,0,100,100,0
2021-02-09,100,100,100,0,100,100,0
2021-02-10,100,100,100,0,100,100,0
2021-02-11,100,100,100,0,100,100,0
2021-02-12,100,100,100,0,100,100,0
2021-02-13,100,100,100,0,100,100,0
2021-02-14,100,100,100,0,100,100,0
2021-02-15,100,100,100,0,100,100,0
2021-02-16,100,100,100,0,100,100,0
2021-02-17,100,100,100,0,100,100,0
2021-02-18,100,100,100,0,100,100,0
