,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
10/20/21,100,98,100,100,100,100,0
10/21/21,100,98,100,100,100,100,0
10/22/21,99,98,100,100,100,100,0
10/23/21,100,98,100,100,100,100,0
10/24/21,100,98,100,100,100,100,0
10/25/21,100,98,99,100,100,100,0
10/26/21,100,98,100,100,100,100,0
10/27/21,100,98,100,100,100,100,0
10/28/21,100,98,100,100,100,100,0
10/29/21,100,98,100,100,100,100,0
10/30/21,100,98,100,100,100,100,0
10/31/21,100,98,100,100,100,100,0
11/1/21,100,98,100,100,100,100,0
11/2/21,100,98,100,100,100,100,0
11/3/21,100,98,100,100,100,100,0
11/4/21,100,100,100,100,100,100,0
11/5/21,100,100,100,100,100,100,0
11/6/21,100,100,100,100,100,100,0
11/7/21,100,100,100,100,100,100,0
11/8/21,100,100,100,100,100,100,0
11/9/21,100,100,100,100,100,100,0
11/10/21,100,100,100,100,100,100,0
11/11/21,100,100,100,100,100,100,0
11/12/21,100,100,100,100,100,100,0
11/13/21,100,100,100,100,100,100,0
11/14/21,100,100,100,100,100,100,0
11/15/21,100,100,100,100,100,100,0
11/16/21,100,100,100,100,100,100,0
11/17/21,100,100,100,100,100,100,0
11/18/21,100,100,100,100,100,100,0
11/19/21,100,100,100,100,100,99,0
11/20/21,100,100,100,100,100,100,0
11/21/21,100,100,100,100,100,100,0
11/22/21,100,100,100,100,100,100,0
11/23/21,100,100,100,100,100,100,0
11/24/21,100,100,100,100,100,100,0
11/25/21,100,100,100,100,100,100,0
11/26/21,100,100,100,100,100,100,0
11/27/21,100,100,100,100,100,100,0
11/28/21,100,100,100,100,100,100,0
11/29/21,100,100,100,100,100,100,0
11/30/21,100,100,100,100,100,100,0
12/1/21,100,100,100,100,100,100,0
12/2/21,100,100,99,100,100,100,0
12/3/21,100,100,99,100,100,100,0
12/4/21,100,100,99,100,100,100,0
12/5/21,100,100,96,100,100,100,0
12/6/21,100,100,100,100,100,100,0
12/7/21,100,100,100,100,100,100,0
12/8/21,100,100,100,100,100,100,0
12/9/21,100,100,100,100,100,100,0
12/10/21,100,100,100,100,100,100,0
12/11/21,100,100,100,40,100,100,0
12/12/21,100,100,100,35,100,100,0
12/13/21,100,100,100,62,100,100,0
12/14/21,100,100,100,88,100,100,0
12/15/21,100,100,100,100,100,100,0
12/16/21,100,100,99,100,100,100,0
12/17/21,100,100,99,100,84,100,0
12/18/21,100,100,99,100,85,100,0
12/19/21,100,100,97,100,85,100,0
12/20/21,100,100,100,100,86,100,0
12/21/21,100,100,99,100,100,100,0
12/22/21,100,100,99,100,100,100,0
12/23/21,100,100,99,100,100,100,0
12/24/21,100,100,99,100,100,100,0
12/25/21,100,100,98,100,100,100,0
12/26/21,100,100,98,100,100,100,0
12/27/21,100,100,97,100,100,100,0
12/28/21,100,100,97,100,100,100,0
12/29/21,100,100,96,100,100,100,0
12/30/21,100,100,0,100,100,100,0
12/31/21,100,100,0,100,100,100,0
1/1/22,100,100,0,100,100,100,0
1/2/22,100,100,0,100,100,100,0
1/3/22,100,100,23,100,100,100,0
1/4/22,100,100,89,100,100,100,0
1/5/22,100,100,88,100,100,100,0
1/6/22,100,100,98,100,100,100,0
1/7/22,100,100,96,100,100,100,0
1/8/22,100,100,98,100,100,100,0
1/9/22,100,100,98,100,100,100,0
1/10/22,100,100,99,100,100,100,0
1/11/22,100,100,99,100,100,100,0
1/12/22,100,100,99,100,100,100,0
1/13/22,100,100,99,100,100,100,0
1/14/22,100,100,98,100,100,100,0
1/15/22,100,100,99,100,100,100,0
1/16/22,100,100,99,100,100,100,0
1/17/22,100,100,99,100,100,100,0
1/18/22,100,100,98,100,100,100,0
1/19/22,100,100,97,100,100,100,0
1/20/22,100,100,97,100,100,100,0
1/21/22,100,100,97,100,100,100,0
1/22/22,100,100,96,100,100,100,0
1/23/22,100,100,95,100,100,100,0
1/24/22,100,100,95,100,100,100,0
1/25/22,100,100,94,100,100,100,0
1/26/22,100,100,94,100,100,100,0
1/27/22,100,100,94,100,100,100,0
1/28/22,100,100,93,100,100,100,0
1/29/22,100,100,93,100,100,100,0
1/30/22,100,100,92,100,100,100,0
1/31/22,100,100,92,100,100,100,0
2/1/22,100,100,91,100,100,100,0
2/2/22,100,100,91,100,100,100,0
2/3/22,100,100,91,100,100,100,0
2/4/22,100,100,90,100,100,100,0
2/5/22,100,100,90,100,100,100,0
2/6/22,100,100,0,100,100,100,0
2/7/22,100,100,0,100,100,100,0
2/8/22,100,100,0,100,100,100,0
2/9/22,100,100,0,100,100,100,0
2/10/22,100,100,0,100,100,100,0
2/11/22,100,100,0,100,100,100,0
2/12/22,100,100,0,100,100,100,0
2/13/22,100,100,0,100,100,100,0
2/14/22,100,100,0,100,100,100,0
2/15/22,100,100,0,100,100,100,0
2/16/22,100,100,0,100,100,100,0
2/17/22,100,100,0,100,100,100,0
2/18/22,100,100,0,100,100,100,0
2/19/22,100,100,0,100,100,100,0
2/20/22,100,100,0,100,100,100,0
2/21/22,100,100,0,100,100,100,0
2/22/22,100,100,0,100,100,100,0
2/23/22,100,100,0,100,100,100,0
2/24/22,100,100,0,100,100,100,0
2/25/22,100,100,0,100,100,100,0
2/26/22,100,100,0,100,100,100,0
2/27/22,100,100,0,100,100,100,0
2/28/22,100,100,0,100,100,100,0
3/1/22,100,100,0,100,100,99,0
3/2/22,100,100,21,100,100,99,0
3/3/22,100,100,10,100,100,98,0
3/4/22,100,100,58,100,100,97,0
3/5/22,100,100,96,100,100,97,0
3/6/22,100,100,100,100,100,0,0
3/7/22,100,100,100,100,100,0,0
3/8/22,100,100,100,100,100,0,0
3/9/22,100,100,100,100,100,0,0
3/10/22,100,100,100,100,100,0,0
3/11/22,100,100,100,100,100,0,0
3/12/22,100,100,100,100,100,0,0
3/13/22,100,100,100,100,100,0,0
3/14/22,100,100,100,100,100,0,0
3/15/22,100,100,100,100,100,0,0
3/16/22,100,100,100,100,100,0,0
3/17/22,100,100,100,100,100,0,0
3/18/22,100,100,100,100,100,0,0
3/19/22,100,100,100,79,100,0,0
3/20/22,100,100,100,50,100,0,0
3/21/22,100,100,100,72,100,0,0
3/22/22,100,100,100,93,100,0,0
3/23/22,100,100,100,100,100,0,0
3/24/22,100,100,100,100,100,0,0
3/25/22,100,100,100,100,100,0,0
3/26/22,100,100,100,100,100,0,0
3/27/22,100,100,100,100,100,0,0
3/28/22,100,100,100,100,100,0,0
3/29/22,100,99,100,100,100,0,0
3/30/22,100,98,100,100,100,0,0
3/31/22,100,97,100,100,100,0,0
4/1/22,100,96,100,100,100,0,0
4/2/22,100,95,100,100,100,0,0
4/3/22,100,94,100,100,100,0,0
4/4/22,100,93,100,100,100,0,0
4/5/22,100,92,100,100,100,0,0
4/6/22,100,91,100,100,100,41,0
