"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"7/1/2022 12 a.m. EDT",13761,13490,11620,-2141
ISNE,"7/1/2022 1 a.m. EDT",12991,12450,11029,-1962
ISNE,"7/1/2022 2 a.m. EDT",12753,11790,10557,-2196
ISNE,"7/1/2022 3 a.m. EDT",12374,11370,10134,-2240
ISNE,"7/1/2022 4 a.m. EDT",12142,11150,9990,-2152
ISNE,"7/1/2022 5 a.m. EDT",12219,11290,10078,-2141
ISNE,"7/1/2022 6 a.m. EDT",12397,11680,10067,-2330
ISNE,"7/1/2022 7 a.m. EDT",12888,12590,10548,-2340
ISNE,"7/1/2022 8 a.m. EDT",13286,13590,11246,-2040
ISNE,"7/1/2022 9 a.m. EDT",13814,14260,12217,-1597
ISNE,"7/1/2022 10 a.m. EDT",14289,14480,12800,-1489
ISNE,"7/1/2022 11 a.m. EDT",14947,15350,13774,-1173
ISNE,"7/1/2022 12 p.m. EDT",15872,16160,14543,-1329
ISNE,"7/1/2022 1 p.m. EDT",16804,16660,15610,-1194
ISNE,"7/1/2022 2 p.m. EDT",17686,17740,16288,-1398
ISNE,"7/1/2022 3 p.m. EDT",18439,18460,17255,-1184
ISNE,"7/1/2022 4 p.m. EDT",19145,19470,17946,-1199
ISNE,"7/1/2022 5 p.m. EDT",19832,20170,18403,-1429
ISNE,"7/1/2022 6 p.m. EDT",20387,21000,18845,-1542
ISNE,"7/1/2022 7 p.m. EDT",20454,21100,18572,-1882
ISNE,"7/1/2022 8 p.m. EDT",20219,20490,18263,-1956
ISNE,"7/1/2022 9 p.m. EDT",19633,19670,17489,-2144
ISNE,"7/1/2022 10 p.m. EDT",18856,18810,16830,-2026
ISNE,"7/1/2022 11 p.m. EDT",17556,17430,15743,-1813
ISNE,"7/2/2022 12 a.m. EDT",16186,15950,14158,-2028
ISNE,"7/2/2022 1 a.m. EDT",15060,14850,12800,-2260
ISNE,"7/2/2022 2 a.m. EDT",14335,14010,12133,-2202
ISNE,"7/2/2022 3 a.m. EDT",14108,13420,11522,-2586
ISNE,"7/2/2022 4 a.m. EDT",13768,13020,10952,-2816
ISNE,"7/2/2022 5 a.m. EDT",13834,12710,11066,-2768
ISNE,"7/2/2022 6 a.m. EDT",13511,12630,10961,-2550
ISNE,"7/2/2022 7 a.m. EDT",13627,12920,11102,-2525
ISNE,"7/2/2022 8 a.m. EDT",13973,13510,12017,-1956
ISNE,"7/2/2022 9 a.m. EDT",14374,14360,12370,-2004
ISNE,"7/2/2022 10 a.m. EDT",14636,14710,12895,-1741
ISNE,"7/2/2022 11 a.m. EDT",15055,15100,13421,-1634
ISNE,"7/2/2022 12 p.m. EDT",15408,15470,13770,-1638
ISNE,"7/2/2022 1 p.m. EDT",15849,15710,14422,-1427
ISNE,"7/2/2022 2 p.m. EDT",15891,16070,14421,-1470
ISNE,"7/2/2022 3 p.m. EDT",16250,16380,14919,-1331
ISNE,"7/2/2022 4 p.m. EDT",16745,16890,15222,-1523
ISNE,"7/2/2022 5 p.m. EDT",17849,17410,16333,-1516
ISNE,"7/2/2022 6 p.m. EDT",18564,18000,17362,-1202
ISNE,"7/2/2022 7 p.m. EDT",18412,18250,17423,-989
ISNE,"7/2/2022 8 p.m. EDT",17844,17780,16356,-1488
ISNE,"7/2/2022 9 p.m. EDT",17299,17260,15828,-1471
ISNE,"7/2/2022 10 p.m. EDT",16673,16640,14919,-1754
ISNE,"7/2/2022 11 p.m. EDT",15582,15500,13813,-1769
ISNE,"7/3/2022 12 a.m. EDT",14376,14330,12343,-2033
ISNE,"7/3/2022 1 a.m. EDT",13308,13160,11330,-1978
ISNE,"7/3/2022 2 a.m. EDT",12636,12350,10692,-1944
