"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"8/1/2022 12 a.m. PDT",5246,5662,4165,-1081
NEVP,"8/1/2022 1 a.m. PDT",4923,5347,4116,-807
NEVP,"8/1/2022 2 a.m. PDT",4723,5078,4138,-585
NEVP,"8/1/2022 3 a.m. PDT",4588,4925,3888,-700
NEVP,"8/1/2022 4 a.m. PDT",4488,4755,3740,-748
NEVP,"8/1/2022 5 a.m. PDT",4457,4627,3621,-836
NEVP,"8/1/2022 6 a.m. PDT",4492,4680,3797,-695
NEVP,"8/1/2022 7 a.m. PDT",4543,4653,3985,-558
NEVP,"8/1/2022 8 a.m. PDT",4830,4909,4559,-271
NEVP,"8/1/2022 9 a.m. PDT",5130,5220,4475,-655
NEVP,"8/1/2022 10 a.m. PDT",5434,5511,4466,-968
NEVP,"8/1/2022 11 a.m. PDT",5723,5910,4746,-977
NEVP,"8/1/2022 12 p.m. PDT",6077,6224,4832,-1245
NEVP,"8/1/2022 1 p.m. PDT",6435,6584,4827,-1608
NEVP,"8/1/2022 2 p.m. PDT",6742,7085,4671,-2071
NEVP,"8/1/2022 3 p.m. PDT",7096,7089,4852,-2244
NEVP,"8/1/2022 4 p.m. PDT",7122,7125,4692,-2430
NEVP,"8/1/2022 5 p.m. PDT",7023,6955,4650,-2373
NEVP,"8/1/2022 6 p.m. PDT",6765,6903,4813,-1952
NEVP,"8/1/2022 7 p.m. PDT",6536,6775,4738,-1798
NEVP,"8/1/2022 8 p.m. PDT",6360,6630,4281,-2079
NEVP,"8/1/2022 9 p.m. PDT",6256,6525,4186,-2070
NEVP,"8/1/2022 10 p.m. PDT",6036,6254,4038,-1998
NEVP,"8/1/2022 11 p.m. PDT",5717,5960,3876,-1841
NEVP,"8/2/2022 12 a.m. PDT",5387,5399,3958,-1429
NEVP,"8/2/2022 1 a.m. PDT",5093,4544,3784,-1309
NEVP,"8/2/2022 2 a.m. PDT",4881,4330,3533,-1348
NEVP,"8/2/2022 3 a.m. PDT",4708,4175,3695,-1013
NEVP,"8/2/2022 4 a.m. PDT",4598,4140,3777,-821
NEVP,"8/2/2022 5 a.m. PDT",4570,4202,3884,-686
NEVP,"8/2/2022 6 a.m. PDT",4599,4234,3726,-873
NEVP,"8/2/2022 7 a.m. PDT",4631,4296,3814,-817
NEVP,"8/2/2022 8 a.m. PDT",4954,4598,3844,-1110
NEVP,"8/2/2022 9 a.m. PDT",5379,4948,4025,-1354
NEVP,"8/2/2022 10 a.m. PDT",5745,5192,4123,-1622
NEVP,"8/2/2022 11 a.m. PDT",6138,5641,4584,-1554
NEVP,"8/2/2022 12 p.m. PDT",6502,5978,5050,-1452
NEVP,"8/2/2022 1 p.m. PDT",6886,6166,5091,-1795
NEVP,"8/2/2022 2 p.m. PDT",7270,6357,5254,-2016
NEVP,"8/2/2022 3 p.m. PDT",7544,6756,5382,-2162
NEVP,"8/2/2022 4 p.m. PDT",7698,6791,5844,-1854
NEVP,"8/2/2022 5 p.m. PDT",7817,7031,5944,-1873
NEVP,"8/2/2022 6 p.m. PDT",7840,6871,5893,-1947
NEVP,"8/2/2022 7 p.m. PDT",7623,6838,5473,-2150
NEVP,"8/2/2022 8 p.m. PDT",7400,6684,5227,-2173
NEVP,"8/2/2022 9 p.m. PDT",7230,6342,5033,-2197
NEVP,"8/2/2022 10 p.m. PDT",6877,6114,4735,-2142
NEVP,"8/2/2022 11 p.m. PDT",6420,5689,4841,-1579
NEVP,"8/3/2022 12 a.m. PDT",5982,5253,4751,-1231
NEVP,"8/3/2022 1 a.m. PDT",5513,5001,4459,-1054
NEVP,"8/3/2022 2 a.m. PDT",5226,4797,4011,-1215
NEVP,"8/3/2022 3 a.m. PDT",5029,4632,3770,-1259
NEVP,"8/3/2022 4 a.m. PDT",4896,4544,3629,-1267
NEVP,"8/3/2022 5 a.m. PDT",4830,4459,3573,-1257
NEVP,"8/3/2022 6 a.m. PDT",4839,4494,3633,-1206
NEVP,"8/3/2022 7 a.m. PDT",4820,4533,3499,-1321
NEVP,"8/3/2022 8 a.m. PDT",5035,4666,3810,-1225
NEVP,"8/3/2022 9 a.m. PDT",5336,4982,4044,-1292
NEVP,"8/3/2022 10 a.m. PDT",5656,5247,4443,-1213
NEVP,"8/3/2022 11 a.m. PDT",6137,5598,4822,-1315
NEVP,"8/3/2022 12 p.m. PDT",6583,5846,4932,-1651
NEVP,"8/3/2022 1 p.m. PDT",7025,6100,5287,-1738
NEVP,"8/3/2022 2 p.m. PDT",7434,6310,5585,-1849
NEVP,"8/3/2022 3 p.m. PDT",7819,6606,6005,-1814
NEVP,"8/3/2022 4 p.m. PDT",8105,6817,6014,-2091
NEVP,"8/3/2022 5 p.m. PDT",8319,6984,5981,-2338
NEVP,"8/3/2022 6 p.m. PDT",8373,6870,5479,-2894
NEVP,"8/3/2022 7 p.m. PDT",8258,6773,5072,-3186
NEVP,"8/3/2022 8 p.m. PDT",7913,6521,4721,-3192
NEVP,"8/3/2022 9 p.m. PDT",7580,6338,4686,-2894
NEVP,"8/3/2022 10 p.m. PDT",7150,6047,4504,-2646
NEVP,"8/3/2022 11 p.m. PDT",6668,5674,4320,-2348
NEVP,"8/4/2022 12 a.m. PDT",6210,5277,4271,-1939
NEVP,"8/4/2022 1 a.m. PDT",5789,5156,4268,-1521
NEVP,"8/4/2022 2 a.m. PDT",5471,5027,3992,-1479
NEVP,"8/4/2022 3 a.m. PDT",5262,4794,3547,-1715
NEVP,"8/4/2022 4 a.m. PDT",5122,4585,3383,-1739
NEVP,"8/4/2022 5 a.m. PDT",5055,4537,3576,-1479
NEVP,"8/4/2022 6 a.m. PDT",5067,4549,3728,-1339
NEVP,"8/4/2022 7 a.m. PDT",5072,4608,3491,-1581
NEVP,"8/4/2022 8 a.m. PDT",5286,4666,3682,-1604
NEVP,"8/4/2022 9 a.m. PDT",5627,4952,3655,-1972
NEVP,"8/4/2022 10 a.m. PDT",5899,5256,3771,-2128
NEVP,"8/4/2022 11 a.m. PDT",6018,5731,4144,-1874
NEVP,"8/4/2022 12 p.m. PDT",6162,6038,4771,-1391
NEVP,"8/4/2022 1 p.m. PDT",6319,6226,5147,-1172
NEVP,"8/4/2022 2 p.m. PDT",6511,6551,5458,-1053
NEVP,"8/4/2022 3 p.m. PDT",6647,6834,5386,-1261
NEVP,"8/4/2022 4 p.m. PDT",6654,6965,5147,-1507
NEVP,"8/4/2022 5 p.m. PDT",6545,6848,4553,-1992
NEVP,"8/4/2022 6 p.m. PDT",6361,6854,4210,-2151
NEVP,"8/4/2022 7 p.m. PDT",6218,6780,3896,-2322
NEVP,"8/4/2022 8 p.m. PDT",6106,6714,3971,-2135
NEVP,"8/4/2022 9 p.m. PDT",6023,6322,4119,-1904
NEVP,"8/4/2022 10 p.m. PDT",5827,6065,4251,-1576
NEVP,"8/4/2022 11 p.m. PDT",5527,5563,4392,-1135
NEVP,"8/5/2022 12 a.m. PDT",5239,5233,4317,-922
NEVP,"8/5/2022 1 a.m. PDT",4947,5402,4321,-626
NEVP,"8/5/2022 2 a.m. PDT",4774,5156,4273,-501
NEVP,"8/5/2022 3 a.m. PDT",4634,4931,4096,-538
NEVP,"8/5/2022 4 a.m. PDT",4562,4787,3664,-898
NEVP,"8/5/2022 5 a.m. PDT",4531,4722,3765,-766
NEVP,"8/5/2022 6 a.m. PDT",4589,4734,3832,-757
NEVP,"8/5/2022 7 a.m. PDT",4594,4767,3385,-1209
NEVP,"8/5/2022 8 a.m. PDT",4769,4544,3027,-1742
NEVP,"8/5/2022 9 a.m. PDT",5014,4771,3060,-1954
NEVP,"8/5/2022 10 a.m. PDT",5135,4978,3524,-1611
NEVP,"8/5/2022 11 a.m. PDT",5254,5291,3949,-1305
NEVP,"8/5/2022 12 p.m. PDT",5619,5715,4217,-1402
NEVP,"8/5/2022 1 p.m. PDT",5986,5844,4490,-1496
NEVP,"8/5/2022 2 p.m. PDT",6203,6162,4421,-1782
NEVP,"8/5/2022 3 p.m. PDT",6378,6436,4559,-1819
NEVP,"8/5/2022 4 p.m. PDT",6527,6364,4807,-1720
NEVP,"8/5/2022 5 p.m. PDT",6674,6546,5126,-1548
NEVP,"8/5/2022 6 p.m. PDT",6716,6351,5244,-1472
NEVP,"8/5/2022 7 p.m. PDT",6600,6344,4953,-1647
NEVP,"8/5/2022 8 p.m. PDT",6359,6279,4497,-1862
NEVP,"8/5/2022 9 p.m. PDT",6213,6072,4508,-1705
NEVP,"8/5/2022 10 p.m. PDT",5974,5830,4221,-1753
NEVP,"8/5/2022 11 p.m. PDT",5671,5537,4202,-1469
NEVP,"8/6/2022 12 a.m. PDT",5355,5147,4095,-1260
NEVP,"8/6/2022 1 a.m. PDT",5045,4669,3879,-1166
NEVP,"8/6/2022 2 a.m. PDT",4810,4457,3686,-1124
NEVP,"8/6/2022 3 a.m. PDT",4636,4311,3845,-791
NEVP,"8/6/2022 4 a.m. PDT",4494,4226,3686,-808
NEVP,"8/6/2022 5 a.m. PDT",4422,4117,3534,-888
NEVP,"8/6/2022 6 a.m. PDT",4403,4081,3507,-896
NEVP,"8/6/2022 7 a.m. PDT",4330,4044,2866,-1464
NEVP,"8/6/2022 8 a.m. PDT",4563,4128,3426,-1137
NEVP,"8/6/2022 9 a.m. PDT",4984,4455,3594,-1390
NEVP,"8/6/2022 10 a.m. PDT",5330,4726,3799,-1531
NEVP,"8/6/2022 11 a.m. PDT",5691,5100,3902,-1789
NEVP,"8/6/2022 12 p.m. PDT",6026,5399,3938,-2088
NEVP,"8/6/2022 1 p.m. PDT",6314,5639,4049,-2265
NEVP,"8/6/2022 2 p.m. PDT",6647,5993,4290,-2357
NEVP,"8/6/2022 3 p.m. PDT",6980,6275,4498,-2482
NEVP,"8/6/2022 4 p.m. PDT",7306,6301,4888,-2418
NEVP,"8/6/2022 5 p.m. PDT",7548,6633,5041,-2507
NEVP,"8/6/2022 6 p.m. PDT",7566,6566,5343,-2223
NEVP,"8/6/2022 7 p.m. PDT",7582,6478,5088,-2494
NEVP,"8/6/2022 8 p.m. PDT",7181,6207,4447,-2734
NEVP,"8/6/2022 9 p.m. PDT",6882,5940,4346,-2536
NEVP,"8/6/2022 10 p.m. PDT",6504,5697,4140,-2364
NEVP,"8/6/2022 11 p.m. PDT",6094,5344,4373,-1721
NEVP,"8/7/2022 12 a.m. PDT",5682,5072,4496,-1186
NEVP,"8/7/2022 1 a.m. PDT",5311,4746,4339,-972
NEVP,"8/7/2022 2 a.m. PDT",5032,4506,4031,-1001
NEVP,"8/7/2022 3 a.m. PDT",6090,4293,5062,-1028
NEVP,"8/7/2022 4 a.m. PDT",4615,4237,3558,-1057
NEVP,"8/7/2022 5 a.m. PDT",4504,4192,3595,-909
NEVP,"8/7/2022 6 a.m. PDT",4423,4053,3623,-800
NEVP,"8/7/2022 7 a.m. PDT",4351,4069,2843,-1508
NEVP,"8/7/2022 8 a.m. PDT",4608,4178,3435,-1173
NEVP,"8/7/2022 9 a.m. PDT",4971,4492,3710,-1261
NEVP,"8/7/2022 10 a.m. PDT",5342,4806,3788,-1554
NEVP,"8/7/2022 11 a.m. PDT",5745,5342,4000,-1745
NEVP,"8/7/2022 12 p.m. PDT",6133,5806,4381,-1752
NEVP,"8/7/2022 1 p.m. PDT",6521,6136,4565,-1956
NEVP,"8/7/2022 2 p.m. PDT",6894,6478,4872,-2022
NEVP,"8/7/2022 3 p.m. PDT",7304,6673,4932,-2372
NEVP,"8/7/2022 4 p.m. PDT",7631,6983,5244,-2387
NEVP,"8/7/2022 5 p.m. PDT",7846,7084,5615,-2231
NEVP,"8/7/2022 6 p.m. PDT",7951,7084,6280,-1671
NEVP,"8/7/2022 7 p.m. PDT",7835,7033,5659,-2176
NEVP,"8/7/2022 8 p.m. PDT",7493,6552,5064,-2429
NEVP,"8/7/2022 9 p.m. PDT",7176,6247,5094,-2082
NEVP,"8/7/2022 10 p.m. PDT",6775,5959,5003,-1772
NEVP,"8/7/2022 11 p.m. PDT",6258,5497,4844,-1414
NEVP,"8/8/2022 12 a.m. PDT",5853,5217,4739,-1114
NEVP,"8/8/2022 1 a.m. PDT",5476,4934,4540,-936
NEVP,"8/8/2022 2 a.m. PDT",5190,4663,4032,-1158
NEVP,"8/8/2022 3 a.m. PDT",4983,4441,3807,-1176
NEVP,"8/8/2022 4 a.m. PDT",4834,4367,3541,-1293
NEVP,"8/8/2022 5 a.m. PDT",4780,4312,3483,-1297
NEVP,"8/8/2022 6 a.m. PDT",4826,4338,3507,-1319
NEVP,"8/8/2022 7 a.m. PDT",4879,4343,3173,-1706
NEVP,"8/8/2022 8 a.m. PDT",5112,4522,3420,-1692
NEVP,"8/8/2022 9 a.m. PDT",5468,4893,4020,-1448
NEVP,"8/8/2022 10 a.m. PDT",5831,5184,4016,-1815
NEVP,"8/8/2022 11 a.m. PDT",6204,5644,4465,-1739
NEVP,"8/8/2022 12 p.m. PDT",6635,6007,4613,-2022
NEVP,"8/8/2022 1 p.m. PDT",6856,6263,4754,-2102
NEVP,"8/8/2022 2 p.m. PDT",7378,6642,5362,-2016
NEVP,"8/8/2022 3 p.m. PDT",7593,7069,5640,-1953
NEVP,"8/8/2022 4 p.m. PDT",7840,7159,5718,-2122
NEVP,"8/8/2022 5 p.m. PDT",7830,7456,5729,-2101
NEVP,"8/8/2022 6 p.m. PDT",7661,7392,5855,-1806
NEVP,"8/8/2022 7 p.m. PDT",7505,7104,5424,-2081
NEVP,"8/8/2022 8 p.m. PDT",7309,6643,4763,-2546
NEVP,"8/8/2022 9 p.m. PDT",7147,6231,4699,-2448
NEVP,"8/8/2022 10 p.m. PDT",6835,5968,4651,-2184
NEVP,"8/8/2022 11 p.m. PDT",6448,5570,4715,-1733
NEVP,"8/9/2022 12 a.m. PDT",6025,5141,4625,-1400
NEVP,"8/9/2022 1 a.m. PDT",5664,4879,4362,-1302
NEVP,"8/9/2022 2 a.m. PDT",5375,4654,4009,-1366
NEVP,"8/9/2022 3 a.m. PDT",5188,4496,3718,-1470
NEVP,"8/9/2022 4 a.m. PDT",5066,4433,3516,-1550
NEVP,"8/9/2022 5 a.m. PDT",5005,4400,3363,-1642
NEVP,"8/9/2022 6 a.m. PDT",5029,4440,3315,-1714
NEVP,"8/9/2022 7 a.m. PDT",5053,4436,3657,-1396
NEVP,"8/9/2022 8 a.m. PDT",5179,4694,3758,-1421
NEVP,"8/9/2022 9 a.m. PDT",5511,4996,4089,-1422
NEVP,"8/9/2022 10 a.m. PDT",5765,5246,4328,-1437
NEVP,"8/9/2022 11 a.m. PDT",6039,5475,4317,-1722
NEVP,"8/9/2022 12 p.m. PDT",6376,5749,4443,-1933
NEVP,"8/9/2022 1 p.m. PDT",6694,6140,4841,-1853
NEVP,"8/9/2022 2 p.m. PDT",6816,6394,5035,-1781
NEVP,"8/9/2022 3 p.m. PDT",7027,6587,5294,-1733
NEVP,"8/9/2022 4 p.m. PDT",6971,6611,5356,-1615
NEVP,"8/9/2022 5 p.m. PDT",6910,6700,5470,-1440
NEVP,"8/9/2022 6 p.m. PDT",6719,6619,4982,-1737
NEVP,"8/9/2022 7 p.m. PDT",6537,6397,4524,-2013
NEVP,"8/9/2022 8 p.m. PDT",6363,6250,4263,-2100
NEVP,"8/9/2022 9 p.m. PDT",6222,6084,4112,-2110
NEVP,"8/9/2022 10 p.m. PDT",5952,5841,3910,-2042
NEVP,"8/9/2022 11 p.m. PDT",5601,5476,3905,-1696
NEVP,"8/10/2022 12 a.m. PDT",5283,5141,3785,-1498
NEVP,"8/10/2022 1 a.m. PDT",5009,4822,3913,-1096
NEVP,"8/10/2022 2 a.m. PDT",4818,4596,3852,-966
NEVP,"8/10/2022 3 a.m. PDT",4676,4431,3705,-971
NEVP,"8/10/2022 4 a.m. PDT",4581,4315,3886,-695
NEVP,"8/10/2022 5 a.m. PDT",4546,4278,3988,-558
NEVP,"8/10/2022 6 a.m. PDT",4590,4350,3944,-646
NEVP,"8/10/2022 7 a.m. PDT",4667,4393,4052,-615
NEVP,"8/10/2022 8 a.m. PDT",4928,4506,4347,-581
NEVP,"8/10/2022 9 a.m. PDT",5308,4763,4216,-1092
NEVP,"8/10/2022 10 a.m. PDT",5635,4983,4125,-1510
NEVP,"8/10/2022 11 a.m. PDT",6003,5161,4438,-1565
NEVP,"8/10/2022 12 p.m. PDT",6315,5465,4789,-1526
NEVP,"8/10/2022 1 p.m. PDT",6719,5955,5003,-1716
NEVP,"8/10/2022 2 p.m. PDT",6852,6258,5109,-1743
NEVP,"8/10/2022 3 p.m. PDT",6946,6309,4984,-1962
NEVP,"8/10/2022 4 p.m. PDT",6757,6608,4878,-1879
NEVP,"8/10/2022 5 p.m. PDT",6680,6563,5087,-1593
NEVP,"8/10/2022 6 p.m. PDT",6869,6359,5188,-1681
NEVP,"8/10/2022 7 p.m. PDT",6902,6268,4988,-1914
NEVP,"8/10/2022 8 p.m. PDT",6744,6118,4824,-1920
NEVP,"8/10/2022 9 p.m. PDT",6548,6002,4786,-1762
NEVP,"8/10/2022 10 p.m. PDT",6214,5740,4516,-1698
NEVP,"8/10/2022 11 p.m. PDT",5817,5341,4512,-1305
NEVP,"8/11/2022 12 a.m. PDT",5428,5014,4456,-972
NEVP,"8/11/2022 1 a.m. PDT",5101,4718,4319,-782
NEVP,"8/11/2022 2 a.m. PDT",4870,4507,4054,-816
NEVP,"8/11/2022 3 a.m. PDT",4703,4366,3879,-824
NEVP,"8/11/2022 4 a.m. PDT",4535,4261,3846,-689
NEVP,"8/11/2022 5 a.m. PDT",4503,4250,3899,-604
NEVP,"8/11/2022 6 a.m. PDT",4562,4337,3857,-705
NEVP,"8/11/2022 7 a.m. PDT",4607,4415,3518,-1089
NEVP,"8/11/2022 8 a.m. PDT",4802,4662,3348,-1454
NEVP,"8/11/2022 9 a.m. PDT",5122,4973,3635,-1487
NEVP,"8/11/2022 10 a.m. PDT",5453,5114,3890,-1563
NEVP,"8/11/2022 11 a.m. PDT",5840,5360,4170,-1670
NEVP,"8/11/2022 12 p.m. PDT",6243,5701,4627,-1616
NEVP,"8/11/2022 1 p.m. PDT",6635,6048,5013,-1622
NEVP,"8/11/2022 2 p.m. PDT",7069,6407,5092,-1977
NEVP,"8/11/2022 3 p.m. PDT",7340,6663,5106,-2234
NEVP,"8/11/2022 4 p.m. PDT",7471,6710,5425,-2046
NEVP,"8/11/2022 5 p.m. PDT",7621,7011,5946,-1675
NEVP,"8/11/2022 6 p.m. PDT",7667,6799,5716,-1951
NEVP,"8/11/2022 7 p.m. PDT",7610,6608,5243,-2367
NEVP,"8/11/2022 8 p.m. PDT",7369,6476,4846,-2523
NEVP,"8/11/2022 9 p.m. PDT",7125,6199,4943,-2182
NEVP,"8/11/2022 10 p.m. PDT",6486,5968,4323,-2163
NEVP,"8/11/2022 11 p.m. PDT",5884,5519,4459,-1425
NEVP,"8/12/2022 12 a.m. PDT",5498,5246,4203,-1295
NEVP,"8/12/2022 1 a.m. PDT",5152,4853,4060,-1092
NEVP,"8/12/2022 2 a.m. PDT",4894,4629,4087,-807
NEVP,"8/12/2022 3 a.m. PDT",4714,4471,4061,-653
NEVP,"8/12/2022 4 a.m. PDT",4587,4385,4057,-530
NEVP,"8/12/2022 5 a.m. PDT",4544,4385,4095,-449
NEVP,"8/12/2022 6 a.m. PDT",4583,4473,4102,-481
NEVP,"8/12/2022 7 a.m. PDT",4637,4472,3966,-671
NEVP,"8/12/2022 8 a.m. PDT",4882,4630,3443,-1439
NEVP,"8/12/2022 9 a.m. PDT",5203,4965,3861,-1342
NEVP,"8/12/2022 10 a.m. PDT",5516,5176,4122,-1394
NEVP,"8/12/2022 11 a.m. PDT",5852,5377,4265,-1587
NEVP,"8/12/2022 12 p.m. PDT",6223,5666,4767,-1456
NEVP,"8/12/2022 1 p.m. PDT",6615,6031,4817,-1798
NEVP,"8/12/2022 2 p.m. PDT",6893,6344,5052,-1841
NEVP,"8/12/2022 3 p.m. PDT",6972,6619,5245,-1727
NEVP,"8/12/2022 4 p.m. PDT",6821,6662,4883,-1938
NEVP,"8/12/2022 5 p.m. PDT",6730,6656,4765,-1965
NEVP,"8/12/2022 6 p.m. PDT",6509,6658,4580,-1929
NEVP,"8/12/2022 7 p.m. PDT",6245,6511,4394,-1851
NEVP,"8/12/2022 8 p.m. PDT",6069,6257,4427,-1642
NEVP,"8/12/2022 9 p.m. PDT",5944,6129,4361,-1583
NEVP,"8/12/2022 10 p.m. PDT",5727,5884,4295,-1432
NEVP,"8/12/2022 11 p.m. PDT",5437,5532,4322,-1115
NEVP,"8/13/2022 12 a.m. PDT",5139,5153,4239,-900
NEVP,"8/13/2022 1 a.m. PDT",4890,4818,4188,-702
NEVP,"8/13/2022 2 a.m. PDT",4689,4595,4142,-547
NEVP,"8/13/2022 3 a.m. PDT",4535,4482,3984,-551
NEVP,"8/13/2022 4 a.m. PDT",4430,4363,3724,-706
NEVP,"8/13/2022 5 a.m. PDT",4385,4300,3895,-490
NEVP,"8/13/2022 6 a.m. PDT",4392,4257,3752,-640
NEVP,"8/13/2022 7 a.m. PDT",4378,4241,3678,-700
NEVP,"8/13/2022 8 a.m. PDT",4529,4281,2511,-2018
NEVP,"8/13/2022 9 a.m. PDT",4760,4553,2727,-2033
NEVP,"8/13/2022 10 a.m. PDT",4966,4858,2951,-2015
NEVP,"8/13/2022 11 a.m. PDT",5141,5137,3407,-1734
NEVP,"8/13/2022 12 p.m. PDT",5340,5423,3663,-1677
NEVP,"8/13/2022 1 p.m. PDT",5499,5778,4012,-1487
NEVP,"8/13/2022 2 p.m. PDT",5767,6076,4445,-1322
NEVP,"8/13/2022 3 p.m. PDT",6079,6358,4870,-1209
NEVP,"8/13/2022 4 p.m. PDT",6227,6313,4556,-1671
NEVP,"8/13/2022 5 p.m. PDT",6351,6371,4568,-1783
NEVP,"8/13/2022 6 p.m. PDT",6353,6387,4769,-1584
NEVP,"8/13/2022 7 p.m. PDT",6309,6380,4850,-1459
NEVP,"8/13/2022 8 p.m. PDT",6181,6236,4245,-1936
NEVP,"8/13/2022 9 p.m. PDT",6052,6128,4267,-1785
NEVP,"8/13/2022 10 p.m. PDT",5816,5906,4106,-1710
NEVP,"8/13/2022 11 p.m. PDT",5541,5489,4093,-1448
NEVP,"8/14/2022 12 a.m. PDT",5238,5310,3977,-1261
NEVP,"8/14/2022 1 a.m. PDT",4973,4912,3851,-1122
NEVP,"8/14/2022 2 a.m. PDT",4761,4754,3445,-1316
NEVP,"8/14/2022 3 a.m. PDT",4594,4629,3373,-1221
NEVP,"8/14/2022 4 a.m. PDT",4496,4484,3253,-1243
NEVP,"8/14/2022 5 a.m. PDT",4431,4401,3181,-1250
NEVP,"8/14/2022 6 a.m. PDT",4405,4379,3157,-1248
NEVP,"8/14/2022 7 a.m. PDT",4341,4299,2696,-1645
NEVP,"8/14/2022 8 a.m. PDT",4501,4417,2764,-1737
NEVP,"8/14/2022 9 a.m. PDT",4788,4642,3566,-1222
NEVP,"8/14/2022 10 a.m. PDT",5192,4938,3927,-1265
NEVP,"8/14/2022 11 a.m. PDT",5610,5227,3991,-1619
NEVP,"8/14/2022 12 p.m. PDT",5970,5651,4343,-1627
NEVP,"8/14/2022 1 p.m. PDT",6308,6133,4442,-1866
NEVP,"8/14/2022 2 p.m. PDT",6616,6402,4614,-2002
NEVP,"8/14/2022 3 p.m. PDT",6751,6558,5262,-1489
NEVP,"8/14/2022 4 p.m. PDT",6890,6684,5257,-1633
NEVP,"8/14/2022 5 p.m. PDT",6973,6737,5071,-1902
NEVP,"8/14/2022 6 p.m. PDT",6926,6729,5023,-1903
NEVP,"8/14/2022 7 p.m. PDT",6775,6662,4991,-1784
NEVP,"8/14/2022 8 p.m. PDT",6637,6508,4802,-1835
NEVP,"8/14/2022 9 p.m. PDT",6484,6361,4800,-1684
NEVP,"8/14/2022 10 p.m. PDT",6094,6203,4532,-1562
NEVP,"8/14/2022 11 p.m. PDT",5641,5794,4701,-940
NEVP,"8/15/2022 12 a.m. PDT",5246,5419,4381,-865
NEVP,"8/15/2022 1 a.m. PDT",4940,4984,4150,-790
NEVP,"8/15/2022 2 a.m. PDT",4690,4827,4044,-646
NEVP,"8/15/2022 3 a.m. PDT",4538,4706,3833,-705
NEVP,"8/15/2022 4 a.m. PDT",4447,4526,3721,-726
NEVP,"8/15/2022 5 a.m. PDT",4433,4429,3667,-766
NEVP,"8/15/2022 6 a.m. PDT",4494,4464,3748,-746
NEVP,"8/15/2022 7 a.m. PDT",4553,4508,3038,-1515
NEVP,"8/15/2022 8 a.m. PDT",4743,4707,2723,-2020
NEVP,"8/15/2022 9 a.m. PDT",4961,4963,3334,-1627
NEVP,"8/15/2022 10 a.m. PDT",5277,5153,3550,-1727
NEVP,"8/15/2022 11 a.m. PDT",5493,5490,3340,-2153
NEVP,"8/15/2022 12 p.m. PDT",5769,5814,3766,-2003
NEVP,"8/15/2022 1 p.m. PDT",6091,6203,3891,-2200
NEVP,"8/15/2022 2 p.m. PDT",6442,6572,4422,-2020
NEVP,"8/15/2022 3 p.m. PDT",6824,6758,4747,-2077
NEVP,"8/15/2022 4 p.m. PDT",7187,6830,5366,-1821
NEVP,"8/15/2022 5 p.m. PDT",7370,6926,5332,-2038
NEVP,"8/15/2022 6 p.m. PDT",7270,6945,5543,-1727
NEVP,"8/15/2022 7 p.m. PDT",7217,6900,5062,-2155
NEVP,"8/15/2022 8 p.m. PDT",7058,6569,4640,-2418
NEVP,"8/15/2022 9 p.m. PDT",6842,6405,4345,-2497
NEVP,"8/15/2022 10 p.m. PDT",6451,6350,4326,-2125
NEVP,"8/15/2022 11 p.m. PDT",5933,5910,4495,-1438
NEVP,"8/16/2022 12 a.m. PDT",5435,5506,4040,-1395
NEVP,"8/16/2022 1 a.m. PDT",5049,4850,3816,-1233
NEVP,"8/16/2022 2 a.m. PDT",4825,4641,3755,-1070
NEVP,"8/16/2022 3 a.m. PDT",4653,4478,3436,-1217
NEVP,"8/16/2022 4 a.m. PDT",4542,4415,3338,-1204
NEVP,"8/16/2022 5 a.m. PDT",4525,4421,3520,-1005
NEVP,"8/16/2022 6 a.m. PDT",4572,4455,3388,-1184
NEVP,"8/16/2022 7 a.m. PDT",4572,4596,3134,-1438
NEVP,"8/16/2022 8 a.m. PDT",4768,4750,2876,-1892
NEVP,"8/16/2022 9 a.m. PDT",5084,5053,2922,-2162
NEVP,"8/16/2022 10 a.m. PDT",5361,5321,3507,-1854
NEVP,"8/16/2022 11 a.m. PDT",5656,5631,3993,-1663
NEVP,"8/16/2022 12 p.m. PDT",5977,5917,4177,-1800
NEVP,"8/16/2022 1 p.m. PDT",6307,6295,4516,-1791
NEVP,"8/16/2022 2 p.m. PDT",6634,6782,5146,-1488
NEVP,"8/16/2022 3 p.m. PDT",6996,7015,5734,-1262
NEVP,"8/16/2022 4 p.m. PDT",7340,6976,5995,-1345
NEVP,"8/16/2022 5 p.m. PDT",7574,7030,6175,-1399
NEVP,"8/16/2022 6 p.m. PDT",7694,6986,5870,-1824
NEVP,"8/16/2022 7 p.m. PDT",7586,6885,5491,-2095
NEVP,"8/16/2022 8 p.m. PDT",7327,6659,5092,-2235
NEVP,"8/16/2022 9 p.m. PDT",7075,6633,4992,-2083
NEVP,"8/16/2022 10 p.m. PDT",6717,6355,4984,-1733
NEVP,"8/16/2022 11 p.m. PDT",6277,5898,4711,-1566
NEVP,"8/17/2022 12 a.m. PDT",5846,5518,4133,-1713
