,Date,Valid,Installed_Charge_Capacity,Installed_Discharge_Capacity,Total_Charge,Total_Discharge,Hourly_Charging,Hourly_Discharging
0,12/05/2023,True,7024,5038,3757.84,3672.702,"[133.456, 63.21600000000001, 154.52800000000002, 63.21600000000001, 119.40800000000002, 105.36, 84.288, 133.456, 161.552, 210.72, 393.34399999999994, 428.464, 295.00800000000004, 287.984, 175.60000000000002, 91.31200000000001, 105.36, 112.384, 70.24, 196.67199999999997, 77.26400000000001, 140.48, 77.26400000000001, 77.26400000000001]","[15.114, 70.532, 161.216, 100.76, 95.722, 166.25400000000002, 604.56, 428.23, 161.216, 100.76, 50.38, 35.266, 40.304, 55.418000000000006, 110.83600000000001, 151.14, 241.824, 317.394, 272.052, 151.14, 161.216, 70.532, 60.456, 50.38]"
1,12/06/2023,True,7024,5038,3828.08,2433.3540000000003,"[196.67199999999997, 147.50400000000002, 98.33599999999998, 112.384, 133.456, 133.456, 49.16799999999999, 168.576, 309.05600000000004, 323.104, 252.86400000000003, 351.20000000000005, 358.224, 224.768, 161.552, 161.552, 49.16799999999999, 63.21600000000001, 119.40800000000002, 63.21600000000001, 56.192, 70.24, 84.288, 140.48]","[50.38, 65.494, 45.342000000000006, 50.38, 90.68400000000001, 166.25400000000002, 191.444, 176.33, 45.342000000000006, 100.76, 176.33, 100.76, 80.608, 110.83600000000001, 70.532, 80.608, 216.634, 75.57, 95.722, 141.064, 90.68400000000001, 80.608, 50.38, 80.608]"
2,12/07/2023,True,7024,5038,2992.224,2372.898,"[112.384, 140.48, 49.16799999999999, 63.21600000000001, 84.288, 91.31200000000001, 49.16799999999999, 140.48, 245.84000000000003, 302.032, 231.792, 182.62400000000002, 119.40800000000002, 119.40800000000002, 140.48, 273.936, 105.36, 49.16799999999999, 56.192, 77.26400000000001, 77.26400000000001, 112.384, 98.33599999999998, 70.24]","[35.266, 30.228, 50.38, 40.304, 45.342000000000006, 65.494, 226.70999999999998, 115.874, 141.064, 95.722, 90.68400000000001, 95.722, 136.026, 151.14, 166.25400000000002, 115.874, 100.76, 186.40600000000003, 100.76, 70.532, 85.646, 60.456, 120.912, 45.342000000000006]"
3,12/08/2023,True,7024,5038,4326.784,3576.98,"[196.67199999999997, 161.552, 161.552, 70.24, 119.40800000000002, 98.33599999999998, 70.24, 84.288, 266.912, 491.68000000000006, 210.72, 259.88800000000003, 323.104, 386.32, 330.128, 189.64800000000002, 35.12, 182.62400000000002, 238.81600000000003, 189.64800000000002, 77.26400000000001, 70.24, 35.12, 77.26400000000001]","[241.824, 90.68400000000001, 171.292, 125.95, 146.102, 171.292, 287.166, 392.964, 55.418000000000006, 75.57, 191.444, 146.102, 80.608, 85.646, 100.76, 45.342000000000006, 392.964, 297.242, 70.532, 40.304, 130.988, 40.304, 100.76, 95.722]"
4,12/09/2023,True,7024,5038,3153.776,2282.214,"[105.36, 98.33599999999998, 84.288, 84.288, 56.192, 182.62400000000002, 133.456, 91.31200000000001, 203.696, 259.88800000000003, 119.40800000000002, 105.36, 203.696, 358.224, 224.768, 196.67199999999997, 112.384, 35.12, 119.40800000000002, 112.384, 63.21600000000001, 77.26400000000001, 63.21600000000001, 63.21600000000001]","[50.38, 55.418000000000006, 50.38, 35.266, 40.304, 60.456, 130.988, 372.81200000000007, 125.95, 115.874, 141.064, 45.342000000000006, 75.57, 60.456, 95.722, 105.798, 60.456, 287.166, 55.418000000000006, 60.456, 95.722, 55.418000000000006, 55.418000000000006, 50.38]"
5,12/10/2023,True,7024,5038,3350.4480000000003,2670.14,"[84.288, 105.36, 49.16799999999999, 63.21600000000001, 84.288, 112.384, 70.24, 63.21600000000001, 295.00800000000004, 203.696, 154.52800000000002, 238.81600000000003, 238.81600000000003, 330.128, 168.576, 98.33599999999998, 56.192, 105.36, 112.384, 154.52800000000002, 119.40800000000002, 77.26400000000001, 154.52800000000002, 210.72]","[60.456, 25.19, 50.38, 161.216, 186.40600000000003, 161.216, 307.318, 382.888, 35.266, 95.722, 30.228, 35.266, 50.38, 30.228, 30.228, 35.266, 226.70999999999998, 413.11599999999993, 146.102, 20.152, 35.266, 60.456, 60.456, 30.228]"
6,12/11/2023,True,7024,5038,3202.944,2685.254,"[77.26400000000001, 84.288, 49.16799999999999, 63.21600000000001, 105.36, 119.40800000000002, 42.144, 91.31200000000001, 210.72, 203.696, 189.64800000000002, 105.36, 175.60000000000002, 280.96, 266.912, 140.48, 56.192, 182.62400000000002, 119.40800000000002, 203.696, 112.384, 70.24, 168.576, 84.288]","[40.304, 35.266, 35.266, 55.418000000000006, 65.494, 277.09, 503.8, 428.23, 60.456, 50.38, 25.19, 30.228, 45.342000000000006, 40.304, 40.304, 80.608, 307.318, 236.786, 136.026, 25.19, 25.19, 50.38, 35.266, 55.418000000000006]"
7,12/12/2023,True,7024,5038,2542.688,2045.428,"[35.12, 70.24, 42.144, 63.21600000000001, 56.192, 91.31200000000001, 63.21600000000001, 77.26400000000001, 168.576, 252.86400000000003, 112.384, 112.384, 175.60000000000002, 182.62400000000002, 112.384, 252.86400000000003, 154.52800000000002, 70.24, 77.26400000000001, 98.33599999999998, 70.24, 70.24, 98.33599999999998, 35.12]","[65.494, 25.19, 30.228, 45.342000000000006, 50.38, 90.68400000000001, 362.73600000000005, 186.40600000000003, 45.342000000000006, 120.912, 35.266, 65.494, 70.532, 65.494, 60.456, 65.494, 136.026, 221.67200000000003, 105.798, 35.266, 35.266, 25.19, 50.38, 50.38]"
8,12/13/2023,True,7022,5036,2598.14,1878.4279999999999,"[161.506, 70.22, 49.153999999999996, 84.264, 63.19800000000001, 91.286, 49.153999999999996, 98.30799999999999, 77.242, 224.704, 189.59400000000002, 126.39600000000002, 182.572, 196.61599999999999, 168.528, 210.66, 91.286, 42.132, 49.153999999999996, 77.242, 98.30799999999999, 91.286, 56.176, 49.153999999999996]","[70.50399999999999, 30.216, 50.36, 70.50399999999999, 50.36, 25.18, 60.432, 70.50399999999999, 80.57600000000001, 60.432, 50.36, 45.324000000000005, 100.72, 60.432, 166.18800000000002, 191.368, 75.53999999999999, 216.54799999999997, 146.04399999999998, 55.39600000000001, 30.216, 10.072000000000001, 110.79200000000002, 50.36]"
9,12/14/2023,True,7022,5036,2710.492,1757.564,"[98.30799999999999, 49.153999999999996, 35.11, 35.11, 49.153999999999996, 77.242, 35.11, 49.153999999999996, 84.264, 189.59400000000002, 330.034, 344.07800000000003, 273.858, 133.418, 126.39600000000002, 133.418, 126.39600000000002, 56.176, 70.22, 84.264, 70.22, 35.11, 98.30799999999999, 126.39600000000002]","[20.144000000000002, 65.468, 30.216, 35.251999999999995, 75.53999999999999, 70.50399999999999, 125.9, 95.684, 55.39600000000001, 95.684, 55.39600000000001, 45.324000000000005, 55.39600000000001, 70.50399999999999, 80.57600000000001, 156.11599999999999, 80.57600000000001, 191.368, 70.50399999999999, 100.72, 40.288000000000004, 20.144000000000002, 60.432, 60.432]"
