Time Bucket (America/New_York),30 Bellevue_1 (kWhs),30 Bellevue_2 (kWhs),Tesla Charger (kWhs),Heat Pump Attic (kWhs),Heat Pump Basement (kWhs),Oven (kWhs)
10/01/2022 00:00:00,0.4644,0.5857,0.0000,0.1595,0.0015,0.0053
10/01/2022 01:00:00,0.5958,0.6096,0.0000,0.3996,0.0008,0.0048
10/01/2022 02:00:00,3.4509,3.5754,4.0673,1.7455,0.0253,0.0123
10/01/2022 03:00:00,6.1437,6.3008,10.6572,0.0045,0.0053,0.0164
10/01/2022 04:00:00,0.9683,0.9578,0.0000,1.0887,0.0010,0.0057
10/01/2022 05:00:00,0.6994,1.1914,0.0001,0.5632,0.0241,0.0088
10/01/2022 06:00:00,0.4038,1.0271,0.0002,0.0066,0.0009,0.0083
10/01/2022 07:00:00,2.0858,1.7470,0.0000,1.5186,0.0038,0.0068
10/01/2022 08:00:00,1.3665,0.6821,0.0000,0.0033,0.0115,0.0020
10/01/2022 09:00:00,1.5806,0.5734,0.0000,0.0022,0.0136,0.0006
10/01/2022 10:00:00,0.8759,0.4177,0.0000,0.0025,0.0013,0.0020
10/01/2022 11:00:00,1.6670,1.0397,0.0000,0.9656,0.0033,0.0039
10/01/2022 12:00:00,0.8008,0.6404,0.0000,0.1623,0.0012,0.0038
10/01/2022 13:00:00,0.5106,0.4228,0.0000,0.0035,0.0006,0.0032
10/01/2022 14:00:00,0.6731,0.4373,0.0000,0.0044,0.0014,0.0024
10/01/2022 15:00:00,0.4825,0.5427,0.0000,0.0036,0.0011,0.0045
10/01/2022 16:00:00,1.1415,0.7447,0.0015,0.0028,0.3623,0.0037
10/01/2022 17:00:00,1.2742,1.1177,0.0000,0.0025,1.2385,0.0035
10/01/2022 18:00:00,1.1871,1.5622,0.0002,0.0058,0.5316,0.0094
10/01/2022 19:00:00,1.1780,1.2911,0.0000,0.0030,0.9793,0.0055
10/01/2022 20:00:00,1.5339,1.4512,0.0000,0.0959,1.1571,0.0053
10/01/2022 21:00:00,0.7702,0.7735,0.0000,0.2169,0.2902,0.0045
10/01/2022 22:00:00,0.4271,0.3922,0.0000,0.0031,0.0008,0.0039
10/01/2022 23:00:00,0.7306,0.7596,0.0000,0.5975,0.0014,0.0054
10/02/2022 00:00:00,0.4065,0.5137,0.0000,0.0046,0.0011,0.0056
10/02/2022 01:00:00,0.5292,0.5406,0.0000,0.2278,0.0011,0.0055
10/02/2022 02:00:00,2.7138,2.6797,4.0975,0.3271,0.0029,0.0089
10/02/2022 03:00:00,6.5612,6.6601,11.0403,0.3168,0.0058,0.0173
10/02/2022 04:00:00,0.9915,0.9658,0.0000,1.0716,0.0012,0.0061
10/02/2022 05:00:00,0.4136,1.2582,0.0010,0.0084,0.0018,0.0113
10/02/2022 06:00:00,0.4712,1.2591,0.0010,0.0078,0.0017,0.0105
10/02/2022 07:00:00,1.4245,1.1588,0.0002,0.0058,0.0091,0.0067
10/02/2022 08:00:00,1.1356,1.1296,0.0001,0.6592,0.0198,0.0057
10/02/2022 09:00:00,0.9704,0.9253,0.0000,0.6572,0.0010,0.0043
10/02/2022 10:00:00,0.7488,0.5986,0.0000,0.0042,0.0016,0.0029
10/02/2022 11:00:00,0.7302,0.4480,0.0000,0.0053,0.0130,0.0014
10/02/2022 12:00:00,0.4805,0.5170,0.0000,0.0052,0.0108,0.0032
10/02/2022 13:00:00,0.3965,0.7856,0.0001,0.0062,0.0014,0.0066
10/02/2022 14:00:00,0.3924,0.4077,0.0000,0.0039,0.0009,0.0031
10/02/2022 15:00:00,0.4385,0.4520,0.0055,0.0034,0.0008,0.0030
10/02/2022 16:00:00,0.9448,0.4619,0.0000,0.0187,0.0076,0.0014
10/02/2022 17:00:00,1.0962,0.5355,0.0000,0.0360,0.0179,0.0025
10/02/2022 18:00:00,1.3008,1.7414,0.0002,0.6334,0.1629,0.0097
10/02/2022 19:00:00,1.6979,1.2385,0.0000,0.6425,0.2458,0.0048
10/02/2022 20:00:00,1.6913,1.5559,0.0001,1.2867,0.0035,0.0064
10/02/2022 21:00:00,0.8010,0.8639,0.0000,0.1552,0.0013,0.0044
10/02/2022 22:00:00,0.5841,0.6774,0.0000,0.1574,0.0012,0.0039
10/02/2022 23:00:00,1.2636,1.5146,0.0000,1.5512,0.0154,0.0073
10/03/2022 00:00:00,0.7319,0.8740,0.0000,0.6196,0.0131,0.0053
10/03/2022 01:00:00,1.4473,1.5117,0.0000,1.9218,0.0018,0.0075
10/03/2022 02:00:00,0.4866,0.6455,0.0000,0.1572,0.0119,0.0052
10/03/2022 03:00:00,5.0743,5.2108,6.9193,1.9337,0.0234,0.0142
10/03/2022 04:00:00,0.6623,1.1478,0.0001,0.5040,0.0015,0.0080
10/03/2022 05:00:00,1.2566,1.7215,0.0001,1.5512,0.0289,0.0090
10/03/2022 06:00:00,1.6911,1.8434,0.0003,1.1703,0.0036,0.4670
10/03/2022 07:00:00,0.7737,1.0027,0.0003,0.2316,0.0177,0.1117
10/03/2022 08:00:00,1.0797,1.2118,0.0000,1.2898,0.0157,0.0054
10/03/2022 09:00:00,0.5548,0.4909,0.0000,0.0033,0.0007,0.0025
10/03/2022 10:00:00,1.3164,1.1008,0.0000,1.2663,0.0011,0.0037
10/03/2022 11:00:00,0.5093,0.5165,0.0000,0.0048,0.0011,0.0032
10/03/2022 12:00:00,1.0330,0.8455,0.0000,0.1526,0.4596,0.0035
10/03/2022 13:00:00,0.8892,1.2978,0.0000,0.9435,0.0017,0.0076
10/03/2022 14:00:00,0.5416,0.4940,0.0012,0.0032,0.0008,0.0026
10/03/2022 15:00:00,0.7569,0.7724,0.0000,0.0031,0.6180,0.0024
10/03/2022 16:00:00,1.7757,1.6541,0.0000,1.1672,0.0039,0.0066
10/03/2022 17:00:00,1.5816,1.5992,0.0001,0.6112,0.5772,0.0060
10/03/2022 18:00:00,1.3091,1.3069,0.0000,0.7565,0.1319,0.0048
10/03/2022 19:00:00,1.0819,1.0173,0.0000,0.0038,0.2311,0.0042
10/03/2022 20:00:00,1.4410,1.3441,0.0000,0.7613,0.3637,0.0048
10/03/2022 21:00:00,1.1342,1.0639,0.0000,0.6866,0.3763,0.0036
10/03/2022 22:00:00,1.2574,1.0270,0.0000,0.9305,0.0036,0.0028
10/03/2022 23:00:00,0.7229,0.8117,0.0000,0.5131,0.0013,0.0042
10/04/2022 00:00:00,1.2836,1.3936,0.0000,1.6560,0.0019,0.0066
10/04/2022 01:00:00,0.6062,0.6530,0.0000,0.4122,0.0011,0.0043
10/04/2022 02:00:00,2.4922,2.6094,2.6773,1.3289,0.0276,0.0090
10/04/2022 03:00:00,6.4062,6.4460,10.9084,0.2991,0.0062,0.0160
10/04/2022 04:00:00,1.2963,1.7594,0.0001,1.7055,0.0021,0.0092
10/04/2022 05:00:00,0.5215,0.9299,0.0003,0.0058,0.0129,0.0073
10/04/2022 06:00:00,2.3052,1.6920,0.0000,1.2728,0.1088,0.0058
10/04/2022 07:00:00,1.1775,1.2964,0.0004,0.0052,0.6541,0.0050
10/04/2022 08:00:00,0.8799,0.9912,0.0000,0.0043,0.8472,0.0040
10/04/2022 09:00:00,0.8058,0.8082,0.0000,0.7338,0.0011,0.0040
10/04/2022 10:00:00,0.7088,0.7141,0.0000,0.4967,0.0009,0.0037
10/04/2022 11:00:00,0.7046,0.7580,0.0000,0.0040,0.5155,0.0031
10/04/2022 12:00:00,0.8503,0.9585,0.0000,0.0042,0.8883,0.0031
10/04/2022 13:00:00,0.7021,0.8257,0.0000,0.3521,0.2569,0.0043
10/04/2022 14:00:00,0.5505,0.5953,0.0000,0.2899,0.0010,0.0037
10/04/2022 15:00:00,0.7416,0.7275,0.0000,0.5851,0.0011,0.0039
10/04/2022 16:00:00,0.4661,0.9183,0.0002,0.0062,0.0013,0.0071
10/04/2022 17:00:00,0.6978,1.0005,0.0001,0.3456,0.0015,0.0065
10/04/2022 18:00:00,1.8090,1.8680,0.0011,1.1453,0.7392,0.0064
10/04/2022 19:00:00,1.7396,1.2287,0.0000,0.4718,0.2576,0.0040
10/04/2022 20:00:00,1.4102,1.1165,0.0000,0.7376,0.0025,0.0048
10/04/2022 21:00:00,0.8438,0.8940,0.0000,0.0036,0.7511,0.0038
10/04/2022 22:00:00,0.3967,0.4669,0.0000,0.0040,0.0008,0.0042
10/04/2022 23:00:00,0.5426,0.6571,0.0000,0.2932,0.0010,0.0050
10/05/2022 00:00:00,0.9116,0.9834,0.0000,0.9611,0.0014,0.0061
10/05/2022 01:00:00,0.3846,0.4890,0.0000,0.0046,0.0008,0.0051
10/05/2022 02:00:00,0.4792,0.5458,0.0000,0.1733,0.0010,0.0047
10/05/2022 03:00:00,5.3628,5.3821,8.4252,0.9984,0.0052,0.0138
10/05/2022 04:00:00,0.4766,1.0125,0.0002,0.1783,0.0011,0.0082
10/05/2022 05:00:00,0.4660,0.8700,0.0001,0.1634,0.0011,0.0066
10/05/2022 06:00:00,1.5298,1.5491,0.0001,1.0706,0.0244,0.0068
10/05/2022 07:00:00,1.4811,1.2246,0.0001,0.0054,0.0041,0.0048
10/05/2022 08:00:00,1.7810,1.2521,0.0000,0.7787,0.0049,0.0038
10/05/2022 09:00:00,1.1033,0.9409,0.0000,0.6061,0.0309,0.0031
10/05/2022 10:00:00,1.6137,1.8566,0.0000,0.9392,1.1921,0.0052
10/05/2022 11:00:00,1.0614,1.1375,0.0000,1.0019,0.0013,0.0044
10/05/2022 12:00:00,0.9217,0.9486,0.0000,0.3224,0.4553,0.0036
10/05/2022 13:00:00,0.6499,0.8030,0.0000,0.1587,0.3122,0.0042
10/05/2022 14:00:00,0.4796,0.4919,0.0000,0.0709,0.0008,0.0033
10/05/2022 15:00:00,1.6375,0.6389,0.0000,0.0906,0.2498,0.0015
