START DATE,END DATE,USAGE,UNITS,COST
6/21/17,7/21/17,1614,kWh,$337.50 
7/22/17,8/21/17,1372,kWh,$286.91 
8/22/17,9/20/17,1059,kWh,$221.43 
9/21/17,10/20/17,1158,kWh,$242.16 
10/21/17,11/17/17,881,kWh,$184.75 
11/18/17,12/20/17,1226,kWh,$257.08 
12/21/17,1/22/18,1672,kWh,$350.62 
1/23/18,2/20/18,969,kWh,$209.31 
2/21/18,3/21/18,820,kWh,$177.19 
3/22/18,4/19/18,663,kWh,$143.30 
4/20/18,5/22/18,840,kWh,$179.87 
5/23/18,6/20/18,939,kWh,$200.18 
6/21/18,7/23/18,1340,kWh,$283.80 
7/24/18,8/20/18,1422,kWh,$300.32 
8/21/18,9/20/18,1214,kWh,$256.38 
9/21/18,10/19/18,827,kWh,$177.28 
10/20/18,11/16/18,840,kWh,$180.16 
11/17/18,12/19/18,1318,kWh,$282.80 
12/20/18,1/22/19,1525,kWh,$328.62 
1/23/19,2/20/19,895,kWh,$193.35 
2/21/19,3/21/19,764,kWh,$167.55 
3/22/19,4/19/19,730,kWh,$161.04 
4/20/19,5/22/19,882,kWh,$194.09 
5/23/19,6/19/19,1022,kWh,$225.59 
6/20/19,7/23/19,1317,kWh,$290.69 
7/24/19,8/21/19,1404,kWh,$309.88 
8/22/19,9/20/19,999,kWh,$220.51 
9/21/19,10/18/19,808,kWh,$178.34 
10/19/19,11/19/19,981,kWh,$217.30 
11/20/19,12/18/19,1080,kWh,$239.82 
12/19/19,1/22/20,1540,kWh,$344.04 
1/23/20,2/20/20,1115,kWh,$249.95 
2/21/20,3/23/20,1129,kWh,$258.57 
3/24/20,4/22/20,956,kWh,$220.81 
4/23/20,5/20/20,702,kWh,$163.68 
5/21/20,6/22/20,1688,kWh,$395.00 
6/23/20,7/22/20,1566,kWh,$366.60 
7/23/20,8/19/20,1436,kWh,$329.20 
8/20/20,9/18/20,1575,kWh,$357.42 
9/19/20,10/20/20,1187,kWh,$268.72 
10/21/20,11/18/20,928,kWh,$209.92 
11/19/20,12/21/20,1015,kWh,$229.71 
12/22/20,1/21/21,1152,kWh,$266.01 
1/22/21,2/22/21,1052,kWh,$249.02 
2/23/21,3/24/21,810,kWh,$199.80 
3/25/21,4/22/21,682,kWh,$169.92 
4/23/21,5/20/21,775,kWh,$188.97 
5/21/21,6/22/21,1529,kWh,$373.82 
6/23/21,7/22/21,2582,kWh,$635.57 
7/23/21,8/20/21,3785,kWh,$932.10 
8/21/21,9/21/21,3033,kWh,$746.93 
9/22/21,10/20/21,2347,kWh,$578.11 
10/21/21,11/18/21,977,kWh,$240.83 
11/19/21,12/21/21,1205,kWh,$297.13 
12/22/21,1/20/22,1149,kWh,$283.92 
1/21/22,2/17/22,901,kWh,$222.92 
2/18/22,3/21/22,984,kWh,$240.37 
3/22/22,4/20/22,731,kWh,$177.40 
4/21/22,5/20/22,1455,kWh,$348.81 
5/21/22,6/20/22,1436,kWh,$351.40 
6/21/22,7/21/22,3832,kWh,$951.64 
7/22/22,8/22/22,3571,kWh,$886.94 
8/23/22,9/20/22,2625,kWh,$651.97 
9/21/22,10/20/22,1228,kWh,$307.53 
