Read Date,Usage,Number of Days,Usage per Day,Cost Per Day,Total Charge,Avg Temp,,,,,
11/30/22,1163,30,38.8,$15.17 ,$439.99 ,48.5,,,,,
10/31/22,1153,31,37.2,$20.92 ,$585.75 ,62.1,,,,,
9/30/22,1370,30,45.7,$26.59 ,$797.65 ,72,,,,,
8/31/22,1581,31,51.0,$34.91 ,"$1,117.04 ",75.6,,,,,
7/31/22,1842,31,59.4,$24.60 ,$738.00 ,76.5,,,,,
6/30/22,1239,30,41.3,$24.75 ,$816.89 ,63.7,,,,,"Energy Usage 2022 (kWh),1837,1432,1267,774,960,1239,1842,1581,1370,1153,1163,"
5/31/22,960,31,31.0,$15.44 ,$478.52 ,46.8,,,,,
4/30/22,774,30,25.8,$15.44 ,$478.49 ,38.1,,,,,
3/31/22,1267,31,40.9,$17.08 ,$495.43 ,19.3,,,,,
2/28/22,1432,28,51.1,$20.94 ,$607.15 ,12.8,,,,,
1/31/22,1837,31,59.3,$15.56 ,$513.42 ,17.7,,,,,
12/31/21,1353,31,43.6,$13.31 ,$412.67 ,33,,,,,
11/30/21,1127,30,37.6,$13.84 ,$387.48 ,50.8,,,,,
10/31/21,1397,31,45.1,$17.11 ,$479.19 ,66,,,,,
9/30/21,1532,30,51.1,$20.85 ,$708.88 ,72.4,,,,,
8/31/21,1845,31,59.5,$24.61 ,$713.70 ,76.2,,,,,
7/31/21,2033,31,65.6,$22.57 ,$722.19 ,74.4,,,,,
6/30/21,1431,30,47.7,$20.04 ,$601.33 ,68.8,,,,,
5/31/21,877,31,28.3,$13.86 ,$374.33 ,47.7,,,,,
4/30/21,1071,30,35.7,$13.90 ,$472.63 ,45.5,,,,,
3/31/21,1050,31,33.9,$16.37 ,$491.14 ,22.5,,,,,
2/28/21,1058,28,37.8,$18.19 ,$509.44 ,17.7,,,,,
1/31/21,1299,31,41.9,$18.83 ,$621.53 ,22.3,,,,,
12/31/20,1191,31,38.4,$15.79 ,$489.45 ,35.4,,,,,
11/30/20,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
