Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
6491600,11/1/21,12:00 AM,15,0.05,,0.05
6491600,11/1/21,12:15 AM,15,0.07,,0.07
6491600,11/1/21,12:30 AM,15,0.08,,0.08
6491600,11/1/21,12:45 AM,15,0.045,,0.045
6491600,11/1/21,1:00 AM,15,0.065,,0.065
6491600,11/1/21,1:15 AM,15,0.09,,0.09
6491600,11/1/21,1:30 AM,15,0.055,,0.055
6491600,11/1/21,1:45 AM,15,0.06,,0.06
6491600,11/1/21,2:00 AM,15,0.085,,0.085
6491600,11/1/21,2:15 AM,15,0.045,,0.045
6491600,11/1/21,2:30 AM,15,0.06,,0.06
6491600,11/1/21,2:45 AM,15,0.085,,0.085
6491600,11/1/21,3:00 AM,15,0.055,,0.055
6491600,11/1/21,3:15 AM,15,0.06,,0.06
6491600,11/1/21,3:30 AM,15,0.09,,0.09
6491600,11/1/21,3:45 AM,15,0.045,,0.045
6491600,11/1/21,4:00 AM,15,0.055,,0.055
6491600,11/1/21,4:15 AM,15,0.09,,0.09
6491600,11/1/21,4:30 AM,15,0.045,,0.045
6491600,11/1/21,4:45 AM,15,0.065,,0.065
6491600,11/1/21,5:00 AM,15,0.095,,0.095
6491600,11/1/21,5:15 AM,15,0.045,,0.045
6491600,11/1/21,5:30 AM,15,0.055,,0.055
6491600,11/1/21,5:45 AM,15,0.085,,0.085
6491600,11/1/21,6:00 AM,15,0.05,,0.05
6491600,11/1/21,6:15 AM,15,0.07,,0.07
6491600,11/1/21,6:30 AM,15,0.115,,0.115
6491600,11/1/21,6:45 AM,15,0.065,,0.065
6491600,11/1/21,7:00 AM,15,0.15,,0.15
6491600,11/1/21,7:15 AM,15,0.24,,0.24
6491600,11/1/21,7:30 AM,15,0.265,,0.265
6491600,11/1/21,7:45 AM,15,0.085,,0.085
6491600,11/1/21,8:00 AM,15,0.14,,0.14
6491600,11/1/21,8:15 AM,15,0.12,,0.12
6491600,11/1/21,8:30 AM,15,0.11,,0.11
6491600,11/1/21,8:45 AM,15,0.135,,0.135
