Time Bucket (America/New_York),30 Bellevue-Mains_A (kWatts),30 Bellevue-Mains_B (kWatts),30 Bellevue-Electric Vehicle/RV-Tesla Charger (kWatts),30 Bellevue-Heat Pump-Heat Pump Attic (kWatts),30 Bellevue-Heat Pump-Heat Pump Basement (kWatts),30 Bellevue-Cooktop/Range/Oven/Stove-Oven (kWatts)
1/1/23 0:00,0.4915,0.4807,0,0.0051,0.001,0.0041
1/1/23 0:15,0.4919,0.4539,0,0.0044,0.0011,0.0037
1/1/23 0:30,0.491,0.4214,0,0.0042,0.0012,0.0036
1/1/23 0:45,0.4927,0.3813,0,0.0045,0.0011,0.0036
1/1/23 1:00,0.4934,0.2946,0,0.004,0.0011,0.003
1/1/23 1:15,0.4952,0.2185,0,0.0042,0.0013,0.0032
1/1/23 1:30,0.4958,0.2275,0,0.0042,0.0014,0.0029
1/1/23 1:45,0.495,0.1368,0,0.0038,0.0012,0.0024
1/1/23 2:00,0.4952,0.1338,0,0.0039,0.0011,0.0027
1/1/23 2:15,0.4952,0.629,0,0.0065,0.0017,0.0036
1/1/23 2:30,0.4972,0.3224,0,0.0052,0.0015,0.0038
1/1/23 2:45,0.4963,0.4171,0,0.0047,0.0013,0.0037
1/1/23 3:00,0.4952,0.5819,0,0.0056,0.0015,0.0044
1/1/23 3:15,0.4938,0.5527,0,0.0046,0.0009,0.0046
1/1/23 3:30,0.497,0.5942,0,0.0053,0.0012,0.0046
1/1/23 3:45,0.5127,0.5107,0,0.0319,0.0201,0.0043
1/1/23 4:00,0.5234,0.3451,0,0.0427,0.0343,0.003
1/1/23 4:15,0.523,0.3257,0,0.0427,0.0342,0.0027
1/1/23 4:30,0.5173,0.3223,0,0.0426,0.0142,0.0028
1/1/23 4:45,0.5114,0.4722,0,0.0428,0.0014,0.0043
1/1/23 5:00,0.4944,0.5106,0.0001,0.0083,0.0016,0.0047
1/1/23 5:15,0.4963,0.3682,0,0.0045,0.0018,0.0035
1/1/23 5:30,0.5552,1.2243,0.0003,0.0083,0.0021,0.0109
1/1/23 5:45,0.556,1.0724,0.0003,0.0076,0.0019,0.0106
1/1/23 6:00,0.5551,0.976,0.0004,0.0075,0.002,0.0097
1/1/23 6:15,0.5614,1.1899,0.0006,0.0083,0.002,0.0116
1/1/23 6:30,0.5149,0.9216,0.0002,0.0074,0.0265,0.0093
1/1/23 6:45,0.9451,1.5683,0.0003,0.7243,0.0345,0.0121
1/1/23 7:00,2.2054,2.8563,0.0001,3.0672,0.0351,0.0135
1/1/23 7:15,0.4914,1.1186,0.0002,0.0084,0.0249,0.0099
1/1/23 7:30,0.4823,0.8285,0.0001,0.0076,0.002,0.0076
1/1/23 7:45,0.4796,1.0189,0.0002,0.0078,0.0017,0.009
1/1/23 8:00,0.4822,0.9564,0.0002,0.0071,0.0014,0.0084
1/1/23 8:15,0.5717,0.953,0.0002,0.0071,0.0013,0.0078
1/1/23 8:30,0.5096,0.3606,0,0.005,0.0011,0.0027
1/1/23 8:45,0.4992,0.1287,0,0.0036,0.0012,0.0021
1/1/23 9:00,0.5006,0.1876,0,0.0034,0.0009,0.0026
1/1/23 9:15,0.495,0.2401,0,0.0041,0.001,0.0027
1/1/23 9:30,0.4992,0.3378,0,0.0048,0.0011,0.0034
1/1/23 9:45,0.5008,0.2979,0,0.0044,0.0274,0.003
1/1/23 10:00,0.4923,0.3166,0,0.0046,0.0338,0.0026
1/1/23 10:15,0.4952,0.353,0,0.005,0.0338,0.003
1/1/23 10:30,0.4808,0.3395,0,0.0052,0.0017,0.0029
