Year,Month,State,Data Status,Residential,Commercial,Industrial,Transportation - MWh,Total
2022,8,AK,Preliminary,"144,999","208,813","117,595",0,"471,408"
2022,7,AK,Preliminary,"145,048","206,271","112,010",0,"463,329"
2022,6,AK,Preliminary,"137,989","203,069","111,108",0,"452,165"
2022,5,AK,Preliminary,"149,658","202,008","116,159",0,"467,826"
2022,4,AK,Preliminary,"159,362","205,906","116,040",0,"481,308"
2022,3,AK,Preliminary,"183,062","223,070","121,198",0,"527,329"
2022,1,AK,Preliminary,"226,819","239,505","113,318",0,"579,642"
2021,12,AK,Preliminary,"223,408","238,828","120,258",0,"582,494"
2021,11,AK,Preliminary,"196,440","224,134","111,363",0,"531,936"
2021,10,AK,Preliminary,"163,602","208,582","111,768",0,"483,952"
2021,9,AK,Preliminary,"146,659","200,286","111,142",0,"458,087"
2021,8,AK,Preliminary,"144,272","201,553","112,300",0,"458,126"
2021,7,AK,Preliminary,"143,507","201,242","107,496",0,"452,246"
2021,6,AK,Preliminary,"140,307","197,131","101,112",0,"438,550"
2021,5,AK,Preliminary,"147,777","197,931","113,922",0,"459,630"
2021,4,AK,Preliminary,"166,596","206,410","110,325",0,"483,331"
2021,3,AK,Preliminary,"198,402","228,032","116,014",0,"542,448"
2021,2,AK,Preliminary,"198,038","216,928","103,902",0,"518,868"
2021,1,AK,Preliminary,"205,298","224,555","109,715",0,"539,569"
2020,12,AK,Final,"214,807","228,386","112,335",0,"555,528"
2020,11,AK,Final,"195,193","218,813","109,343",0,"523,348"
2020,10,AK,Final,"163,139","202,573","113,653",0,"479,365"
2020,9,AK,Final,"145,067","196,774","103,559",0,"445,399"
2020,8,AK,Final,"145,337","197,408","119,861",0,"462,605"
2020,7,AK,Final,"144,690","194,709","110,424",0,"449,823"
2020,6,AK,Final,"139,858","185,196","101,683",0,"426,737"
2020,5,AK,Final,"150,647","183,495","98,681",0,"432,822"
2020,4,AK,Final,"169,725","202,722","99,889",0,"472,336"
2020,3,AK,Final,"192,946","229,078","113,185",0,"535,209"
2020,2,AK,Final,"196,252","238,505","106,240",0,"540,997"
2020,1,AK,Final,"231,387","246,456","115,564",0,"593,407"
2019,12,AK,Final,"196,549","230,931","103,606",0,"531,086"
2019,11,AK,Final,"167,062","218,416","105,632",0,"491,110"
2019,10,AK,Final,"154,043","215,628","108,506",0,"478,176"
2019,9,AK,Final,"135,921","207,934","106,608",0,"450,463"
2019,8,AK,Final,"136,704","220,350","121,094",0,"478,148"
2019,7,AK,Final,"139,283","218,849","102,384",0,"460,515"
2019,6,AK,Final,"129,703","206,322","98,761",0,"434,786"
2019,5,AK,Final,"144,515","208,405","105,969",0,"458,888"
2019,4,AK,Final,"150,175","210,750","93,634",0,"454,559"
2019,3,AK,Final,"176,229","225,130","107,835",0,"509,194"
2019,2,AK,Final,"184,388","228,772","97,734",0,"510,894"
2019,1,AK,Final,"213,637","247,360","99,989",0,"560,987"
2018,12,AK,Final,"198,753","226,779","113,659",0,"539,191"
2018,11,AK,Final,"173,457","221,153","111,182",0,"505,792"
2018,10,AK,Final,"152,200","211,318","106,454",0,"469,971"
2018,9,AK,Final,"139,657","209,121","116,521",0,"465,299"
2018,8,AK,Final,"137,924","216,236","114,723",0,"468,883"
2018,7,AK,Final,"139,603","215,101","111,504",0,"466,209"
2018,6,AK,Final,"134,878","205,307","107,005",0,"447,190"
2018,5,AK,Final,"148,066","211,070","112,916",0,"472,052"
2018,4,AK,Final,"155,644","218,838","104,146",0,"478,628"
2018,3,AK,Final,"188,118","231,845","115,579",0,"535,541"
2018,2,AK,Final,"193,971","234,883","121,283",0,"550,137"
2018,1,AK,Final,"212,633","244,406","116,532",0,"573,572"
2017,12,AK,Final,"211,092","241,913","120,091",0,"573,096"
2017,11,AK,Final,"185,616","230,155","120,661",0,"536,432"
2017,10,AK,Final,"158,474","216,563","118,852",0,"493,888"
2017,9,AK,Final,"143,337","213,032","117,181",0,"473,551"
2017,8,AK,Final,"143,358","219,612","122,355",0,"485,324"
2017,7,AK,Final,"143,326","213,540","120,039",0,"476,905"
2017,6,AK,Final,"138,510","206,001","113,102",0,"457,612"
2017,5,AK,Final,"144,619","210,423","115,924",0,"470,966"
2017,4,AK,Final,"165,417","224,044","113,959",0,"503,420"
2017,3,AK,Final,"197,024","237,334","121,199",0,"555,557"
2017,2,AK,Final,"194,606","239,140","118,814",0,"552,560"
2017,1,AK,Final,"234,972","253,132","118,383",0,"606,488"
2016,12,AK,Final,"224,356","249,873","121,245",0,"595,474"
2016,11,AK,Final,"182,013","234,739","117,494",0,"534,247"
2016,10,AK,Final,"164,385","220,261","121,621",0,"506,267"
2016,9,AK,Final,"140,982","220,650","108,639",0,"470,271"
2016,8,AK,Final,"146,304","224,033","123,840",0,"494,177"
2016,7,AK,Final,"141,349","218,857","112,839",0,"473,046"
2016,6,AK,Final,"139,054","213,468","109,605",0,"462,128"
2016,5,AK,Final,"143,677","213,680","111,420",0,"468,777"
2016,4,AK,Final,"155,315","219,582","105,265",0,"480,161"
2016,3,AK,Final,"170,319","236,906","119,596",0,"526,820"
2016,2,AK,Final,"183,428","237,596","113,727",0,"534,751"
2016,1,AK,Final,"215,209","241,854","120,020",0,"577,083"
2015,12,AK,Final,"220,653","249,364","117,937",0,"587,954"
2015,11,AK,Final,"181,931","235,319","109,168",0,"526,418"
2015,10,AK,Final,"162,818","223,687","117,119",0,"503,624"
2015,9,AK,Final,"147,798","222,609","111,767",0,"482,174"
2015,8,AK,Final,"143,850","230,574","116,078",0,"490,503"
2015,7,AK,Final,"143,055","220,009","111,063",0,"474,127"
2015,6,AK,Final,"136,767","213,417","107,807",0,"457,991"
2015,5,AK,Final,"147,397","214,357","110,460",0,"472,214"
2015,4,AK,Final,"162,131","225,009","110,470",0,"497,611"
2015,3,AK,Final,"184,075","237,443","115,179",0,"536,697"
2015,2,AK,Final,"194,772","241,102","112,227",0,"548,101"
2015,1,AK,Final,"218,937","250,600","112,254",0,"581,791"
2014,12,AK,Final,"211,211","249,507","114,589",0,"575,308"
2014,11,AK,Final,"182,876","235,840","110,911",0,"529,627"
2014,10,AK,Final,"166,513","229,415","108,361",0,"504,289"
2014,9,AK,Final,"146,256","225,089","113,153",0,"484,499"
2014,8,AK,Final,"142,046","226,335","116,264",0,"484,645"
2014,7,AK,Final,"144,440","217,662","113,063",0,"475,166"
2014,6,AK,Final,"141,518","213,382","107,518",0,"462,417"
2014,5,AK,Final,"143,660","216,606","110,678",0,"470,943"
2014,4,AK,Final,"158,557","222,778","111,808",0,"493,143"
2014,3,AK,Final,"194,895","236,622","120,459",0,"551,976"
2014,2,AK,Final,"181,994","238,215","111,364",0,"531,573"
2014,1,AK,Final,"229,648","250,066","121,513",0,"601,227"
2013,12,AK,Final,"231,089","259,213","112,063",0,"602,365"
2013,11,AK,Final,"180,461","234,904","110,898",0,"526,263"
2013,10,AK,Final,"165,897","227,515","111,252",0,"504,663"
2013,9,AK,Final,"147,889","225,666","114,245",0,"487,800"
2013,8,AK,Final,"145,474","234,707","122,834",0,"503,016"
2013,7,AK,Final,"143,704","223,671","112,962",0,"480,337"
2013,6,AK,Final,"139,042","219,023","110,530",0,"468,596"
2013,5,AK,Final,"161,173","227,044","107,620",0,"495,837"
2013,4,AK,Final,"175,579","233,216","106,587",0,"515,382"
2013,3,AK,Final,"191,644","239,293","109,573",0,"540,510"
2013,2,AK,Final,"187,187","241,661","100,859",0,"529,707"
2013,1,AK,Final,"234,827","258,286","120,624",0,"613,737"
2012,12,AK,Final,"236,472","261,176","128,754",0,"626,401"
2012,11,AK,Final,"199,414","248,018","118,625",0,"566,057"
2012,10,AK,Final,"164,465","232,294","114,225",0,"510,984"
2012,9,AK,Final,"150,408","223,867","113,656",0,"487,930"
2012,8,AK,Final,"149,804","232,827","116,901",0,"499,532"
2012,7,AK,Final,"150,693","227,589","113,249",0,"491,531"
2012,6,AK,Final,"147,795","217,878","101,263",0,"466,937"
2012,5,AK,Final,"149,709","222,973","107,929",0,"480,610"
2012,4,AK,Final,"169,842","235,598","110,347",0,"515,787"
2012,3,AK,Final,"188,562","248,979","119,201",0,"556,741"
2012,2,AK,Final,"217,108","259,333","118,726",0,"595,167"
2012,1,AK,Final,"235,924","264,507","118,301",0,"618,732"
2011,12,AK,Final,"227,496","257,788","119,565",0,"604,848"
2011,11,AK,Final,"199,061","250,538","111,903",0,"561,501"
2011,10,AK,Final,"162,229","231,021","116,111",0,"509,361"
2011,9,AK,Final,"149,359","226,101","109,607",0,"485,067"
2011,8,AK,Final,"149,470","233,427","112,135",0,"495,031"
2011,7,AK,Final,"147,505","222,841","104,506",0,"474,852"
2011,6,AK,Final,"140,448","218,097","106,070",0,"464,615"
2011,5,AK,Final,"152,378","223,089","106,142",0,"481,609"
2011,4,AK,Final,"168,731","231,572","108,511",0,"508,813"
2011,3,AK,Final,"203,608","245,405","112,579",0,"561,592"
2011,2,AK,Final,"196,269","249,756","107,325",0,"553,350"
2011,1,AK,Final,"237,870","264,777","116,254",0,"618,902"
2010,12,AK,Final,"234,749","259,603","111,543",0,"605,894"
2010,11,AK,Final,"185,261","243,036","107,379",0,"535,676"
2010,10,AK,Final,"165,092","231,454","109,199",0,"505,745"
2010,9,AK,Final,"145,505","224,613","113,853",0,"483,971"
2010,8,AK,Final,"153,060","233,408","115,840",0,"502,308"
2010,7,AK,Final,"148,936","223,285","115,173",0,"487,395"
2010,6,AK,Final,"140,698","218,622","107,006",0,"466,327"
2010,5,AK,Final,"152,249","222,740","102,758",0,"477,747"
2010,4,AK,Final,"164,508","229,129","107,931",0,"501,568"
2010,3,AK,Final,"189,995","243,570","114,862",0,"548,428"
2010,2,AK,Final,"187,655","243,103","103,419",0,"534,177"
2010,1,AK,Final,"225,508","257,174","115,121",0,"597,803"
2009,12,AK,Final,"222,134","256,270","115,603",0,"594,006"
2009,11,AK,Final,"187,918","246,203","104,753",0,"538,874"
2009,10,AK,Final,"165,472","227,968","114,132",0,"507,573"
2009,9,AK,Final,"146,571","228,474","106,403",0,"481,449"
2009,8,AK,Final,"145,331","231,461","114,917",0,"491,709"
2009,7,AK,Final,"146,373","225,388","111,420",0,"483,181"
2009,6,AK,Final,"142,629","216,666","111,416",0,"470,710"
2009,5,AK,Final,"151,623","223,246","106,901",0,"481,769"
2009,4,AK,Final,"168,559","232,664","107,896",0,"509,119"
2009,3,AK,Final,"191,356","234,412","107,092",0,"532,860"
2009,2,AK,Final,"200,971","253,801","101,258",0,"556,030"
2009,1,AK,Final,"248,456","264,784","109,651",0,"622,891"
2008,12,AK,Final,"218,069","257,569","105,921",0,"581,559"
2008,11,AK,Final,"192,116","244,249","111,387",0,"547,752"
2008,10,AK,Final,"167,165","232,520","117,573",0,"517,258"
2008,9,AK,Final,"148,621","232,613","117,061",0,"498,296"
2008,8,AK,Final,"146,497","231,776","111,833",0,"490,105"
2008,7,AK,Final,"146,385","220,246","106,257",0,"472,888"
2008,6,AK,Final,"142,657","216,943","105,154",0,"464,755"
2008,5,AK,Final,"154,042","226,741","107,521",0,"488,304"
2008,4,AK,Final,"169,282","227,837","112,790",0,"509,909"
2008,3,AK,Final,"191,587","238,871","112,229",0,"542,686"
